 ,Mean,Slice,MinThr,MaxThr,microns
1,377.813,1,128.4,1.00E+30,0
2,382.041,2,128.4,1.00E+30,1.216
3,360.833,3,128.4,1.00E+30,2.432
4,363.528,4,128.4,1.00E+30,3.648
5,323.176,5,128.4,1.00E+30,4.864
6,288.783,6,128.4,1.00E+30,6.08
7,349.958,7,128.4,1.00E+30,7.296
8,344.131,8,128.4,1.00E+30,8.512
9,340.441,9,128.4,1.00E+30,9.727
10,335.774,10,128.4,1.00E+30,10.943
11,330.744,11,128.4,1.00E+30,12.159
12,327.613,12,128.4,1.00E+30,13.375
13,312.481,13,128.4,1.00E+30,14.591
14,318.356,14,128.4,1.00E+30,15.807
15,248.409,15,128.4,1.00E+30,17.023
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
