 ,Mean,Slice,MinThr,MaxThr,microns
1,66.112,1,-3.403E38,3.4e38,0.000
2,64.700,2,-3.403E38,3.4e38,0.999
3,63.198,3,-3.403E38,3.4e38,1.999
4,63.669,4,-3.403E38,3.4e38,2.998
5,65.132,5,-3.403E38,3.4e38,3.998
6,67.721,6,-3.403E38,3.4e38,4.997
7,71.478,7,-3.403E38,3.4e38,5.997
8,76.432,8,-3.403E38,3.4e38,6.996
9,82.016,9,-3.403E38,3.4e38,7.996
10,88.749,10,-3.403E38,3.4e38,8.995
11,96.260,11,-3.403E38,3.4e38,9.995
12,103.689,12,-3.403E38,3.4e38,10.994
13,112.239,13,-3.403E38,3.4e38,11.993
14,120.649,14,-3.403E38,3.4e38,12.993
15,130.315,15,-3.403E38,3.4e38,13.992
16,140.093,16,-3.403E38,3.4e38,14.992
17,149.510,17,-3.403E38,3.4e38,15.991
18,158.439,18,-3.403E38,3.4e38,16.991
19,168.641,19,-3.403E38,3.4e38,17.990
20,175.792,20,-3.403E38,3.4e38,18.990
21,180.794,21,-3.403E38,3.4e38,19.989
22,186.839,22,-3.403E38,3.4e38,20.988
23,192.923,23,-3.403E38,3.4e38,21.988
24,196.575,24,-3.403E38,3.4e38,22.987
25,201.300,25,-3.403E38,3.4e38,23.987
26,207.009,26,-3.403E38,3.4e38,24.986
27,211.752,27,-3.403E38,3.4e38,25.986
28,217.034,28,-3.403E38,3.4e38,26.985
29,224.082,29,-3.403E38,3.4e38,27.985
30,228.770,30,-3.403E38,3.4e38,28.984
31,235.687,31,-3.403E38,3.4e38,29.984
32,240.079,32,-3.403E38,3.4e38,30.983
33,246.445,33,-3.403E38,3.4e38,31.982
34,254.916,34,-3.403E38,3.4e38,32.982
35,261.718,35,-3.403E38,3.4e38,33.981
36,267.122,36,-3.403E38,3.4e38,34.981
37,275.304,37,-3.403E38,3.4e38,35.980
38,281.817,38,-3.403E38,3.4e38,36.980
39,289.940,39,-3.403E38,3.4e38,37.979
40,300.542,40,-3.403E38,3.4e38,38.979
41,310.960,41,-3.403E38,3.4e38,39.978
42,307.281,42,-3.403E38,3.4e38,40.978
43,317.782,43,-3.403E38,3.4e38,41.977
44,331.063,44,-3.403E38,3.4e38,42.976
45,345.860,45,-3.403E38,3.4e38,43.976
46,362.468,46,-3.403E38,3.4e38,44.975
