 ,Mean,Slice,MinThr,MaxThr,microns
1,78.664,1,-3.403E38,3.4e38,0.000
2,77.917,2,-3.403E38,3.4e38,1.017
3,72.565,3,-3.403E38,3.4e38,2.033
4,70.350,4,-3.403E38,3.4e38,3.050
5,58.030,5,-3.403E38,3.4e38,4.066
6,51.485,6,-3.403E38,3.4e38,5.083
7,48.744,7,-3.403E38,3.4e38,6.100
8,47.566,8,-3.403E38,3.4e38,7.116
9,48.981,9,-3.403E38,3.4e38,8.133
10,16.025,10,-3.403E38,3.4e38,9.150
11,4.714,11,-3.403E38,3.4e38,10.166
12,3.074,12,-3.403E38,3.4e38,11.183
13,2.762,13,-3.403E38,3.4e38,12.199
14,2.645,14,-3.403E38,3.4e38,13.216
15,2.572,15,-3.403E38,3.4e38,14.233
16,2.504,16,-3.403E38,3.4e38,15.249
17,2.428,17,-3.403E38,3.4e38,16.266
18,2.362,18,-3.403E38,3.4e38,17.282
19,2.331,19,-3.403E38,3.4e38,18.299
20,2.303,20,-3.403E38,3.4e38,19.316
21,2.252,21,-3.403E38,3.4e38,20.332
22,2.245,22,-3.403E38,3.4e38,21.349
23,2.199,23,-3.403E38,3.4e38,22.366
24,2.202,24,-3.403E38,3.4e38,23.382
25,2.193,25,-3.403E38,3.4e38,24.399
26,2.201,26,-3.403E38,3.4e38,25.415
27,2.217,27,-3.403E38,3.4e38,26.432
28,2.233,28,-3.403E38,3.4e38,27.449
29,2.250,29,-3.403E38,3.4e38,28.465
30,2.242,30,-3.403E38,3.4e38,29.482
31,2.260,31,-3.403E38,3.4e38,30.499
32,2.262,32,-3.403E38,3.4e38,31.515
33,2.257,33,-3.403E38,3.4e38,32.532
34,2.250,34,-3.403E38,3.4e38,33.548
35,2.210,35,-3.403E38,3.4e38,34.565
36,2.177,36,-3.403E38,3.4e38,35.582
37,2.157,37,-3.403E38,3.4e38,36.598
38,2.151,38,-3.403E38,3.4e38,37.615
39,2.124,39,-3.403E38,3.4e38,38.631
40,2.111,40,-3.403E38,3.4e38,39.648
41,2.085,41,-3.403E38,3.4e38,40.665
42,2.077,42,-3.403E38,3.4e38,41.681
43,2.060,43,-3.403E38,3.4e38,42.698
44,2.036,44,-3.403E38,3.4e38,43.715
45,2.005,45,-3.403E38,3.4e38,44.731
46,1.998,46,-3.403E38,3.4e38,45.748
