 ,Mean,Slice,MinThr,MaxThr,microns
1,56.486,1,-3.403E38,3.4e38,0.000
2,56.319,2,-3.403E38,3.4e38,1.000
3,56.408,3,-3.403E38,3.4e38,2.000
4,58.019,4,-3.403E38,3.4e38,3.000
5,61.409,5,-3.403E38,3.4e38,4.000
6,66.093,6,-3.403E38,3.4e38,5.000
7,71.877,7,-3.403E38,3.4e38,6.000
8,79.948,8,-3.403E38,3.4e38,6.999
9,89.298,9,-3.403E38,3.4e38,7.999
10,100.754,10,-3.403E38,3.4e38,8.999
11,113.589,11,-3.403E38,3.4e38,9.999
12,127.363,12,-3.403E38,3.4e38,10.999
13,142.312,13,-3.403E38,3.4e38,11.999
14,157.251,14,-3.403E38,3.4e38,12.999
15,170.502,15,-3.403E38,3.4e38,13.999
16,183.118,16,-3.403E38,3.4e38,14.999
17,197.089,17,-3.403E38,3.4e38,15.999
18,211.351,18,-3.403E38,3.4e38,16.999
19,224.606,19,-3.403E38,3.4e38,17.999
20,232.537,20,-3.403E38,3.4e38,18.999
21,238.820,21,-3.403E38,3.4e38,19.999
22,245.113,22,-3.403E38,3.4e38,20.998
23,250.864,23,-3.403E38,3.4e38,21.998
24,255.122,24,-3.403E38,3.4e38,22.998
25,261.191,25,-3.403E38,3.4e38,23.998
26,266.103,26,-3.403E38,3.4e38,24.998
27,273.339,27,-3.403E38,3.4e38,25.998
28,281.831,28,-3.403E38,3.4e38,26.998
29,290.307,29,-3.403E38,3.4e38,27.998
30,300.645,30,-3.403E38,3.4e38,28.998
31,308.719,31,-3.403E38,3.4e38,29.998
32,317.377,32,-3.403E38,3.4e38,30.998
33,324.643,33,-3.403E38,3.4e38,31.998
34,329.398,34,-3.403E38,3.4e38,32.998
35,335.912,35,-3.403E38,3.4e38,33.998
36,342.713,36,-3.403E38,3.4e38,34.997
37,346.836,37,-3.403E38,3.4e38,35.997
38,349.303,38,-3.403E38,3.4e38,36.997
39,352.315,39,-3.403E38,3.4e38,37.997
40,357.863,40,-3.403E38,3.4e38,38.997
41,362.395,41,-3.403E38,3.4e38,39.997
42,358.513,42,-3.403E38,3.4e38,40.997
43,363.729,43,-3.403E38,3.4e38,41.997
44,374.914,44,-3.403E38,3.4e38,42.997
45,384.436,45,-3.403E38,3.4e38,43.997
46,389.434,46,-3.403E38,3.4e38,44.997
