Time (hpf),Control_Mean_Results_Pos002,K4K8MO_Mean_Results_Pos008,Control_Mean_Results_Pos007,K4K8MO_Mean_Results_Pos006,K4K8MO_Mean_Results_Pos005,K4K8MO_Mean_Results_Pos004,K4K8MO_Mean_Results_Pos009,K4K8MO_Mean_Results_Pos003
4.75,294.302,475.2735,305.8515,384.339,362.18050000000005,318.092,398.755,330.47450000000003
5.25,303.43949999999995,476.805,300.173,367.527,305.97950000000003,197.10649999999998,386.079,263.6895
5.75,303.039,476.349,317.175,379.373,349.958,401.177,374.558,0.0
6.25,315.753,469.618,321.85450000000003,377.1595,342.28599999999994,394.155,379.94100000000003,0.0
6.75,334.41600000000005,276.053,331.81600000000003,378.0025,333.259,388.442,386.4085,172.7805
7.25,346.799,204.139,346.195,387.01,327.613,386.025,389.612,347.025
7.75,350.764,183.9135,361.9325,391.45950000000005,315.4185,379.546,378.4125,325.40049999999997
8.25,353.258,175.706,372.07,389.324,248.409,268.276,326.354,343.135
8.75,,,,,,,,
9.25,,,,,,,,
9.75,,,,,,,,
10.25,,,,,,,,
10.75,,,,,,,,
11.25,,,,,,,,
