Time (hpf),K4K8MO_Mean_23072025_Pos001,K4K8MO_Mean_23072025_Pos002,K4K8MO_Mean_23072025_Pos003,K4K8MO_Mean_23072025_Pos004,Control_Mean_23072025_Pos005,Control_Mean_23072025_Pos006,Control_Mean_23072025_Pos007
4.25,1825.9749999999997,1441.9896666666666,1460.0806666666667,1004.1293333333333,1237.4726666666666,1295.5483333333332,1228.9176666666665
4.75,1786.869,1377.9063333333334,1426.9183333333333,966.3953333333333,1248.78,1315.6546666666666,1260.1290000000001
5.25,1788.976,1362.7914999999998,1434.4125,969.7719999999999,1293.2847499999998,1335.46475,1323.0745000000002
5.75,1796.555,1364.5486666666666,1450.7816666666668,976.8729999999999,1350.316,1375.2413333333334,1396.2083333333333
6.25,1771.683,1353.94975,1446.5832500000001,970.895,1413.7579999999998,1434.6547500000001,1477.61075
6.75,1726.8966666666665,1338.7583333333332,1425.1996666666666,956.384,1493.058,1517.2023333333334,1554.1653333333334
7.25,1695.6735,1342.4122499999999,1430.2907500000001,954.4467500000001,1598.1779999999999,1660.18475,1647.191
7.75,1675.2063333333333,1350.1059999999998,1455.756666666667,958.158,1712.653,1838.3066666666666,1745.8093333333334
8.25,1653.332,1310.1029999999998,1462.0263333333332,956.2656666666667,1809.1306666666667,2001.3083333333332,1832.8456666666668
8.75,1639.37475,1333.68175,1496.87075,979.2552499999999,1928.0305,2241.7477499999995,1953.295
9.25,1644.4433333333334,1347.8676666666668,1519.611,1005.6379999999999,2039.0906666666667,2413.934333333333,2076.969
9.75,1640.1405,1360.32425,1530.9317500000002,1038.3482500000002,2161.4605,2497.1065000000003,2144.73575
10.25,1638.2953333333332,1342.8363333333334,1529.662,1062.3713333333333,2234.0840000000003,2543.2533333333336,2169.474333333333
10.75,1648.9495000000002,1346.69,1542.201,1093.5432500000002,2300.17925,2594.1705,2198.598
11.25,1678.744,1356.082333333333,1568.737,1135.2453333333335,2372.6730000000002,2682.4863333333337,2224.3566666666666
