 ,Area,Mean,Min,Max,Slice,microns
1,599073.660,1247.466,29,7055,1,0.000
2,599073.660,1246.843,33,8199,2,1.200
3,599073.660,1231.201,30,7661,3,2.399
4,599073.660,1234.374,33,7789,4,3.599
5,599073.660,1235.712,29,8792,5,4.799
6,599073.660,1250.389,22,7743,6,5.999
7,599073.660,1260.239,30,7344,7,7.198
8,599073.660,1274.916,33,6930,8,8.398
9,599073.660,1279.637,32,6940,9,9.598
10,599073.660,1286.802,24,7234,10,10.798
11,599073.660,1331.784,38,7340,11,11.997
12,599073.660,1337.344,31,8195,12,13.197
13,599073.660,1347.172,26,7440,13,14.397
14,599073.660,1366.432,33,7592,14,15.596
15,599073.660,1381.261,26,6184,15,16.796
16,599073.660,1402.684,27,6583,16,17.996
17,599073.660,1421.785,25,6591,17,19.196
18,599073.660,1449.302,27,6419,18,20.395
19,599073.660,1475.927,29,6786,19,21.595
20,599073.660,1498.362,32,7566,20,22.795
21,599073.660,1504.885,24,6536,21,23.994
22,599073.660,1544.491,30,7127,22,25.194
23,599073.660,1584.813,30,6825,23,26.394
24,599073.660,1620.069,30,6926,24,27.594
25,599073.660,1643.339,23,6666,25,28.793
26,599073.660,1680.229,31,7279,26,29.993
27,599073.660,1711.328,28,7280,27,31.193
28,599073.660,1746.402,28,7623,28,32.393
29,599073.660,1780.632,30,8520,29,33.592
30,599073.660,1802.084,30,8485,30,34.792
31,599073.660,1844.676,34,8187,31,35.992
32,599073.660,1875.022,32,8714,32,37.191
33,599073.660,1906.435,31,8675,33,38.391
34,599073.660,1947.959,31,9644,34,39.591
35,599073.660,1982.706,35,8964,35,40.791
36,599073.660,2004.014,27,9094,36,41.990
37,599073.660,2038.513,24,9409,37,43.190
38,599073.660,2074.745,33,9940,38,44.390
39,599073.660,2108.677,32,10584,39,45.589
40,599073.660,2150.485,32,10947,40,46.789
41,599073.660,2180.122,28,10745,41,47.989
42,599073.660,2206.558,30,10472,42,49.189
43,599073.660,2228.518,33,10751,43,50.388
44,599073.660,2228.594,29,10488,44,51.588
45,599073.660,2245.140,28,11826,45,52.788
46,599073.660,2256.739,31,12865,46,53.988
47,599073.660,2284.901,31,11362,47,55.187
48,599073.660,2317.728,30,11637,48,56.387
49,599073.660,2341.349,25,11921,49,57.587
50,599073.660,2359.030,34,11747,50,58.786
51,599073.660,2375.781,32,12086,51,59.986
52,599073.660,2383.208,33,13162,52,61.186
53,599073.660,2377.022,22,12709,53,62.386
54,599073.660,2379.247,33,13037,54,63.585
55,599073.660,2364.511,34,12602,55,64.785
56,599073.660,2374.133,40,13093,56,65.985
57,599073.660,2365.087,34,12409,57,67.184
58,599073.660,2358.486,28,12758,58,68.384
59,599073.660,2360.311,33,13024,59,69.584
60,599073.660,2356.728,40,13587,60,70.784
