 ,Area,Mean,Min,Max,Slice,microns
1,599073.660,1543.793,0,8907.679,1,0.000
2,599073.660,1496.448,0,9084.778,2,1.200
3,599073.660,1426.934,0,8481.890,3,2.399
4,599073.660,1402.587,0,8753.932,4,3.599
5,599073.660,1377.165,0,8718.796,5,4.799
6,599073.660,1383.407,0,8836.185,6,5.999
7,599073.660,1373.147,0,8189.036,7,7.198
8,599073.660,1370.760,0,9148.895,8,8.398
9,599073.660,1357.154,0,8788.536,9,9.598
10,599073.660,1344.821,0,8411.562,10,10.798
11,599073.660,1378.431,0,9644.190,11,11.997
12,599073.660,1366.087,0,9659.801,12,13.197
13,599073.660,1362.464,0,9598.116,13,14.397
14,599073.660,1365.095,0,10207.072,14,15.596
15,599073.660,1362.328,0,9584.140,15,16.796
16,599073.660,1359.967,0,9031.336,16,17.996
17,599073.660,1347.709,0,8865.029,17,19.196
18,599073.660,1345.795,0,9030.474,18,20.395
19,599073.660,1340.616,0,8203.241,19,21.595
20,599073.660,1335.762,0,7433.934,20,22.795
21,599073.660,1339.897,0,8929.668,21,23.994
22,599073.660,1327.494,0,7929.048,22,25.194
23,599073.660,1338.570,0,7509.346,23,26.394
24,599073.660,1351.841,0,8217.718,24,27.594
25,599073.660,1351.744,0,7974.648,25,28.793
26,599073.660,1349.532,0,7979.836,26,29.993
27,599073.660,1348.716,0,7566.033,27,31.193
28,599073.660,1352.070,0,8104.180,28,32.393
29,599073.660,1306.973,0,7916.203,29,33.592
30,599073.660,1310.120,0,6803.515,30,34.792
31,599073.660,1313.216,0,6542.885,31,35.992
32,599073.660,1326.769,0,7012.713,32,37.191
33,599073.660,1337.067,0,6119.380,33,38.391
34,599073.660,1328.821,0,6591.146,34,39.591
35,599073.660,1342.070,0,6092.819,35,40.791
36,599073.660,1340.780,0,6371.148,36,41.990
37,599073.660,1352.588,0,6369.208,37,43.190
38,599073.660,1350.235,0,5777.224,38,44.390
39,599073.660,1362.934,0,5711.878,39,45.589
40,599073.660,1360.569,0,5937.170,40,46.789
41,599073.660,1363.926,0,6208.065,41,47.989
42,599073.660,1353.868,0,5699.490,42,49.189
43,599073.660,1352.103,0,6492.928,43,50.388
44,599073.660,1341.895,0,5631.236,44,51.588
45,599073.660,1334.511,0,7135.880,45,52.788
46,599073.660,1336.560,0,6043.471,46,53.988
47,599073.660,1341.595,0,5881.984,47,55.187
48,599073.660,1351.786,0,5908.954,48,56.387
49,599073.660,1356.819,0,6295.294,49,57.587
50,599073.660,1352.733,0,6317.195,50,58.786
51,599073.660,1358.033,0,6296.131,51,59.986
52,599073.660,1357.481,0,5874.893,52,61.186
53,599073.660,1358.008,0,6561.235,53,62.386
54,599073.660,1346.930,0,5828.293,54,63.585
55,599073.660,1343.485,0,6141.133,55,64.785
56,599073.660,1340.375,0,6171.591,56,65.985
57,599073.660,1341.330,0,6261.076,57,67.185
58,599073.660,1378.728,0,5884.641,58,68.384
59,599073.660,1272.400,0,6139.409,59,69.584
60,599073.660,1208.177,0,6464.565,60,70.784
