Time (hpf),Rescue_11122023_Pos06,Rescue_11122023_Pos05,Rescue_11122023_Pos07,Control_11122023_Pos08,Control_11122023_Pos09,Morphant_11122023_Pos001,Morphant_11122023_Pos002,Morphant_11122023_Pos03,Morphant_11122023_Pos04
4.25,1.6386487820000002,1.6034080735,1.749884886,1.5771879855000002,1.233938852,0.995996043,0.7109614205,1.0536706865,0.6985962594999999
4.75,1.885204922,1.832693485,1.8766428,1.712431,2.059806607,0.788226012,0.915728485,1.360944934,1.28413962
5.25,1.875692382,1.924478308,2.748510293,1.722184276,1.874081941,0.988258985,0.986457205,1.652338782,1.355292289
5.75,1.708688586,1.908756889,2.183247562,1.946558952,2.199318093,0.638748881,1.044502803,1.488376749,1.440788544
6.25,2.396721466,2.052616704,2.466549296,1.821352866,1.64107093,0.907426162,0.942649206,1.469299072,1.191153611
6.75,2.222160724,1.548718734,2.769393283,2.067525555,2.901771841,0.938833671,0.803134863,1.538155354,1.105586697
7.25,2.466001696,2.079254793,1.852018465,2.611133355,2.033178693,1.313144755,1.498834142,1.304630458,0.757843045
7.75,2.749246314,2.592514956,2.052058505,2.93791236,3.145112068,1.650183711,1.232347261,1.634285647,0.826275378
8.25,2.191153611,2.16577559,2.105586697,2.7839641,1.789503102,,1.772210184,1.281878562,0.446912243
8.75,,,,,2.274070762,,1.622839041,,0.574061425
9.25,,,,,2.123056285,,,,0.928446936
9.75,,,,,2.993661618,,,,0.272916765
10.25,,,,,,,,,0.87580668
