 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,956.876,25.032,331.158,37.338,123.686,38.307,31.804,104.477,41.324,262,17,130.236,32.431
2,1030.481,24.293,300.772,38.268,135.575,46.225,28.384,139.673,49.523,228,25,149.036,31.448
3,1404.399,24.364,251.377,42.706,152.023,49.959,35.792,35.405,53.178,188,45,27.150,37.016
4,793.471,24.773,215.747,42.850,114.690,38.205,26.444,54.425,42.118,164,49,41.496,27.646
5,771.389,24.598,362.413,46.184,109.837,33.281,29.512,140.902,36.981,288,27,138.991,30.929
6,736.058,22.903,285.809,56.060,112.781,38.019,24.650,139.020,39.502,220,44,169.380,24.022
7,852.355,19.122,458.577,54.348,119.594,38.385,28.273,122.260,40.786,365,32,120.379,30.124
8,806.720,23.434,432.921,62.485,121.432,38.113,26.950,139.958,42.742,343,39,145.408,27.930
9,762.556,21.191,162.654,62.788,112.314,38.230,25.396,16.544,41.890,118,55,10.008,27.130
10,1112.920,22.836,340.684,69.094,141.017,46.660,30.369,176.754,51.476,260,50,171.870,33.642
11,719.865,25.978,267.341,70.907,117.756,39.521,23.191,155.101,43.307,201,58,168.690,26.936
12,998.095,20.233,483.312,76.326,127.463,38.093,33.361,111.531,42.118,394,45,101.634,33.560
13,1171.805,23.589,220.909,73.401,136.702,43.738,34.112,8.106,46.042,165,50,161.565,35.369
14,786.110,25.655,382.519,76.454,116.284,41.110,24.347,116.678,42.466,305,51,126.870,26.317
15,959.820,24.784,410.664,78.115,128.417,40.311,30.316,132.598,45.544,323,53,138.240,31.778
16,864.132,23.230,184.147,77.452,121.554,40.198,27.371,25.411,45.138,134,72,36.254,30.268
17,610.928,24.561,304.814,75.940,101.603,32.811,23.708,29.012,34.510,236,67,10.125,22.810
18,529.962,20.924,143.824,84.686,95.866,33.741,19.999,20.006,35.374,105,76,22.166,20.335
19,715.449,25.922,361.324,91.255,107.755,31.484,28.934,172.535,35.519,283,73,172.147,28.952
20,978.957,26.587,449.098,90.329,127.290,40.820,30.535,177.925,42.742,352,78,6.520,31.846
21,506.408,26.420,257.257,87.393,89.591,31.592,20.409,144.039,32.307,201,63,145.713,20.591
22,1198.303,25.128,322.695,100.736,135.453,42.246,36.115,61.360,44.958,265,65,93.094,36.642
23,741.947,29.783,239.448,100.608,112.730,36.076,26.186,139.380,37.691,183,77,146.821,28.862
24,973.069,29.846,288.724,102.844,128.001,39.964,31.002,103.375,41.537,232,102,83.290,32.538
25,1020.177,23.802,503.611,110.032,132.560,45.848,28.331,96.018,48.075,408,110,79.824,29.200
26,875.909,22.332,150.056,106.513,119.838,38.441,29.012,39.164,42.466,109,96,36.870,30.289
27,828.802,28.096,205.440,104.624,114.274,35.673,29.582,51.174,40.551,156,98,38.928,30.886
28,593.263,25.331,178.752,103.365,98.659,27.886,27.087,98.600,33.733,138,75,127.694,25.479
29,1018.705,22.877,477.375,114.458,134.276,44.275,29.295,106.337,48.835,388,75,116.565,29.133
30,612.400,21.997,119.450,107.267,98.120,32.389,24.074,54.264,35.684,88,101,54.689,25.479
31,540.267,29.453,410.933,105.044,94.983,29.262,23.508,165.948,31.076,329,77,128.660,22.724
32,609.456,26.028,384.343,108.348,101.136,31.085,24.964,173.219,33.842,302,89,165.466,24.852
33,335.643,30.070,266.837,109.091,75.570,21.253,20.108,134.670,23.307,212,85,141.340,21.840
34,1282.213,30.416,347.844,122.633,147.708,44.722,36.505,40.999,48.970,272,117,41.987,39.707
35,1167.388,28.004,441.697,119.535,148.713,42.945,34.611,159.151,50.026,352,81,140.906,36.931
36,833.218,16.625,533.751,119.663,119.127,41.281,25.699,138.555,46.456,428,84,130.764,27.930
37,875.909,30.625,226.058,125.869,120.305,34.915,31.942,39.839,38.617,178,119,43.727,32.602
38,877.381,27.106,171.245,131.913,115.817,34.671,32.221,84.854,38.693,132,122,48.814,31.546
39,1077.589,32.909,260.248,133.368,129.595,39.296,34.915,17.329,42.604,198,114,19.983,36.190
40,1195.359,30.709,306.330,135.149,143.738,45.155,33.706,159.569,50.275,232,103,160.253,36.033
41,562.348,23.813,121.556,132.740,112.436,32.743,21.868,74.519,41.502,99,129,74.745,25.234
42,744.891,28.463,412.400,131.562,111.431,37.631,25.203,146.631,39.128,327,99,150.255,27.139
43,597.679,26.408,380.817,130.664,97.531,32.500,23.415,176.464,33.139,301,114,23.749,22.412
44,633.010,34.061,198.545,135.569,105.400,29.741,27.100,125.364,35.270,155,100,139.185,28.941
45,1089.366,25.934,141.582,144.810,138.418,44.496,31.172,70.156,47.257,108,136,60.803,32.400
46,610.928,22.901,98.706,142.479,118.000,32.399,24.009,22.194,37.671,68,121,165.069,28.578
47,669.813,25.231,517.255,143.734,116.040,38.291,22.273,132.849,41.413,409,111,148.173,24.022
48,605.040,28.696,457.714,144.314,99.003,28.450,27.078,4.489,32.669,362,115,148.671,27.906
49,295.895,24.340,537.927,142.467,71.428,20.779,18.131,145.550,24.568,434,110,159.775,19.128
50,821.441,30.449,482.734,151.613,114.690,37.399,27.966,80.529,38.769,394,141,69.864,28.271
51,865.604,32.519,281.087,155.380,122.782,36.150,30.487,26.520,42.483,214,128,178.363,29.756
52,1079.061,27.419,233.183,158.342,133.149,38.085,36.074,83.027,42.065,179,119,123.232,37.899
53,923.017,31.605,435.250,160.016,120.477,37.585,31.268,109.698,42.897,356,115,98.130,31.453
54,513.769,25.804,507.846,159.404,100.009,33.935,19.277,133.277,40.405,410,115,131.348,19.733
55,899.463,31.782,349.134,155.976,122.265,37.105,30.865,125.452,41.324,273,118,139.764,33.642
56,821.441,34.740,379.009,156.412,114.934,33.218,31.486,132.851,40.332,302,116,133.781,29.949
57,603.568,34.169,405.414,155.620,97.115,29.696,25.878,100.002,32.647,326,116,131.987,24.266
58,622.705,18.731,558.103,160.144,101.724,37.711,21.024,122.761,38.079,453,118,120.651,20.977
59,853.828,26.386,202.206,163.799,122.143,36.410,29.858,118.879,40.677,166,153,72.646,32.087
60,1071.701,35.910,320.987,169.943,134.276,41.578,32.819,86.162,45.040,253,155,62.745,34.918
61,815.552,26.852,167.719,163.674,112.852,37.240,27.884,45.472,40.768,131,150,53.471,28.118
