 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,478.438,24.624,306.883,27.251,86.282,26.920,22.628,4.262,28.403,241,20,160.017,22.739
2,1026.065,23.814,277.262,36.947,128.123,38.308,34.103,5.287,42.048,216,45,46.169,33.631
3,387.167,23.088,332.024,32.513,76.575,23.919,20.610,156.265,25.595,265,21,148.570,21.200
4,971.597,23.263,243.765,41.458,123.564,38.973,31.742,132.294,42.327,184,29,152.700,33.310
5,778.750,25.927,314.493,50.914,112.852,36.209,27.383,167.146,38.079,246,33,149.349,28.974
6,802.303,23.710,217.292,53.549,111.137,34.949,29.229,157.997,37.377,165,43,166.866,29.119
7,612.400,23.706,359.967,50.166,101.846,29.207,26.697,121.496,32.782,285,32,141.009,26.704
8,300.312,24.265,340.862,53.374,76.697,24.151,15.832,115.853,28.429,275,36,129.806,16.851
9,865.604,21.577,414.264,55.358,118.711,41.850,26.335,162.248,42.118,324,43,168.366,26.492
10,426.914,22.859,446.983,55.519,84.149,28.807,18.869,141.618,30.138,362,36,130.101,20.076
11,1177.693,25.701,279.017,69.689,142.388,42.761,35.067,55.845,48.121,221,74,56.310,38.252
12,512.297,26.997,387.167,64.204,91.429,31.750,20.544,135.139,33.558,309,43,130.601,21.438
13,663.925,24.553,248.662,73.088,107.532,30.560,27.662,93.077,36.681,197,72,55.784,26.788
14,503.464,22.005,191.057,70.833,88.881,27.640,23.192,24.612,30.719,144,59,9.090,24.417
15,880.326,22.679,335.504,77.544,116.873,33.924,33.041,133.718,38.311,272,50,100.954,33.729
16,550.572,24.109,305.134,76.176,95.399,29.375,23.864,46.439,33.558,241,74,40.601,25.479
17,549.099,26.544,369.377,75.406,94.323,31.527,22.176,145.294,33.006,291,57,162.897,22.215
18,678.646,26.034,443.519,77.848,110.131,35.297,24.480,139.920,39.072,358,51,126.158,24.914
19,541.739,20.684,153.681,75.974,93.856,31.242,22.078,25.958,33.316,115,70,33.111,24.880
20,821.441,24.451,473.586,78.674,111.553,35.884,29.147,171.024,38.560,377,57,155.854,29.119
21,1070.229,26.069,218.345,83.682,131.138,39.374,34.608,15.158,42.118,169,81,48.504,34.624
22,496.103,26.055,414.186,78.651,90.424,30.211,20.909,157.948,31.639,331,56,147.529,21.742
23,460.772,23.558,172.435,86.418,86.038,27.472,21.355,55.410,28.558,131,75,12.265,20.958
24,846.467,26.934,357.144,98.473,120.894,33.645,32.033,76.752,41.502,292,64,105.255,32.418
25,578.542,23.981,392.453,91.043,94.445,31.284,23.547,1.158,34.318,309,78,8.130,24.266
26,643.315,21.119,144.629,99.695,104.446,29.426,27.836,103.354,35.018,113,70,104.036,29.119
27,418.081,28.129,188.644,96.975,83.317,28.878,18.433,36.769,29.346,143,83,7.125,18.875
28,874.437,26.714,313.019,100.774,123.026,36.895,30.177,14.679,42.379,242,75,166.759,32.370
29,1033.426,30.004,250.045,104.075,133.565,39.450,33.353,53.827,47.257,198,105,60.803,35.608
30,749.307,27.001,438.749,102.408,115.695,35.861,26.604,135.156,40.405,349,73,131.348,28.921
31,404.832,26.681,497.503,99.357,83.144,26.878,19.178,114.303,27.932,400,76,145.620,19.184
32,357.724,23.164,121.159,98.335,80.129,24.296,18.747,46.788,28.429,93,91,50.194,19.951
33,1182.109,30.054,284.623,111.547,139.718,48.581,30.981,117.132,49.967,222,75,119.055,33.506
34,471.077,29.384,414.523,104.219,85.693,25.320,23.689,107.461,28.942,338,75,123.024,24.033
35,422.497,22.131,479.779,103.552,91.013,31.408,17.127,129.576,35.186,382,78,133.603,18.875
36,780.222,27.194,467.769,116.155,124.447,42.871,23.172,129.718,46.440,376,78,123.275,25.554
37,744.891,25.680,165.202,115.789,108.294,31.947,29.687,47.971,34.339,133,81,122.005,31.744
38,803.776,28.378,198.169,115.698,116.112,38.470,26.603,30.865,41.749,149,105,35.538,29.580
39,734.586,24.540,384.683,113.532,111.431,34.877,26.817,172.179,36.721,302,96,7.595,26.555
40,699.255,32.470,225.155,119.015,110.426,36.630,24.306,92.841,39.744,182,114,77.661,26.693
41,659.508,26.585,328.758,119.202,112.487,35.731,23.501,48.751,38.560,271,114,77.276,26.071
42,703.672,23.925,126.083,121.503,105.745,31.579,28.372,9.625,35.374,90,96,174.094,30.028
43,434.274,22.262,504.853,120.514,87.876,26.129,21.162,164.739,28.325,403,100,9.866,21.972
44,952.459,28.345,349.462,133.418,130.133,39.572,30.645,70.192,43.000,285,93,106.390,32.314
45,727.226,22.325,526.330,132.567,107.583,36.286,25.517,89.280,37.924,430,94,97.352,27.386
46,862.660,32.393,262.398,133.474,119.350,35.026,31.359,170.755,41.890,198,106,169.992,30.886
47,781.694,27.022,410.339,129.706,111.553,35.147,28.318,17.789,38.099,325,115,37.235,29.119
48,607.984,24.717,439.695,130.554,102.263,32.020,24.176,117.998,38.368,351,96,124.695,26.034
49,736.058,22.614,102.677,137.528,109.004,34.726,26.988,76.385,39.072,75,127,64.231,28.717
50,660.980,25.517,143.120,139.813,104.446,34.348,24.502,67.935,37.219,110,128,70.974,26.779
51,791.999,32.921,376.387,139.952,116.406,32.694,30.844,90.321,39.614,302,99,117.350,30.458
52,822.913,33.931,312.177,142.273,116.040,38.170,27.450,123.446,39.910,252,101,109.537,28.758
53,488.743,27.269,497.482,137.166,94.739,33.406,18.628,149.278,32.782,402,101,128.991,18.727
54,531.434,29.245,460.598,142.002,97.288,31.963,21.170,89.094,35.684,374,103,107.819,21.187
55,912.712,26.176,169.341,146.086,120.843,38.893,29.879,52.569,42.257,129,134,50.826,32.370
