 ,Mean,Mode,Min,Max,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,7.469,5.769,3.822,34.038,304.318,7.698,142.939,64.387,14.963,177.608,64.488,222,6,4.316,15.773
2,7.842,4.961,4.058,26.059,379.370,8.501,80.311,34.209,13.533,178.006,35.270,298,8,3.945,13.932
3,8.542,4.966,4.143,26.342,352.971,19.228,108.984,40.555,18.995,132.387,45.544,276,3,131.760,22.420
4,6.986,4.428,3.271,18.458,253.544,18.068,101.617,35.015,24.624,44.318,40.332,197,26,43.781,27.673
5,7.761,5.236,3.591,30.749,412.918,22.112,99.977,40.896,19.296,142.145,41.502,327,7,142.125,20.591
6,7.977,5.470,4.269,22.896,224.524,24.234,101.050,33.219,25.391,12.790,37.475,170,23,29.055,26.224
7,8.586,5.777,4.162,67.773,284.255,32.225,155.022,47.731,41.233,38.377,53.344,215,30,17.199,43.471
8,9.857,6.038,3.907,51.361,332.882,29.219,103.100,33.736,29.224,153.997,37.120,259,22,168.690,29.196
9,7.953,5.265,3.971,32.788,387.830,33.675,132.765,49.199,32.459,148.580,50.800,302,14,139.844,33.460
10,8.265,5.711,4.038,27.185,193.505,26.740,61.442,24.631,10.730,13.835,26.499,148,23,15.945,11.706
11,10.661,6.716,4.200,45.764,310.786,46.971,102.873,34.008,28.440,74.956,37.120,252,52,78.690,28.802
12,8.192,5.211,3.923,38.650,165.568,50.522,136.985,49.874,32.057,55.625,51.491,120,53,34.439,34.344
13,7.193,5.860,3.553,31.025,209.515,49.042,115.815,38.996,29.464,90.845,41.696,164,57,81.634,29.946
14,8.252,5.126,3.938,39.712,247.158,47.727,114.726,40.993,29.355,168.550,43.746,187,33,160.560,30.642
15,8.972,6.252,4.100,30.971,188.324,55.020,92.615,34.990,17.892,78.977,36.961,148,57,66.801,19.413
16,8.451,5.533,4.521,34.995,348.978,57.899,160.165,58.369,36.126,12.740,60.641,261,55,19.885,39.407
17,8.230,5.209,3.425,26.846,447.324,49.591,99.094,37.347,20.728,149.539,42.065,354,32,146.768,22.456
18,8.709,5.364,4.168,25.292,421.195,53.838,104.840,34.631,27.657,138.649,37.120,332,44,168.690,29.679
19,9.161,5.726,3.844,54.575,471.679,53.899,65.986,25.338,12.502,142.574,29.371,379,36,141.710,13.727
20,11.217,6.884,4.633,41.823,386.187,65.205,112.617,32.943,27.766,50.675,39.799,305,66,37.569,31.548
21,6.693,4.574,2.647,24.568,127.250,72.460,111.524,46.995,19.822,43.814,46.614,91,73,51.340,21.448
22,9.172,7.210,4.224,39.777,231.311,79.242,137.509,47.002,35.013,83.415,51.089,186,45,94.086,36.399
23,9.332,5.185,4.200,37.831,274.702,72.656,160.049,51.449,33.991,9.706,60.775,204,74,26.053,38.042
24,11.636,7.544,4.794,53.352,415.587,87.574,144.629,49.281,38.338,118.857,53.715,334,51,108.435,37.440
25,8.779,5.417,3.914,49.202,450.032,76.974,113.167,36.147,31.890,158.618,38.693,362,76,48.814,31.135
26,10.076,6.193,4.796,31.288,480.408,74.779,89.835,31.118,23.612,150.449,33.646,384,52,154.359,24.417
27,12.698,8.736,5.035,39.489,311.289,78.261,108.305,36.761,23.862,178.183,39.297,242,73,8.881,26.024
28,9.838,5.207,4.237,42.433,147.905,90.614,130.201,46.691,31.031,71.343,50.114,116,96,83.047,33.710
29,10.351,7.004,4.558,36.670,179.973,88.661,117.825,40.942,28.476,93.239,42.379,145,57,103.241,28.488
30,9.605,5.705,3.988,45.856,203.624,84.596,91.838,32.288,23.162,77.263,35.829,160,83,61.699,21.840
31,13.414,8.146,4.591,53.786,351.980,84.550,98.809,37.477,22.956,176.455,38.311,274,64,169.046,23.053
32,7.469,5.064,3.898,35.293,503.926,101.763,122.319,42.846,29.703,117.412,46.834,409,65,106.557,31.744
33,11.796,7.741,3.966,56.196,383.036,102.055,141.511,45.228,38.127,142.100,50.334,295,81,164.624,39.869
34,9.116,5.109,3.752,33.968,475.854,102.659,106.822,38.150,25.646,116.637,39.799,385,69,127.569,25.460
35,13.902,8.608,4.637,59.589,268.275,99.055,102.323,35.771,27.561,4.329,37.924,206,76,172.648,27.906
36,9.197,5.337,3.937,38.079,118.958,107.486,114.296,39.117,29.948,69.816,43.493,93,105,67.011,32.014
37,11.522,7.027,4.951,60.894,318.503,102.485,129.083,35.624,32.253,115.000,44.958,242,79,3.094,36.399
38,15.083,10.581,5.631,55.329,243.867,112.435,106.474,30.700,29.062,171.707,35.684,189,88,162.181,31.001
39,12.166,7.714,4.587,59.797,447.791,116.796,146.754,46.957,40.635,99.253,50.698,363,117,68.962,39.610
40,14.138,11.493,5.283,59.174,344.862,108.999,97.456,32.694,25.741,19.312,36.196,271,100,39.560,26.693
41,12.087,7.837,4.618,44.815,210.206,115.439,122.739,38.460,36.259,134.596,41.466,156,89,159.444,36.343
42,16.201,12.092,5.979,59.035,295.138,113.494,98.546,32.332,28.174,118.455,34.059,239,107,85.914,27.930
43,10.836,7.231,4.301,44.847,160.304,121.370,124.572,45.698,28.588,60.347,47.999,123,119,69.274,29.467
44,6.178,4.051,2.873,29.104,534.631,127.691,125.813,53.438,19.186,132.355,53.509,431,87,122.969,20.591
45,9.546,6.687,4.060,62.559,98.890,139.834,133.660,51.110,27.028,81.838,52.524,77,135,83.367,27.870
46,11.460,5.914,4.358,46.279,180.984,138.751,138.296,51.331,29.468,66.947,54.747,143,136,77.196,29.247
47,13.868,7.572,4.894,64.506,415.641,135.999,144.258,49.521,37.055,107.517,51.833,336,92,106.314,37.348
48,13.148,9.962,5.049,54.377,273.513,136.618,124.101,45.573,28.502,89.201,48.350,216,131,72.474,26.693
49,13.710,8.408,5.097,63.560,348.113,134.202,138.961,46.583,32.391,17.670,51.491,269,121,34.439,35.936
50,6.857,4.072,2.925,20.727,78.618,136.042,101.161,38.850,17.754,62.639,42.466,53,123,53.130,20.527
51,10.612,5.619,4.271,40.591,130.874,140.752,131.294,44.674,32.852,78.437,49.805,110,136,87.207,35.004
52,9.322,5.743,4.143,47.254,493.917,137.927,137.661,51.100,29.454,124.125,54.111,389,101,137.726,31.274
53,16.318,10.425,5.215,77.304,382.914,149.215,160.137,58.436,37.047,97.029,60.859,305,98,113.499,39.320
54,13.472,8.735,5.049,45.202,248.662,140.428,105.768,35.095,25.636,82.701,40.058,195,128,54.866,23.053
55,14.485,9.130,5.466,51.221,305.711,145.851,145.498,50.402,34.548,59.356,53.893,245,141,58.815,38.516
56,8.675,6.253,3.655,33.212,525.967,148.331,130.853,48.718,27.008,127.922,52.734,423,101,113.025,28.970
57,15.180,11.070,5.431,51.254,225.431,145.580,105.929,40.915,21.302,81.198,44.165,180,138,74.055,21.840
58,11.814,8.238,5.331,43.495,473.898,159.848,174.031,65.142,34.931,130.636,68.721,368,118,137.862,37.173
59,13.775,7.997,4.977,58.306,203.006,156.418,112.591,38.393,28.463,93.434,41.696,167,111,98.366,30.700
60,14.522,7.202,4.916,66.522,441.775,167.509,126.234,46.161,28.789,111.724,49.746,362,117,102.680,28.473
61,12.660,7.411,4.383,46.285,155.179,167.275,122.465,41.770,32.174,108.246,46.201,124,120,103.671,33.457
62,15.548,10.061,5.364,67.025,336.119,169.037,162.833,58.604,38.348,21.696,59.502,254,144,16.587,40.160
63,7.970,5.015,3.940,27.856,67.780,166.773,109.193,35.534,28.115,69.065,39.502,51,123,100.620,26.588
64,8.391,4.398,3.633,39.247,554.530,175.850,137.998,48.708,34.172,79.078,53.067,449,166,79.461,36.168
65,12.353,6.997,4.354,58.477,114.760,174.167,118.943,37.918,33.268,70.085,41.324,84,159,40.236,33.851
66,16.636,11.204,5.898,79.319,239.451,175.792,134.475,44.369,36.499,42.342,46.819,192,163,58.782,36.107
67,15.672,10.970,5.439,63.236,274.974,173.598,112.403,36.759,32.633,51.026,38.079,222,158,67.521,33.460
68,14.070,8.621,5.295,53.946,415.199,185.673,148.482,54.756,30.089,98.544,60.031,333,132,104.036,32.201
69,9.955,5.246,3.754,54.702,518.574,184.772,144.312,50.552,37.077,124.666,52.510,412,136,139.686,38.377
