 ,Mean,Mode,Min,Max,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,6.829,4.589,3.179,21.696,392.108,14.720,114.509,37.952,28.843,155.643,40.930,304,11,11.976,30.169
2,7.129,5.674,3.407,19.307,225.356,14.593,137.816,52.897,25.725,15.160,57.846,161,20,9.660,28.634
3,8.528,6.141,3.759,35.035,268.199,6.941,94.896,41.731,13.205,2.735,40.204,205,2,174.806,13.346
4,7.369,5.517,3.382,25.693,342.544,17.972,124.609,43.017,28.889,137.511,48.167,266,2,130.914,31.182
5,7.925,5.587,4.395,19.279,362.483,5.922,75.254,26.831,11.736,174.409,32.782,284,1,177.879,13.346
6,8.313,5.622,3.586,25.762,308.436,20.509,127.250,45.876,30.111,160.066,50.026,235,10,157.166,33.764
7,6.584,4.175,3.478,16.698,421.519,17.738,85.793,29.860,21.593,146.304,32.669,339,4,121.329,20.619
8,9.061,5.912,3.621,50.535,266.246,31.443,133.882,42.147,36.823,48.397,48.167,205,37,40.914,38.826
9,8.901,5.261,4.092,28.025,376.882,32.141,119.890,44.896,22.377,160.082,46.170,293,31,176.987,26.637
10,7.389,5.938,3.835,24.158,442.778,32.237,82.446,25.425,24.254,170.841,28.325,354,29,9.866,24.512
11,7.708,4.978,3.795,26.216,231.675,37.634,106.793,36.243,26.479,15.333,40.058,175,38,35.134,26.811
12,8.135,6.009,3.941,23.918,189.191,40.444,131.064,45.569,31.466,16.332,48.850,137,36,14.381,32.836
13,7.851,6.181,3.744,24.197,417.443,38.498,87.860,33.040,19.969,149.877,33.006,331,29,162.897,19.534
14,9.337,7.560,3.368,32.771,301.598,52.055,140.490,53.157,30.254,124.635,58.692,236,21,119.745,32.997
15,8.330,7.090,3.957,24.788,464.223,50.350,98.136,34.032,24.619,112.335,37.456,378,26,114.905,26.090
16,8.805,5.144,3.988,32.172,336.273,51.350,134.423,39.920,35.168,143.031,49.270,260,33,142.001,36.839
17,9.659,5.196,4.164,35.244,372.072,58.255,132.049,40.406,36.414,15.282,46.614,295,62,38.660,35.968
18,10.497,7.034,4.595,32.350,407.937,55.757,88.079,32.475,20.316,149.752,33.117,325,39,151.557,20.617
19,6.457,4.305,3.390,23.767,152.459,61.969,134.260,49.186,31.096,15.050,52.299,103,53,3.991,31.471
20,8.152,6.359,3.527,37.238,441.283,62.996,120.903,41.767,27.285,116.566,44.745,348,43,130.601,30.035
21,9.626,6.030,4.024,37.171,247.099,66.217,123.035,39.182,34.013,54.139,43.830,202,74,85.236,34.976
22,8.402,4.750,3.753,25.947,278.643,62.695,93.378,30.887,21.422,138.662,33.712,219,44,149.744,25.515
23,8.228,5.887,3.847,26.064,206.589,64.918,139.518,51.537,31.714,18.618,54.491,147,53,11.560,31.317
24,7.274,6.084,3.477,28.669,488.409,64.170,82.847,31.100,16.755,138.563,32.032,395,40,114.624,16.501
25,10.234,6.153,3.786,40.510,400.670,80.442,122.401,39.082,34.243,165.000,40.696,313,65,10.305,36.066
26,11.231,7.085,4.124,39.371,429.764,83.495,94.173,31.963,22.108,111.167,35.829,349,53,118.301,25.738
27,6.943,4.456,3.750,27.857,107.830,87.596,115.971,46.585,18.790,47.874,49.135,81,88,57.095,21.412
28,10.493,5.489,4.135,44.924,168.195,89.753,142.898,51.687,31.513,34.379,55.189,122,92,56.659,33.527
29,8.625,7.017,3.288,25.755,470.437,80.419,114.149,34.838,29.161,2.366,40.496,373,70,8.616,31.012
30,12.770,7.296,4.690,45.122,338.636,85.173,131.626,43.564,35.410,160.372,47.194,264,58,133.958,34.754
31,7.840,5.225,3.098,29.653,510.903,85.276,95.501,37.878,17.418,139.066,40.186,407,64,151.113,17.159
32,9.367,5.465,4.027,36.050,268.735,87.812,117.040,36.198,29.567,177.909,41.270,203,73,155.695,29.666
33,11.758,5.867,4.303,42.444,302.390,92.940,128.481,42.553,35.414,129.463,45.089,243,59,113.806,36.833
34,7.832,4.172,3.666,23.592,133.654,88.551,100.279,31.997,27.650,13.436,37.456,96,80,24.905,26.779
35,12.016,6.802,3.969,47.914,216.515,96.628,157.410,54.872,37.540,17.415,56.455,156,82,8.653,39.136
36,11.460,5.942,4.531,47.002,372.355,99.952,131.365,46.053,32.560,99.155,47.999,296,64,110.726,35.054
37,11.239,7.401,4.494,37.565,493.453,101.641,120.093,40.390,31.278,149.552,43.443,398,71,125.910,32.400
38,11.503,5.829,4.507,49.622,455.331,102.989,103.218,32.612,26.725,155.258,37.377,366,74,144.246,29.744
39,12.328,6.683,4.696,64.526,261.342,119.779,170.932,59.892,40.246,150.157,64.682,190,94,156.801,41.649
