 ,Mean,Mode,Min,Max,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,10.130,6.961,4.110,36.556,279.102,15.180,115.409,42.940,27.718,10.941,43.948,211,14,6.340,28.539
2,7.991,6.299,4.843,18.402,253.112,6.908,58.351,23.022,10.096,4.425,26.940,198,6,7.765,10.920
3,9.440,7.161,4.848,33.734,310.328,9.034,63.672,22.644,15.314,171.208,24.417,246,3,153.435,14.560
4,10.093,6.478,4.093,33.877,385.831,20.616,115.040,42.752,28.542,165.056,43.746,301,10,160.560,28.392
5,7.518,4.955,3.698,31.692,421.311,20.426,100.370,36.128,25.266,139.629,37.475,333,9,150.945,26.398
6,11.183,6.155,4.238,40.598,346.600,27.698,133.645,41.018,39.892,86.664,44.892,268,14,161.075,38.735
7,8.913,6.673,4.250,28.582,232.684,23.018,78.336,31.629,14.578,22.182,33.006,178,22,17.103,16.115
8,7.828,7.169,3.653,15.734,448.669,23.678,73.507,31.345,11.960,149.531,32.307,359,11,145.713,13.023
9,11.792,9.057,4.464,38.547,311.569,32.761,117.968,38.585,31.478,171.458,43.358,239,24,162.072,31.219
10,12.914,6.917,4.124,42.775,247.799,40.437,121.912,43.007,30.944,44.227,45.544,192,49,41.760,32.281
11,9.805,6.392,4.377,29.536,198.925,40.677,101.803,37.654,25.287,33.485,38.845,152,44,38.660,26.045
12,12.493,5.960,4.484,44.250,281.581,49.220,120.282,39.286,34.972,121.114,40.551,221,28,128.928,35.848
13,11.537,8.016,4.245,56.427,410.256,46.633,109.332,34.117,32.964,10.984,37.120,324,32,168.690,32.602
14,9.635,4.887,3.816,32.671,444.992,40.368,79.269,27.575,20.460,154.115,28.299,355,30,149.036,19.957
15,7.818,4.454,3.745,19.536,169.453,45.938,91.565,33.473,20.438,38.641,37.140,127,45,38.367,21.704
16,12.724,6.642,4.677,48.415,377.646,48.944,114.789,40.594,28.997,146.225,42.205,293,39,161.565,29.613
17,9.022,7.371,3.948,28.634,474.497,51.062,117.955,45.384,21.889,141.195,45.673,379,28,129.611,24.902
18,12.633,7.535,4.535,35.884,217.992,54.439,85.005,30.044,20.837,22.778,30.719,166,48,9.090,22.118
19,14.605,10.471,4.451,76.131,317.219,60.723,117.178,41.688,27.741,13.351,44.165,244,56,20.925,27.768
20,13.606,7.049,4.442,68.003,436.105,67.354,125.806,39.413,36.476,141.503,43.000,356,38,106.390,36.005
21,15.340,7.970,4.730,61.922,355.920,73.391,154.143,50.991,41.427,149.707,54.220,280,42,130.462,43.447
22,11.137,6.259,4.280,33.237,186.174,68.317,105.863,37.730,23.597,25.674,40.786,141,71,30.379,24.965
23,15.935,13.364,5.037,82.552,255.130,70.521,102.932,34.927,29.033,24.046,35.519,196,54,172.147,29.111
24,8.669,5.304,4.204,26.751,137.207,71.761,96.001,39.432,18.205,47.422,40.405,100,69,41.348,19.733
25,11.798,6.560,3.862,48.429,467.910,73.068,105.655,37.834,23.730,120.798,42.880,374,46,115.115,25.192
26,11.125,9.082,4.188,32.341,159.221,74.894,88.574,30.522,23.766,78.058,31.499,130,49,105.642,24.172
27,11.133,6.957,3.936,50.816,506.275,80.580,103.331,42.609,19.400,123.670,42.448,408,50,120.964,20.178
28,15.335,7.176,4.766,58.418,224.782,80.272,113.385,36.803,31.270,86.702,40.696,177,81,63.435,30.666
