 ,Area,Mean,X,Y,Major,Minor,Angle
1,1560.443,10.519,257.825,35.989,46.435,42.787,106.830
2,830.274,12.601,317.308,32.970,35.160,30.066,2.327
3,931.850,12.289,386.500,40.826,39.565,29.988,146.475
4,1538.362,11.525,223.515,56.031,51.158,38.287,161.827
5,1133.530,12.065,359.484,53.371,43.815,32.940,131.739
6,1280.741,12.397,293.555,57.960,43.806,37.225,114.412
7,884.742,11.804,329.954,61.004,36.291,31.040,143.320
8,775.805,9.401,460.202,59.200,42.837,23.059,128.772
9,696.311,12.508,186.427,62.372,34.852,25.438,83.791
10,808.192,10.660,409.449,66.123,40.553,25.375,111.967
11,912.712,10.712,434.284,66.472,42.670,27.235,105.583
12,893.575,18.051,263.727,75.112,36.230,31.403,153.050
13,937.738,11.884,390.981,82.239,44.659,26.735,122.688
14,666.869,15.291,208.152,82.975,31.000,27.390,176.730
15,1054.035,14.139,364.053,90.471,44.870,29.910,131.379
16,606.512,13.599,456.837,86.666,28.863,26.755,31.638
17,1389.678,12.273,326.952,93.997,46.756,37.843,127.708
18,1115.864,13.978,238.642,96.067,41.941,33.875,109.373
19,1567.804,10.636,487.347,101.040,46.446,42.979,101.188
20,925.961,13.236,178.471,97.752,39.954,29.508,59.066
21,998.095,13.865,294.293,98.129,43.017,29.542,98.162
22,939.210,15.217,425.848,101.127,36.778,32.515,152.744
23,656.564,20.001,268.941,105.762,31.053,26.921,103.591
24,1868.116,12.541,210.443,121.861,53.537,44.428,119.666
25,1076.117,11.802,124.620,117.869,44.072,31.089,57.534
26,781.694,15.084,457.370,116.209,40.486,24.584,135.952
27,1127.641,13.800,396.056,118.503,40.669,35.303,164.516
28,905.352,13.501,151.446,123.245,43.140,26.721,67.079
29,1435.314,15.451,352.505,126.213,45.362,40.287,48.287
30,766.973,19.086,315.124,126.576,34.027,28.699,130.322
31,700.727,11.693,512.929,127.820,37.197,23.986,105.889
32,1717.960,14.564,253.853,141.272,56.184,38.933,110.985
33,858.244,14.646,174.509,135.292,39.187,27.886,56.244
34,874.437,15.508,284.950,135.468,38.087,29.233,83.640
35,1311.656,13.765,450.176,145.317,55.739,29.962,113.353
36,815.552,15.547,421.614,139.458,37.341,27.808,106.162
37,856.772,14.102,493.814,142.028,44.035,24.773,126.562
38,746.363,16.903,381.133,144.852,33.919,28.017,118.237
39,843.523,11.216,97.828,149.901,38.557,27.855,58.612
40,1311.656,14.743,480.093,167.135,51.581,32.377,103.565
41,984.846,12.255,123.347,157.666,45.865,27.340,70.562
42,562.348,20.471,304.353,152.708,30.136,23.759,8.878
43,1292.518,14.997,336.980,163.710,52.343,31.441,118.159
44,1564.860,14.633,190.460,164.719,50.054,39.806,38.946
45,637.426,17.327,407.090,159.951,37.143,21.851,122.658
46,1014.288,9.784,73.602,170.831,51.569,25.043,89.555
47,1263.076,13.538,150.546,167.335,46.920,34.275,83.338
48,1332.265,18.418,231.992,169.176,49.404,34.335,124.113
49,822.913,14.159,520.593,164.078,34.827,30.085,89.527
50,674.229,18.314,364.631,165.100,34.455,24.915,108.457
51,640.371,12.421,545.591,165.731,36.867,22.116,94.701
52,546.155,19.482,433.460,169.662,27.568,25.224,139.291
53,1492.726,16.848,274.260,189.183,58.477,32.502,100.714
54,990.734,15.950,304.599,176.924,43.012,29.328,156.297
55,1233.634,13.669,390.859,185.630,45.549,34.484,93.171
56,619.761,14.332,98.251,181.493,29.733,26.539,57.635
57,961.292,16.111,505.202,194.063,38.708,31.620,95.442
58,1049.619,15.626,450.776,194.425,42.539,31.416,72.051
59,1298.407,16.098,210.641,199.071,42.769,38.654,64.667
60,709.560,18.235,421.252,194.837,35.169,25.689,116.662
61,715.449,16.415,121.231,194.394,36.435,25.002,53.719
62,653.620,14.510,531.888,195.960,34.928,23.827,85.823
63,1692.934,15.477,176.049,210.976,59.670,36.124,102.450
64,1314.600,15.090,336.870,207.467,52.173,32.082,106.473
65,1027.537,18.027,366.925,204.668,45.440,28.792,114.248
66,924.489,11.080,553.471,206.454,45.206,26.039,87.353
67,1009.872,11.307,58.561,207.838,43.736,29.399,81.882
68,1423.537,18.556,253.746,215.877,57.797,31.360,106.059
69,1224.801,13.850,142.290,212.794,48.542,32.126,76.275
70,978.957,17.432,471.684,212.695,47.457,26.265,67.257
71,1158.556,11.357,90.395,214.343,44.369,33.246,89.411
72,983.374,16.473,305.721,210.233,38.907,32.181,128.775
73,708.088,17.080,409.648,218.757,36.738,24.540,109.680
74,752.251,19.773,229.680,224.677,36.657,26.129,95.555
75,755.196,13.539,485.012,234.283,53.535,17.961,76.861
76,1148.251,16.091,435.599,231.859,42.979,34.016,64.972
77,1027.537,12.748,526.591,233.197,51.394,25.456,90.681
78,953.931,15.575,115.796,233.030,39.843,30.484,99.130
79,1204.191,14.533,505.273,243.767,59.432,25.798,97.786
80,554.988,24.034,392.486,229.935,33.841,20.881,121.330
81,1123.225,11.176,570.733,240.517,49.236,29.047,97.804
82,867.077,19.843,293.078,237.628,43.823,25.192,125.368
83,1192.414,16.601,207.070,243.186,43.968,34.531,133.343
84,1339.626,15.137,367.547,243.723,49.618,34.376,134.940
85,870.021,12.741,71.923,242.886,39.506,28.040,94.506
86,1168.860,18.318,323.651,247.095,44.455,33.477,85.340
87,959.820,10.580,49.381,253.259,54.023,22.621,96.118
88,880.326,19.001,157.807,245.009,34.636,32.361,134.770
89,702.200,14.632,545.850,248.958,37.779,23.666,83.053
90,930.378,18.059,455.422,253.614,44.068,26.881,59.011
91,1380.845,17.246,277.387,260.577,53.635,32.780,120.520
92,1108.504,15.158,97.571,263.405,44.232,31.909,90.700
93,1659.075,14.703,136.668,271.455,54.871,38.497,112.234
94,1040.786,20.758,243.038,260.922,38.754,34.194,104.756
95,1208.608,16.554,349.249,271.242,45.562,33.775,104.059
96,884.742,19.385,422.303,263.414,40.624,27.730,119.842
97,1450.035,16.706,181.503,270.493,46.868,39.392,90.856
98,734.586,21.727,397.667,263.712,39.009,23.977,94.076
99,625.649,20.511,470.822,272.645,36.601,21.765,70.337
100,1423.537,17.757,311.749,287.121,51.063,35.495,102.802
101,1051.091,17.752,494.533,281.783,39.460,33.915,66.798
102,1107.032,12.469,560.937,280.434,41.336,34.099,103.312
103,1067.284,16.990,213.866,282.690,43.786,31.035,77.480
104,1012.816,11.851,71.850,285.231,47.002,27.436,91.932
105,768.445,18.426,529.523,280.853,36.465,26.831,92.970
106,1232.161,18.066,378.396,290.913,44.706,35.093,74.721
107,905.352,18.514,268.687,293.120,39.787,28.973,113.713
108,1292.518,17.688,445.896,298.926,56.110,29.330,87.143
109,413.665,10.540,581.703,292.310,31.358,16.796,83.061
110,660.980,14.982,116.120,292.960,34.945,24.083,117.642
111,1158.556,17.193,419.218,302.743,55.645,26.510,107.839
112,1210.080,16.018,242.822,301.956,46.800,32.921,118.436
