 ,Area,Mean,X,Y,Major,Minor,Angle,
1,543.211,8.435,297.676,16.376,35.764,19.339,169.995,199.995
2,1407.343,9.917,370.919,38.054,45.715,39.197,31.983,61.983
3,1164.444,8.123,282.281,35.286,53.346,27.792,175.724,205.724
4,903.879,8.866,418.099,37.196,49.759,23.128,152.864,182.864
5,970.125,9.21,232.932,41.927,44.633,27.675,33.529,63.529
6,1488.31,7.55,188.546,46.996,64.871,29.212,29.402,59.402
7,818.497,9.637,329.027,41.425,41.318,25.222,179.082,209.082
8,537.322,7.776,456.106,53.447,43.975,15.558,139.557,169.557
9,1289.574,8.103,404.439,61.189,49.985,32.848,147.855,177.855
10,862.66,10.405,255.47,58.541,38.544,28.496,16.693,46.693
11,1270.436,9.414,295.117,64.018,52.555,30.778,15.531,45.531
12,712.504,9.498,342.973,63.215,40.452,22.426,1.411,31.411
13,1258.66,8.826,447.503,74.887,52.641,30.444,142.719,172.719
14,1011.344,10.383,187.158,74.097,50.91,25.294,27.553,57.553
15,1064.34,9.844,140.526,80.286,50.229,26.98,42.477,72.477
16,1372.013,9.487,214.75,82.418,59.108,29.555,36.263,66.263
17,1129.113,9.383,384.001,83.045,45.707,31.453,141.628,171.628
18,1082.006,9.035,490.831,83.892,50.477,27.293,140.323,170.323
19,683.062,11.203,321.425,84.011,33.37,26.063,167.189,197.189
20,699.255,11.131,353.094,86.971,31.309,28.436,164.622,194.622
21,1154.139,11.09,250.69,91.517,43.389,33.868,34.145,64.145
22,1030.481,11.766,285.462,97.342,40.499,32.397,49.516,79.516
23,945.099,10.748,155.804,101.455,45.612,26.382,42.065,72.065
24,897.991,8.393,101.974,102.236,47.42,24.111,47.655,77.655
25,1239.522,8.826,434.036,101.264,58.944,26.775,151.304,181.304
26,1192.414,9.884,478.332,112.28,45.292,33.521,132.98,162.98
27,1609.023,10.86,319.229,117.063,47.716,42.934,150.961,180.961
28,1255.715,12.814,171.01,123.741,51.188,31.234,48.568,78.568
29,1435.314,10.559,398.317,120.277,44.959,40.648,96.47,126.47
30,778.75,11.454,121.818,117.089,38.638,25.662,45.964,75.964
31,1573.692,11.16,210.969,119.837,53.096,37.737,29.83,59.83
32,1488.31,11.044,359.055,124.286,48.79,38.839,82.787,112.787
