 ,Area,Mean,X,Y,Major,Minor,Angle
1,899.463,9.266,392.080,17.303,41.413,27.654,163.516
2,1084.950,11.963,308.635,21.062,43.556,31.715,178.182
3,1399.983,10.982,352.861,25.997,45.607,39.084,179.977
4,1021.649,10.027,434.315,27.294,48.266,26.951,172.083
5,1379.373,11.068,237.751,36.146,61.059,28.763,20.727
6,959.820,13.857,279.197,40.209,38.148,32.035,177.990
7,1180.637,11.335,390.482,46.024,46.389,32.405,3.330
8,1001.039,14.813,321.000,49.207,42.953,29.673,178.541
9,1261.604,11.998,432.529,55.242,46.710,34.389,0.524
10,890.630,15.764,355.302,61.380,34.213,33.145,150.308
11,756.668,14.248,249.500,60.514,36.622,26.307,13.388
12,1114.392,13.310,493.460,71.293,45.286,31.332,122.241
13,775.805,16.842,214.849,68.140,36.277,27.229,32.308
14,1098.199,14.802,281.061,71.728,43.041,32.487,42.782
15,1133.530,13.240,462.165,75.944,41.031,35.175,86.682
16,821.441,15.832,314.888,75.369,35.372,29.568,174.481
17,1355.819,13.957,389.138,78.290,51.031,33.828,23.741
18,731.642,15.401,174.500,79.713,39.320,23.691,35.708
19,2091.877,14.444,344.704,99.496,56.281,47.324,7.751
20,1127.641,14.838,430.107,89.969,47.068,30.504,151.527
21,1217.440,15.239,240.183,89.941,44.183,35.084,16.596
22,724.281,13.510,144.699,96.335,37.933,24.311,45.631
23,705.144,16.483,182.504,99.166,39.610,22.666,48.942
24,899.463,18.118,205.159,103.674,43.816,26.137,67.438
25,242.899,16.056,297.852,90.678,24.307,12.724,171.171
26,1352.875,12.505,515.530,109.031,46.367,37.150,125.640
27,465.189,16.638,263.706,102.329,32.818,18.048,43.531
28,1158.556,15.559,477.207,107.409,41.975,35.143,165.988
29,828.802,17.402,394.973,108.580,35.184,29.992,66.333
30,1084.950,17.236,295.827,110.051,45.001,30.697,168.962
31,924.489,17.164,422.668,118.628,38.248,30.776,28.303
32,965.708,14.839,157.778,122.775,37.730,32.589,47.938
33,1107.032,16.448,225.909,124.714,46.490,30.319,29.521
34,1026.065,16.558,125.057,131.712,41.773,31.274,59.193
35,1045.203,19.652,268.061,130.340,38.773,34.323,134.232
36,1070.229,14.926,455.796,130.618,42.238,32.262,171.276
37,786.110,21.290,372.120,129.456,31.693,31.581,81.470
38,1263.076,13.534,540.952,141.253,41.554,38.701,155.468
39,630.066,20.176,182.807,133.915,34.972,22.939,47.362
40,1745.930,17.458,303.423,145.581,59.484,37.371,42.201
41,1321.961,14.879,500.167,143.641,47.117,35.724,134.330
42,1137.946,19.085,341.325,143.174,45.030,32.176,62.124
43,1330.793,16.112,396.909,154.376,53.262,31.813,92.433
44,713.976,19.811,240.394,146.606,35.114,25.889,31.212
45,571.181,18.597,195.483,148.405,38.425,18.927,39.300
46,753.724,13.871,92.055,149.111,37.269,25.750,37.791
47,1059.924,17.863,431.016,153.189,43.129,31.290,155.932
48,834.690,17.660,148.626,153.327,40.461,26.266,22.710
49,1023.121,15.921,471.258,160.795,40.567,32.112,156.070
50,1042.258,16.943,206.435,167.779,48.427,27.403,44.381
51,934.794,19.453,361.951,164.298,41.391,28.755,20.153
52,1033.426,14.719,110.746,169.021,44.785,29.381,45.074
53,1049.619,20.606,258.527,168.943,44.881,29.777,30.909
54,684.534,20.033,168.208,168.784,34.868,24.996,31.335
55,1217.440,11.979,565.165,178.328,47.302,32.770,105.839
56,1164.444,14.393,532.143,176.503,44.884,33.032,127.381
57,718.393,15.586,79.626,180.574,35.522,25.750,75.906
58,1455.923,19.823,223.620,191.181,49.541,37.418,50.092
59,2022.688,18.720,309.506,191.024,58.494,44.028,72.553
60,1170.333,17.132,502.579,188.173,47.785,31.184,103.908
61,983.374,17.570,432.087,180.610,44.254,28.293,165.943
62,978.957,16.346,137.313,186.183,38.426,32.437,39.787
63,983.374,20.561,382.857,191.812,40.854,30.647,101.056
64,1027.537,21.907,269.699,193.733,43.261,30.242,41.390
