 ,Eta,Gamma,Stage,Exp Sample,Unnamed: 5
0,2936.081,7153.099,early,Control MO,
1,3559.848,6148.773,early,Control MO,
2,3603.803,7579.641,early,Control MO,
3,3828.54,6689.172,early,Control MO,
4,3166.91,8204.421,early,Control MO,
5,4593.517,4873.873,early,Control MO,
6,5531.118,3812.569,early,Control MO,
7,5183.749,8618.893,late,Control MO,
8,5770.723,8841.473,late,Control MO,
9,4966.846,8656.662,late,Control MO,
10,6032.775,7778.533,late,Control MO,
11,5668.985,8347.422,late,Control MO,
12,12183.6,10015.51,late,Control MO,
13,7632.292,10249.1,late,Control MO,
14,6220.649,8117.892,late,Control MO,
15,3206.505,11480.53,early,Control MO,
16,3385.629,13415.32,early,Control MO,
17,3190.777,12643.23,early,Control MO,
18,4483.105,10603.38,early,Control MO,
20,4910.157,10033.01,early,Control MO,
21,3080.594,11214.72,early,Control MO,
22,4461.793,13286.54,early,Control MO,
23,3639.835,10888.7,early,Control MO,
25,4538.9752,13897.93,early,Control MO,
26,4532.241,11433.2,early,Control MO,
27,8489.978,9890.402,late,Control MO,
28,7339.184,9023.247,late,Control MO,
29,4514.333,10272.81,early,Control MO,
30,8953.361,7721.853,late,Control MO,
31,6042.18,7640.087,late,Control MO,
32,3383.1,12092.85,early,Control MO,
33,6556.877,8155.338,late,Control MO,
34,3779.651,11339.59,early,Control MO,
35,2778.318,12884.88,early,Control MO,
37,5022,3825,late,K4K8MO,
38,6527.58,3530,late,K4K8MO,
39,3939.47,3509.144,early,K4K8MO,
40,2603.92,5586.72,early,K4K8MO,
41,5877.27,5063.415,late,K4K8MO,
42,6711.19,4538.034,late,K4K8MO,
43,6601.66,4999.7789,late,K4K8MO,
44,5674.7,2922.3649,late,K4K8MO,
45,5210.86,5439.43,late,K4K8MO,
46,1079.308499,1006.952191,early,K4K8MO,31102022
47,1081.67785,1173.566492,early,K4K8MO,31102022
48,740.7176926,1146.896448,early,K4K8MO,31102022
49,813.4348364,951.34066,early,K4K8MO,31102022
50,947.1761572,1152.913706,early,K4K8MO,31102022
51,1114.62843,1124.802545,early,K4K8MO,31102022
52,445.1951993,1114.387863,early,K4K8MO,31102022
53,1485.156647,1081.392912,early,K4K8MO,31102022
54,673.5269945,1241.249314,early,K4K8MO,31102022
55,734.8177751,1127.425763,early,K4K8MO,31102022
56,1599.945687,1153.24742,early,K4K8MO,31102022
57,1911.82813,997.3442418,late,K4K8MO,31102022
58,1488.939913,857.8552947,late,K4K8MO,31052023
59,1381.421305,687.0854524,late,K4K8MO,31052023
60,1650.096731,720.6031672,late,K4K8MO,31052023
61,1512.254497,627.3925128,late,K4K8MO,31052023
62,1426.768433,618.3022757,late,K4K8MO,31052023
