PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 1, filenames: A:[1]MAX_TgUtrmcherry_Control_TimSrs0020.avi & B:[2]MAX_TgUtrmcherry_Control_TimSrs0020.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-13.13537025,-0.3741703033,1
47,65,-0.3068116903,-0.1805271655,1
47,97,0.6225391626,2.155226946,1
47,129,-0.3924883604,0.8827135563,1
47,161,-1.320822835,-1.037992477,1
47,193,-0.04153999686,-0.8944211602,1
47,225,2.131480694,1.348367691,1
47,257,0.5215764046,0.5812020302,1
47,289,2.942211628,3.985378742,1
47,321,0.5527019501,-1.404709816,1
47,353,-1.93616581,5.318834305,1
47,385,9.251684189,4.743974686,1
47,417,12.46269417,18.42077827,1
47,449,-3.983979225,8.20104599,1
47,481,-1.518943787,-1.123170376,1
47,513,-27.83157349,-9.329866409,1
47,545,0.4724321365,0.1137518883,1
47,577,-10.39107895,-3.964914799,1
47,609,-9.892539978,-6.586641788,1
47,641,-10.56743908,-5.52269268,1
47,673,-11.46942711,-4.952616692,1
47,705,-11.89102459,-4.42814827,1
47,737,-12.60882568,-2.992826223,1
47,769,-13.92542934,-2.560688496,1
47,801,-14.67606354,-4.077577114,1
47,833,-14.66316414,-5.32640028,1
47,865,-14.77596092,-5.235572338,1
47,897,-14.15519905,-4.460481644,1
47,929,-13.05446625,-3.466468811,1
47,961,-13.55295849,-3.222324848,1
47,993,-13.98255444,-3.338207245,1
47,1025,-14.08132172,-2.070673943,1
47,1057,-15.05151367,-1.348002911,1
47,1089,-15.06225777,-2.091310978,1
47,1121,-15.3929882,-1.764517426,1
47,1153,-17.04243279,-1.810074568,1
47,1185,-16.61703873,0.9123978615,1
47,1217,-13.48391724,4.093718052,1
47,1249,-14.360075,5.066306114,1
47,1281,-13.17802715,6.365707397,1
47,1313,-11.6293726,5.778268814,1
47,1345,-10.47096157,5.346348286,1
47,1377,-10.45681,7.037114143,1
47,1409,-9.994421005,7.405191422,1
47,1441,-9.763383865,7.476547241,1
47,1473,-10.62804604,8.448975563,1
47,1505,-11.61937523,9.492567062,1
47,1537,-10.76702499,9.643280029,1
47,1569,-11.74698162,9.253253937,1
47,1601,-12.35779858,7.445562363,1
47,1633,-11.51643181,8.010124207,1
47,1665,-9.733068466,8.695688248,1
47,1697,-8.282173157,8.118501663,1
