PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 1, filenames: A:[1]MAX_Pos0nd_TimeSrs022_TgKrt18GFP_Myptonecell.avi & B:[2]MAX_Pos0nd_TimeSrs022_TgKrt18GFP_Myptonecell.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-0.6794258952,1.060224652,1
47,65,-1.176220059,-1.029789329,1
47,97,-1.957970619,-1.144482613,1
47,129,-2.634441137,-1.226828456,1
47,161,-3.021249056,-0.4910783768,1
47,193,-2.98863554,0.08992141485,1
47,225,-1.364375114,0.04840910435,1
47,257,-0.5395166874,-0.1370888948,1
47,289,-1.568445683,0.04340863228,1
47,321,-2.663520575,-0.3876669407,1
47,353,-3.201675415,-0.6346728206,1
47,385,-2.906709671,-0.5453404188,1
47,417,-2.414060116,0.6301690936,1
47,449,-1.776610374,1.930213094,1
47,481,-1.50049758,1.912358642,1
47,513,-1.120283723,0.7467970848,1
47,545,-0.04728841782,1.26604259,1
47,577,-0.01668214798,0.7394515276,1
47,609,-0.238311708,0.9124121666,1
47,641,-1.048166513,1.495175958,1
47,673,-0.4272506833,1.181193471,1
47,705,0.3656694889,1.124341249,1
47,737,0.3162534237,-0.2414414883,1
47,769,0.01264536381,1.06427598,1
47,801,0.2812167406,1.337643981,1
47,833,1.18188405,2.419732094,1
47,865,1.502377987,1.952231646,1
47,897,2.430314064,0.7082959414,1
47,929,3.429466248,0.07536149025,1
47,961,1.834353089,0.8497966528,1
47,993,0.3261205554,1.239665985,1
47,1025,-0.5016071796,1.829302907,1
47,1057,-0.8399111629,1.658711076,1
47,1089,-0.7158628106,2.02846694,1
47,1121,0.4426805377,2.611749649,1
47,1153,0.7341297865,1.942004204,1
47,1185,1.49247098,1.977656841,1
47,1217,2.692263603,3.862659454,1
47,1249,3.481477499,4.230460167,1
47,1281,4.509429455,3.256661415,1
47,1313,3.074850082,1.823917389,1
47,1345,2.1176548,2.985292196,1
47,1377,3.544671297,4.040891171,1
47,1409,3.998863459,3.734966755,1
47,1441,3.493890762,5.066596985,1
47,1473,4.7396698,4.817481995,1
47,1505,4.8780303,4.095111847,1
47,1537,4.07192421,2.801812887,1
47,1569,2.380022764,0.9885621071,1
47,1601,1.472626448,1.531814337,1
47,1633,0.942717433,2.459270239,1
47,1665,1.831072092,3.487138271,1
47,1697,2.270434856,3.91773653,1
47,1729,3.271273136,4.460244179,1
47,1761,4.140509129,5.683826447,1
47,1793,4.028215408,6.909950256,1
47,1825,2.218188286,6.772938251,1
47,1857,0.55481565,5.128840446,1
47,1889,0.4213814735,3.144244194,1
47,1921,1.265995383,4.848328114,1
47,1953,2.918945313,4.143693924,1
47,1985,3.24213028,0.3783788681,1
47,2017,-11.29195404,-14.77915955,1
79,33,-1.42861712,0.4340507388,1
79,65,-1.342883945,-0.7570540905,1
79,97,-1.282698274,-1.383532643,1
79,129,-1.836126328,-1.117002964,1
79,161,-2.303823471,-1.02436626,1
79,193,-2.343382835,-0.8451839685,1
79,225,-1.333414316,-0.1376248598,1
79,257,-1.716840744,-1.07166934,1
79,289,-1.887125969,-0.9881010652,1
79,321,-2.589577436,-1.104634643,1
79,353,-3.553795815,-0.9610111713,1
79,385,-2.896541119,-0.3630278409,1
79,417,-2.15972805,0.7692871094,1
79,449,-1.540912628,1.403410673,1
79,481,-1.452271461,1.432982683,1
79,513,-1.626871347,0.8767955303,1
79,545,-1.53656745,-0.0615735054,1
79,577,-0.5301215649,-0.2017323375,1
79,609,-0.6197474003,-0.04554194212,1
79,641,-1.153882027,0.1304288507,1
79,673,-1.200268507,0.06227010489,1
79,705,-1.191041946,-0.09782654047,1
79,737,-1.418181419,-0.1830208749,1
79,769,-1.477415562,1.535390615,1
79,801,-0.999977231,2.328069448,1
79,833,-0.2754483819,1.266200304,1
79,865,0.05138224363,1.406334996,1
79,897,-0.6911919117,1.103641152,1
79,929,0.01095592976,1.552117705,1
79,961,0.3802375197,2.920412064,1
79,993,-0.02366262674,2.033804417,1
79,1025,-0.7270914316,0.9166382551,1
79,1057,-0.6558836102,1.357022047,1
79,1089,1.347782135,3.301124573,1
79,1121,1.051927924,2.989021301,1
79,1153,0.1575856209,3.465100765,1
79,1185,0.9475610256,3.385716438,1
79,1217,1.609434009,3.703945637,1
79,1249,1.851899147,3.961342335,1
79,1281,2.499067545,3.973377705,1
79,1313,2.563277245,3.06309557,1
79,1345,2.391474962,2.862464428,1
79,1377,4.039982319,3.466355562,1
79,1409,3.714362144,2.907033443,1
79,1441,3.540154457,2.738972187,1
79,1473,4.438037395,3.230255604,1
79,1505,4.589439869,3.921539307,1
79,1537,3.584975719,2.657725573,1
79,1569,2.638515949,0.05933380127,1
79,1601,2.208591938,1.574050307,1
79,1633,2.42121911,1.996279955,1
79,1665,2.739143372,4.29878664,1
79,1697,4.591145515,4.100995064,1
79,1729,4.189945221,4.344647408,1
79,1761,2.964888334,4.49977541,1
79,1793,1.638111591,5.043245316,1
79,1825,-0.00218963623,5.456031322,1
79,1857,1.19996357,4.173297405,1
79,1889,2.140157461,4.159923077,1
79,1921,2.317441463,5.382358074,1
79,1953,1.607343912,4.802130699,1
79,1985,3.653924704,6.615900993,1
79,2017,2.719561577,3.82341671,1
111,33,-1.693861127,-0.1011909842,1
111,65,-1.212452412,-0.6221461892,1
111,97,-1.118817449,-1.069046974,1
111,129,-1.389083266,-1.003740072,1
111,161,-2.349496365,-0.9331710339,1
111,193,-3.449051619,-1.418717384,1
111,225,-2.152208805,-0.9553747177,1
111,257,-2.225754261,-1.322043419,1
111,289,-2.780181885,-1.59676075,1
111,321,-3.065138102,-1.446731448,1
111,353,-3.05079484,-1.02840066,1
111,385,-2.487790823,-0.08882957697,1
111,417,-2.061590195,0.5859495401,1
111,449,-1.930992126,1.017039299,1
111,481,-2.189402342,0.4505494237,1
111,513,-2.948575735,0.01871007681,1
111,545,-2.128027916,-0.4147601128,1
111,577,-1.410785317,-0.3313435018,1
111,609,-0.6970492601,-0.7066559792,1
111,641,-0.3745692968,-0.8806920648,1
111,673,-1.4860847,-0.6409748793,1
111,705,-2.015496969,-0.4495916963,1
111,737,-2.199237347,-0.1638407558,1
111,769,-2.318367481,2.005112886,1
111,801,-2.175741911,2.199237823,1
111,833,-2.206741095,0.7383018732,1
111,865,-2.126780987,0.7945142984,1
111,897,-1.878538847,0.8960510492,1
111,929,-0.9119708538,1.488621831,1
111,961,-0.755589366,4.142507553,1
111,993,-1.03140831,2.478023052,1
111,1025,-0.7771641016,0.8067234755,1
111,1057,-0.3458132744,1.784564495,1
111,1089,1.237922549,3.320106506,1
111,1121,1.927472711,3.593537092,1
111,1153,1.298302412,4.082174778,1
111,1185,1.349271297,4.403453827,1
111,1217,1.338615298,3.462355375,1
111,1249,1.262132883,3.498051643,1
111,1281,1.454694986,3.924171448,1
111,1313,1.868827343,3.842417479,1
111,1345,2.012297869,3.815043926,1
111,1377,2.036197662,3.360302687,1
111,1409,2.329500675,2.319569826,1
111,1441,3.34654212,1.927084446,1
111,1473,5.018346786,3.186868668,1
111,1505,4.831855774,3.511956215,1
111,1537,3.329596281,2.124862194,1
111,1569,3.144819021,3.022842884,1
111,1601,3.675995827,2.98404026,1
111,1633,4.857139587,2.837632179,1
111,1665,3.906811476,4.63940239,1
111,1697,3.449291468,4.634362698,1
111,1729,2.790481091,4.214038849,1
111,1761,2.05426693,4.126749039,1
111,1793,0.4413765669,4.993955135,1
111,1825,0.9468858242,5.185019493,1
111,1857,1.728375554,5.059729099,1
111,1889,2.443396568,5.293025017,1
111,1921,2.363031626,5.813278198,1
111,1953,2.502162457,5.13896513,1
111,1985,2.497467041,6.284460545,1
111,2017,1.541736841,3.747215271,1
143,33,-1.968103409,-0.2703581154,1
143,65,-1.237018108,-0.3757220507,1
143,97,-1.239060998,-0.4609189034,1
143,129,-1.412601948,-0.9688022137,1
143,161,-1.96126461,-1.236768603,1
143,193,-3.783967018,-1.139289379,1
143,225,-2.751816988,-1.334160089,1
143,257,-2.968114138,-1.776148915,1
143,289,-3.583967924,-1.597002268,1
143,321,-3.636444092,-1.205567241,1
143,353,-2.359914064,-1.369223356,1
143,385,-2.356263399,-0.8556028605,1
143,417,-3.018459082,-0.2139479518,1
143,449,-3.289741755,0.7097754478,1
143,481,-2.572246552,0.2635649741,1
143,513,-2.277764082,-0.1377273798,1
143,545,-2.246471405,-0.7545996904,1
143,577,-2.114405632,-0.9496420622,1
143,609,-1.178090572,-1.209931135,1
143,641,-0.4508628845,-1.288837075,1
143,673,-1.479845285,-0.8894330263,1
143,705,-2.375917912,-0.3307177424,1
143,737,-2.60131669,-0.2226009369,1
143,769,-2.899814844,0.7349303365,1
143,801,-3.122918844,0.5778026581,1
143,833,-3.993484497,0.02679920197,1
143,865,-4.350618839,-0.4782078266,1
143,897,-4.362511635,0.4176135659,1
143,929,-3.958508968,1.583532453,1
143,961,-2.428719759,2.92610836,1
143,993,-1.387615204,2.540869951,1
143,1025,-0.5292057991,2.228756905,1
143,1057,0.1434543133,3.236219168,1
143,1089,1.413780928,4.442430496,1
143,1121,1.934109211,4.044522285,1
143,1153,1.331627488,2.881179333,1
143,1185,1.742071629,3.902249813,1
143,1217,2.292449236,3.20951581,1
143,1249,1.712386131,2.527724743,1
143,1281,2.245925665,3.728808165,1
143,1313,2.40181756,3.699816704,1
143,1345,2.315886974,3.123300076,1
143,1377,2.320838928,2.550005674,1
143,1409,2.585914373,2.409680128,1
143,1441,3.431755543,2.65216136,1
143,1473,4.123903275,3.657931566,1
143,1505,4.05765295,3.41810441,1
143,1537,4.300348282,3.01671958,1
143,1569,4.116563797,3.607372522,1
143,1601,5.236850739,3.354270935,1
143,1633,5.629838943,3.529032707,1
143,1665,4.495497227,5.212117195,1
143,1697,3.464678288,5.461301327,1
143,1729,2.337342262,4.749566078,1
143,1761,0.8975856304,4.521796703,1
143,1793,-0.03880429268,4.516565323,1
143,1825,1.101969004,4.541234016,1
143,1857,2.166980267,5.3153162,1
143,1889,2.233500481,5.481402397,1
143,1921,2.40140295,5.478063583,1
143,1953,3.107452631,5.027506351,1
143,1985,2.860014677,5.632551193,1
143,2017,2.219770193,1.053498745,1
175,33,-2.19220829,-0.08531472087,1
175,65,-1.316755772,-0.186006546,1
175,97,-1.195355654,-0.4087136686,1
175,129,-1.515958905,-0.6968079805,1
175,161,-1.770432949,-1.07410574,1
175,193,-2.43445611,-0.8795590997,1
175,225,-2.672526836,-1.003402948,1
175,257,-3.086037874,-1.632398367,1
175,289,-3.727185011,-1.485694766,1
175,321,-2.990437984,-0.3502687216,1
175,353,-3.134239197,-1.174083591,1
175,385,-4.506816864,-1.723336458,1
175,417,-3.68908453,-0.7730396986,1
175,449,-2.996774673,0.5950201154,1
175,481,-2.284386873,0.5349037647,1
175,513,-2.315054655,0.06400817633,1
175,545,-3.014516354,-0.2156934738,1
175,577,-3.056633234,-1.122989774,1
175,609,-2.685264349,-2.66277504,1
175,641,-0.9458158016,-1.827558994,1
175,673,-2.425936222,-1.709834099,1
175,705,-3.073649406,-1.250297785,1
175,737,-3.182509422,-1.063063145,1
175,769,-3.119376421,-1.149068832,1
175,801,-4.405200958,-0.3339095116,1
175,833,-3.456724882,0.620062232,1
175,865,-1.407565355,-0.2293734252,1
175,897,-0.7835129499,-0.3518326283,1
175,929,-3.483151436,1.206944942,1
175,961,-3.020224333,2.269214392,1
175,993,-1.677255869,1.971395969,1
175,1025,-1.34128356,2.234140873,1
175,1057,-0.665050745,3.256580591,1
175,1089,1.190312386,5.327412605,1
175,1121,0.6363081932,4.702669621,1
175,1153,1.060353279,3.508610725,1
175,1185,1.140501618,4.117944717,1
175,1217,1.374723554,3.78904295,1
175,1249,1.801602125,3.246417284,1
175,1281,2.915640354,3.572109938,1
175,1313,3.349977732,3.086390018,1
175,1345,2.872044563,1.899513483,1
175,1377,2.814725876,1.778733969,1
175,1409,2.994545221,2.546590328,1
175,1441,3.588658094,2.857354879,1
175,1473,3.741776943,3.740115881,1
175,1505,3.844059467,3.688731909,1
175,1537,4.559615135,3.304943085,1
175,1569,4.088481903,3.33215332,1
175,1601,4.228046417,3.771643639,1
175,1633,4.350354671,4.754450321,1
175,1665,4.284060001,5.530120373,1
175,1697,3.742231131,5.796771526,1
175,1729,2.399686098,5.663646698,1
