PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 14, filenames: A:[14]MAX_TimeSrs019_TgUtrmcherry_Control.avi & B:[15]MAX_TimeSrs019_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,3.167613029,3.025740147,1
47,65,-1.608783245,-7.488863945,1
47,97,-0.3652415574,-0.8148196936,1
47,129,0.797192812,-2.109485149,1
47,161,1.244471788,-0.7494688034,1
47,193,3.115375519,-3.20041132,1
47,225,2.941091537,-4.529379368,1
47,257,1.43221879,-5.508080482,1
47,289,1.373695374,-5.375495911,1
47,321,3.015726089,-6.047945499,1
47,353,2.518053055,-5.259630203,1
47,385,2.070131063,-3.938182831,1
47,417,2.414801121,-3.245913506,1
47,449,2.850748062,-2.383976936,1
47,481,3.28027463,-2.824817657,1
47,513,3.805765629,-5.715302467,1
47,545,4.029735565,-6.290195465,1
47,577,4.534638405,-6.298766613,1
47,609,5.901759148,-3.499844551,1
47,641,6.544059753,-2.894699097,1
47,673,4.956836224,-5.847675323,1
47,705,4.927180767,-6.492158413,1
47,737,4.606335163,-7.638541698,1
47,769,4.980268478,-7.05314827,1
47,801,4.370262623,-4.474749565,1
47,833,1.951957941,-4.501641273,1
47,865,1.640240192,-4.346786499,1
47,897,2.180850983,-3.744481802,1
47,929,2.270343781,-3.734246731,1
47,961,1.831745625,-3.750451088,1
47,993,1.774746418,-3.979995728,1
47,1025,2.172340155,-3.829998016,1
47,1057,0.02798449993,-2.770235062,1
47,1089,-1.972877026,-4.282133102,1
47,1121,-1.082702994,-5.988296509,1
47,1153,0.6407231092,-4.863994122,1
47,1185,0.5831000805,-3.786426544,1
47,1217,1.834001422,-4.8834939,1
47,1249,1.93094182,-3.5596838,1
47,1281,2.047215462,-3.21217227,1
47,1313,4.256289005,-2.735295296,1
47,1345,5.919911385,-2.620049953,1
47,1377,4.844099998,-2.387680531,1
47,1409,4.033086777,-3.436958313,1
47,1441,3.306190968,-4.253705502,1
47,1473,4.292171478,-4.381578445,1
47,1505,4.757658005,-3.479048729,1
47,1537,3.721169472,-2.241743803,1
47,1569,3.997587204,-3.031297684,1
47,1601,3.842557907,-3.637864113,1
47,1633,2.847523451,-3.219899178,1
47,1665,2.012010813,-3.732780457,1
47,1697,1.119289637,-2.260668755,1
47,1729,1.357369781,-3.030085802,1
47,1761,3.152809858,-3.69125843,1
47,1793,3.555405378,-4.05437088,1
47,1825,2.341581345,-4.410431862,1
47,1857,2.159399509,-3.411584854,1
47,1889,1.972815275,-4.711577415,1
47,1921,1.315789342,-5.489567757,1
47,1953,0.9879660606,-5.415963173,1
47,1985,1.039592624,-2.66433239,1
47,2017,-2.489182472,-0.1283197403,1
79,33,15.79620361,3.074645996,1
79,65,-0.6219568253,-8.781074524,1
79,97,0.05849373341,-1.292380333,1
79,129,2.700629234,-3.877815008,1
79,161,-2.191740513,-6.091768265,1
79,193,0.510420084,-0.06243348122,1
79,225,7.650576591,-4.179718971,1
79,257,4.590771675,-5.323621273,1
79,289,2.697962761,-4.503711224,1
79,321,3.132153988,-4.425292492,1
79,353,3.061844826,-4.680497646,1
79,385,2.96672678,-4.924753189,1
79,417,3.499608994,-5.824419975,1
79,449,4.11374712,-6.220106125,1
79,481,4.615552902,-6.480277538,1
79,513,4.445082188,-6.935162544,1
79,545,4.442155361,-6.80394268,1
79,577,4.365260124,-7.157583714,1
79,609,5.820745468,-5.694268703,1
79,641,6.739012241,-4.79929924,1
79,673,6.08707571,-6.123044968,1
79,705,6.512592793,-5.672290802,1
79,737,6.238656998,-5.093261719,1
79,769,5.596759796,-6.255187511,1
79,801,5.08338213,-5.340317249,1
79,833,3.08274889,-4.79955864,1
79,865,3.211007118,-4.883543491,1
79,897,3.21368742,-4.804893494,1
79,929,2.32043767,-4.690165997,1
79,961,1.60192275,-5.074315071,1
79,993,2.246700764,-4.596778393,1
79,1025,2.172390461,-3.921598911,1
79,1057,1.340993047,-3.388061047,1
79,1089,0.4039715528,-4.518556595,1
79,1121,0.4166938066,-5.27338171,1
79,1153,0.4913043976,-4.885458469,1
79,1185,0.3402805328,-3.894604683,1
79,1217,2.515128613,-5.095983505,1
79,1249,2.162183046,-4.092796326,1
79,1281,1.983940363,-3.119427919,1
79,1313,2.876912594,-2.155959368,1
79,1345,3.21730113,-2.382729053,1
79,1377,3.013384342,-3.013262272,1
79,1409,3.483487368,-3.291592836,1
79,1441,3.729124308,-3.328065157,1
79,1473,3.868008375,-4.143208504,1
79,1505,3.963340521,-4.958909512,1
79,1537,3.618737936,-4.24868679,1
79,1569,3.640151978,-4.064011097,1
79,1601,3.122095346,-3.745605946,1
79,1633,2.224963665,-3.348523855,1
79,1665,1.918086767,-3.116115332,1
79,1697,1.007855773,-1.248501778,1
79,1729,2.199143887,-2.849242926,1
79,1761,2.81975174,-2.856287956,1
79,1793,2.308400154,-1.640058517,1
79,1825,2.397059202,-4.666767597,1
79,1857,1.86726737,-6.030110359,1
79,1889,1.586792946,-3.318424463,1
79,1921,1.317664027,-3.191327095,1
79,1953,1.709076643,-3.488319874,1
79,1985,2.914137125,-1.498604417,1
79,2017,0.9137872458,-1.178850174,1
