PIVlab, ASCII chart output - 07-Feb-2024
FRAME: 13, filenames: A:[13]MAX_TimeSrs026_TgUtrmcherry_Control.avi & B:[14]MAX_TimeSrs026_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,9.079208374,5.830500603,1
47,65,1.433311462,-0.01928214729,1
47,97,1.210340023,-0.9669146538,1
47,129,0.366590023,0.4030214548,1
47,161,0.649564743,2.486230373,1
47,193,0.7803040743,1.614839792,1
47,225,-0.0003857314587,0.78759408,1
47,257,-0.502364099,1.302924156,1
47,289,0.05547897518,1.006072402,1
47,321,0.6802203059,0.4321398735,1
47,353,0.6780820489,0.2997208834,1
47,385,0.2338853776,1.921091676,1
47,417,1.420609355,4.593506813,1
47,449,-1.113777161,2.391638517,1
47,481,0.2159089446,1.813644409,1
47,513,1.143150926,1.923652887,1
47,545,2.610655069,2.039270401,1
47,577,2.362396717,2.142520905,1
47,609,1.634663582,2.208312511,1
47,641,1.088240623,0.6770486236,1
47,673,0.05279743671,-0.4785597026,1
47,705,-0.0774075985,-0.4559453428,1
47,737,-0.3652081192,-0.5988511443,1
47,769,0.07285833359,0.1088869572,1
47,801,0.7273904681,2.600676537,1
47,833,0.8597844839,2.664845705,1
47,865,0.8085933328,1.256784797,1
47,897,-1.350414872,-0.5694462061,1
47,929,-1.86052382,0.4923686981,1
47,961,-1.001997709,3.055698395,1
47,993,-0.7081828117,4.504995346,1
47,1025,2.325442076,4.705700397,1
47,1057,4.173288822,3.898862123,1
47,1089,1.702775478,1.691984415,1
47,1121,2.023622036,1.267721772,1
47,1153,3.775118351,1.028454781,1
47,1185,5.723434448,0.1618205607,1
47,1217,6.663947105,1.582913041,1
47,1249,7.392403603,4.855841637,1
47,1281,4.952314377,4.886470795,1
47,1313,2.979230642,2.69257617,1
47,1345,3.408262968,-0.312181592,1
47,1377,7.425971985,0.9567067623,1
47,1409,0.01288223267,-1.280682802,1
47,1441,3.518130302,-0.1511284113,1
47,1473,2.58575654,0.2860000134,1
47,1505,1.061723471,0.6949778795,1
47,1537,0.5315710306,-0.2237601429,1
47,1569,1.806424141,-0.02298903465,1
47,1601,1.468806982,0.2185245752,1
47,1633,2.080046654,0.5534404516,1
47,1665,2.619175911,0.352057755,1
47,1697,1.9835217,0.1836742759,1
47,1729,1.570501208,0.01035827398,1
47,1761,1.711334229,0.101418674,1
47,1793,1.183836937,0.2841680646,1
47,1825,2.830430031,0.06636971235,1
47,1857,2.548223972,-0.2183149159,1
47,1889,1.131673694,-0.2101795822,1
47,1921,0.4867426753,-0.2032020688,1
47,1953,0.03542339802,0.1396526694,1
47,1985,-0.9350165725,0.1307761669,1
47,2017,0.5571639538,-0.08786202222,1
79,33,-18.41256332,1.722833395,1
79,65,-0.4134258926,-0.2440284044,1
79,97,-0.09616798162,-0.4781544209,1
79,129,-0.1746777296,1.365395308,1
79,161,0.3668839335,2.386905193,1
79,193,0.8892550468,2.708059311,1
79,225,0.8170267344,1.035529137,1
79,257,0.5973316431,0.7794935107,1
79,289,0.09922246635,1.036624908,1
79,321,-0.5060920715,1.071380973,1
79,353,-0.5422224998,1.266612411,1
79,385,-0.2221819758,2.212027073,1
79,417,3.656954765,5.727850914,1
79,449,0.1453179717,1.736505389,1
79,481,0.5047885776,1.132927775,1
79,513,0.7699853182,1.703760386,1
79,545,0.5557611585,2.432373524,1
79,577,0.5882763863,0.694798708,1
79,609,0.6185685992,-0.1547659039,1
79,641,1.024614215,1.242992401,1
79,673,0.7763070464,-0.2096569091,1
79,705,0.2850399911,-0.03814250231,1
79,737,0.5270752311,0.05088412762,1
79,769,-0.2776066065,0.3964579701,1
79,801,0.06204243004,0.8453772068,1
79,833,0.07030819356,0.9888193607,1
79,865,-0.2761763632,0.4227573872,1
79,897,-1.618787527,-0.07023799419,1
79,929,-0.9847747087,1.240601778,1
79,961,1.06112504,3.839267731,1
79,993,2.26224184,3.133533239,1
79,1025,1.856109619,2.417909622,1
79,1057,0.9894518852,2.530184984,1
79,1089,4.021918297,1.659450769,1
79,1121,5.10678339,0.7407025099,1
79,1153,5.642985821,0.2717676759,1
79,1185,4.951888561,0.03759127855,1
79,1217,5.262782097,1.92450273,1
79,1249,6.123357773,4.68321991,1
79,1281,5.664622784,3.433128357,1
79,1313,4.499979973,0.3783221245,1
79,1345,4.093135357,-2.826556444,1
79,1377,2.771531582,-2.920132637,1
79,1409,3.55646801,-0.8044462204,1
79,1441,4.213357925,-1.114078283,1
79,1473,4.02557373,-0.4238885641,1
79,1505,2.0454669,1.537649035,1
79,1537,2.722348213,0.6224338412,1
79,1569,0.3516817093,0.4187106788,1
79,1601,0.2191408277,-0.1986969411,1
79,1633,0.8624670506,0.05601960421,1
79,1665,1.268395305,-0.3655698895,1
79,1697,1.023116112,-0.7231605053,1
79,1729,1.12237227,-0.3615756333,1
79,1761,1.257447839,-0.7129110098,1
79,1793,1.537851095,-0.6588603854,1
79,1825,2.067443609,-0.410386622,1
79,1857,1.506421089,-0.3736541271,1
79,1889,1.042431235,-0.209144339,1
79,1921,1.08350575,-0.1164625734,1
79,1953,0.8775621653,0.2679741383,1
79,1985,0.2561942339,-0.1290716231,1
79,2017,-0.2086386085,-0.09118044376,1
111,33,0.9479283094,-0.06340235472,1
111,65,0.5035378337,-1.697391272,1
111,97,-0.7189073563,-0.8795946836,1
111,129,-1.067524433,2.872697353,1
111,161,0.6235736609,2.944511652,1
111,193,1.291738749,3.397121668,1
111,225,1.081346154,0.2786681652,1
111,257,1.057233095,-0.4379491806,1
111,289,0.252905488,0.8273651004,1
111,321,-0.4759422541,1.378010154,1
111,353,-0.5640453696,1.478461266,1
111,385,-0.2258534133,1.396368742,1
111,417,-0.0232783556,1.067978144,1
111,449,1.639523387,1.277011633,1
111,481,0.7166316509,1.984975815,1
111,513,0.483659029,2.312547684,1
111,545,0.3144879341,2.081597567,1
111,577,-0.6937621832,-0.5305473804,1
111,609,-0.204424426,-1.210673809,1
111,641,0.4258626699,-0.07195463777,1
111,673,0.5789189339,-0.8918516636,1
111,705,1.134693146,-0.08219512552,1
111,737,0.7420271635,-0.00646032393,1
111,769,0.3508468866,0.3486638665,1
111,801,0.1862997264,0.7625421286,1
111,833,-0.2046954334,1.461822629,1
111,865,-0.6190428734,2.945227623,1
111,897,-0.8668459654,2.758261442,1
111,929,5.092805386,21.80056572,1
111,961,7.668969154,20.24082756,1
111,993,19.84638786,12.84381485,1
111,1025,1.54767108,1.214884877,1
111,1057,2.596598625,2.526829481,1
111,1089,3.79527235,4.14095211,1
111,1121,9.164834976,2.136468887,1
111,1153,8.096048355,-0.04709810019,1
111,1185,4.059779644,-0.2998719215,1
111,1217,3.626008034,0.8491641283,1
111,1249,4.873530865,3.286064148,1
111,1281,5.756565571,3.169069052,1
111,1313,5.720668316,0.2977033854,1
111,1345,5.738638401,-0.233377099,1
111,1377,5.894054413,-1.269573092,1
111,1409,5.003558159,-0.6183274388,1
111,1441,4.815741062,-1.325487375,1
111,1473,4.794326305,-0.2841840982,1
111,1505,3.237066984,0.8249144554,1
111,1537,1.227006435,0.6272739172,1
111,1569,-0.2422926426,0.3411791325,1
111,1601,-0.1031578779,-0.07823241502,1
111,1633,0.6483778954,-0.2365626693,1
111,1665,1.000207782,-0.7384448647,1
111,1697,0.1252636909,-1.440529823,1
111,1729,0.7038192749,-1.660793543,1
111,1761,1.119713664,-1.355961323,1
111,1793,0.8427275419,-0.8751237392,1
111,1825,1.516614556,-0.6090874672,1
111,1857,1.270052195,-0.2985185385,1
111,1889,1.060894489,-0.08318980038,1
111,1921,1.012720704,0.2723935246,1
111,1953,0.7081838846,0.365477711,1
111,1985,0.8694747686,0.03671711683,1
111,2017,-0.1587469578,-0.07256303728,1
143,33,0.6350347996,0.07292598486,1
143,65,1.1556288,-3.55444169,1
143,97,0.4220683575,-3.596568584,1
143,129,-3.94402194,1.838742375,1
143,161,1.821960926,4.417114258,1
143,193,2.237683296,3.77841711,1
143,225,2.513748884,0.6710647345,1
143,257,0.9423171282,0.6781813502,1
143,289,0.416821897,0.410823822,1
143,321,0.0659352839,0.4817417264,1
143,353,0.300986588,1.144305229,1
143,385,0.5134278536,1.147727966,1
143,417,0.2935679853,1.04084444,1
143,449,0.5083223581,1.133940101,1
143,481,3.318142414,2.95767355,1
143,513,0.3579365015,1.497968912,1
143,545,0.4055219293,0.9252814054,1
143,577,0.2563632131,0.5967211723,1
143,609,0.1614692807,1.062691808,1
143,641,-0.04834367335,0.8071408272,1
143,673,0.08116689324,0.0898566246,1
143,705,1.132114887,-0.1517433226,1
143,737,13.23861599,8.15844059,1
143,769,1.254168272,0.6993182302,1
143,801,0.8852397203,1.348642588,1
143,833,0.5671912432,2.183916569,1
143,865,1.115788937,3.710460663,1
143,897,1.175860643,4.255228043,1
143,929,2.053809643,4.468726635,1
143,961,2.908684731,4.83300972,1
143,993,8.168075562,1.05061698,1
143,1025,9.183044434,0.9341255426,1
143,1057,3.379045486,1.847468019,1
143,1089,3.875597239,3.116021156,1
143,1121,6.09031868,1.731871009,1
143,1153,5.957763195,0.6005171537,1
143,1185,3.440854073,0.5586107969,1
143,1217,3.86730814,0.8708039522,1
143,1249,4.518896103,1.909522295,1
143,1281,5.500833035,2.58240962,1
143,1313,5.938165665,0.7991348505,1
143,1345,5.987535477,0.5508261323,1
143,1377,5.938825607,0.01478114724,1
143,1409,5.798673153,-0.8077206016,1
143,1441,-10.25642967,6.144613743,1
143,1473,3.532234669,0.1123245358,1
143,1505,3.475076914,0.3592241406,1
143,1537,21.69127464,2.177970409,1
143,1569,0.6134037971,0.2844245434,1
143,1601,1.652780294,-0.3630007803,1
143,1633,1.528617024,-0.7160345316,1
143,1665,0.405148983,-0.06367152929,1
