PIVlab, ASCII chart output - 12-Feb-2024
FRAME: 40, filenames: A:[40]MAX_TgUtrmcherry_K4K8MO_TimeSrs002728.avi & B:[41]MAX_TgUtrmcherry_K4K8MO_TimeSrs002728.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,0.1109621823,-0.04290741682,1
47,65,-0.1104522347,-0.0732152015,1
47,97,-0.06164112687,-0.0272384584,1
47,129,0.01197305322,-0.1129770279,1
47,161,0.06252707541,0.06868982315,1
47,193,-0.09578534961,0.1253709942,1
47,225,0.02870486677,0.02485741675,1
47,257,0.05234128237,0.06012530625,1
47,289,-0.2061744928,-0.009244695306,1
47,321,-0.4686568975,0.1770655066,1
47,353,-0.6502224207,-0.1316635013,1
47,385,-0.4675594568,-0.730319798,1
47,417,0.05782544613,-2.350832701,1
47,449,0.5886850357,-4.225552559,1
47,481,0.3708796501,-1.672607422,1
47,513,1.119995117,-2.664541721,1
47,545,-0.2308112383,-4.041506767,1
47,577,-0.3035919368,-0.6968134046,1
47,609,-0.2049008459,-2.391983986,1
47,641,NaN,NaN,2
47,673,-0.3654255867,-3.692843199,1
47,705,-2.211125612,-1.209269047,1
47,737,-1.206746101,-2.296307087,1
47,769,0.2022750378,-1.392516851,1
47,801,-0.1312789917,-1.187811136,1
47,833,-0.7031354904,0.2509850264,1
47,865,-0.3972276151,-0.9851294756,1
47,897,0.2323299646,-1.605142951,1
47,929,0.8500018716,-1.137504101,1
47,961,0.2617233396,-1.295884013,1
47,993,-0.982424736,-0.9507074356,1
47,1025,-1.248764038,-0.9187815189,1
47,1057,-0.3157200813,-0.8613132238,1
47,1089,0.8738356829,-0.5931813717,1
47,1121,0.9701425433,-0.7603687048,1
47,1153,-0.2710696161,-0.06511366367,1
47,1185,-1.049802542,1.830423474,1
47,1217,-1.184461117,2.593532562,1
47,1249,-1.805348277,1.677523375,1
47,1281,-1.901954651,-0.1553592682,1
47,1313,-1.501059532,-0.9288154244,1
47,1345,-1.110869408,0.2381954193,1
47,1377,-0.4416230917,0.2121287584,1
47,1409,-0.3075546622,-0.214913249,1
47,1441,-0.7994202971,-0.807397604,1
47,1473,-0.6089828014,-1.416947961,1
47,1505,0.1279829144,-1.436603785,1
47,1537,0.870537281,-0.01479712129,1
47,1569,1.791445732,0.08618678153,1
47,1601,2.172871828,0.1568484306,1
47,1633,0.1283135414,0.1080182195,1
47,1665,-0.3898137808,-0.09304070473,1
47,1697,-0.4001037478,-1.022431612,1
47,1729,-1.23408699,-0.9834723473,1
47,1761,-1.241413355,-0.7554961443,1
47,1793,-0.7279168963,-0.5696787834,1
47,1825,-0.4386304617,0.2120561153,1
47,1857,-0.5036549568,0.5386787057,1
47,1889,-0.5095692873,0.479385078,1
47,1921,-0.15884462,-0.03701817244,1
47,1953,-0.05639764667,-1.13956666,1
47,1985,-0.4923801124,-1.077867746,1
47,2017,-0.6233939528,0.05435967445,1
79,33,-0.2583100796,-0.01412643492,1
79,65,-0.1092164218,-0.1866275221,1
79,97,0.1350763738,-0.3043946326,1
79,129,0.1479642093,-0.1253130138,1
79,161,-0.1000074446,0.1879737079,1
79,193,-0.07794068009,-0.08639372885,1
79,225,0.3062961996,0.052285254,1
79,257,0.1975402832,0.1533246636,1
79,289,-0.01010549068,0.0771856755,1
79,321,-0.0360454917,0.190236479,1
79,353,-0.0750003159,-0.02746558189,1
79,385,0.2354380935,-0.5483658314,1
79,417,1.129766464,-1.441781759,1
79,449,0.709706068,-3.025515556,1
79,481,-0.1121981144,-1.35932827,1
79,513,0.4617176056,-1.793694735,1
79,545,0.3689309359,-0.7175073624,1
79,577,0.2946080565,-1.233965516,1
79,609,0.2630818486,-2.494583845,1
79,641,-0.1380085051,-3.423234224,1
79,673,0.2911472321,-3.167139053,1
79,705,0.3374176025,-1.981333852,1
79,737,-0.01560175419,-1.373910546,1
79,769,0.4755454659,-0.7078715563,1
79,801,-0.04301542044,-0.6176362038,1
79,833,-0.05565750971,0.4098274708,1
79,865,-0.0498573184,-0.5047671199,1
79,897,-0.1415330172,-1.019789457,1
79,929,-0.1818484962,-1.218650579,1
79,961,-0.1997977793,-1.106191635,1
79,993,-0.729998529,-0.2612333298,1
79,1025,-1.007944703,-0.7499614954,1
79,1057,-0.9293708801,-0.748540163,1
79,1089,0.1845734417,-1.38859129,1
79,1121,0.6626698375,-2.548466206,1
79,1153,0.09197580814,-1.801201105,1
79,1185,-0.4813218415,0.1960421801,1
79,1217,-0.7423396707,1.184584856,1
79,1249,-1.04538548,1.64608705,1
79,1281,-0.9796354771,0.482537359,1
79,1313,-0.9127744436,-0.5551979542,1
79,1345,-0.592677474,-0.5479797125,1
79,1377,0.0529537797,-0.5107778907,1
79,1409,0.03295594454,-0.6912256479,1
79,1441,-0.2373611927,-1.18928647,1
79,1473,-0.5465707183,-0.8293629289,1
79,1505,-0.4793540537,-0.02819049358,1
79,1537,-0.2786122561,0.4156515896,1
79,1569,-1.079443932,1.077045679,1
79,1601,-1.333185434,0.03539088368,1
79,1633,-2.70367384,-0.2432405949,1
79,1665,-0.5897473097,-0.9459537268,1
79,1697,-0.845249176,-1.237860322,1
79,1729,-1.084872246,-0.5619410872,1
79,1761,-0.9710530043,-0.3553727269,1
79,1793,-0.6521731615,-0.2583854198,1
79,1825,-0.4557645321,-0.09773859382,1
79,1857,-0.08112969995,-0.1876885593,1
79,1889,0.1229699701,-0.03797175735,1
79,1921,0.112207979,0.0218844302,1
79,1953,0.2336496562,-0.4345345199,1
79,1985,0.2429370731,-0.2877521515,1
79,2017,0.1183725893,-0.5448752642,1
111,33,-0.3749085665,-0.02182469517,1
111,65,-0.02192495763,-0.0745113343,1
111,97,0.02722714096,-0.01289016381,1
111,129,0.09319938719,0.2103998363,1
111,161,-0.1894107908,0.4129109085,1
111,193,-0.2783025801,0.02994357049,1
111,225,-0.02520877868,0.09394108504,1
111,257,0.1492092758,0.0832452327,1
111,289,-0.03011025488,0.04954136163,1
111,321,-0.2028824091,0.1394196153,1
111,353,-0.1652511954,-0.214428544,1
111,385,0.3194262981,-0.2624239922,1
111,417,1.056755304,-1.100723624,1
111,449,1.221574306,-5.583530426,1
111,481,0.4567107558,-4.156107426,1
111,513,0.08705940843,-2.001122236,1
111,545,0.7042768002,-1.229479194,1
111,577,0.4487913549,-1.337506056,1
111,609,0.07951079309,-1.41462481,1
111,641,-0.07757321745,-1.314290762,1
111,673,-0.06162944436,-1.58192277,1
111,705,0.4985386133,-1.468020916,1
111,737,1.606055498,-1.996302843,1
111,769,0.7575777769,-1.978030324,1
111,801,0.1336385608,-1.143623471,1
111,833,0.2770889103,0.07222986221,1
111,865,-0.3350281119,0.1162506342,1
111,897,-0.8896742463,-0.7070772648,1
111,929,-0.9670951366,-0.9983879924,1
111,961,-0.1914019883,-1.161720753,1
111,993,-0.0397926569,-0.6910402775,1
111,1025,-0.3716059923,-0.9451379776,1
111,1057,-0.5378850698,-1.498705626,1
111,1089,-0.150875479,-1.586529493,1
111,1121,0.169605881,-1.659079313,1
111,1153,0.2644243538,-3.148900509,1
111,1185,0.7489979863,-1.296352863,1
111,1217,0.4508888721,-0.322001487,1
111,1249,-0.06615647674,0.5316689014,1
111,1281,-0.3087943196,-0.406077981,1
111,1313,-0.3781486154,-1.235629559,1
111,1345,-0.1949522197,-0.8457885385,1
111,1377,0.2622960806,-0.7520725727,1
111,1409,0.7034502029,-1.00136447,1
111,1441,0.09865528345,-1.63359952,1
111,1473,-0.7784589529,-0.7609198689,1
111,1505,-1.501896381,0.1818409264,1
111,1537,-1.181560516,0.8334109783,1
111,1569,-1.417109251,1.001539111,1
111,1601,-1.42364645,-0.7481589317,1
111,1633,-1.608105421,-0.7662009597,1
111,1665,-1.486649036,-1.447499156,1
111,1697,-1.584433198,-1.062998056,1
111,1729,-0.8473084569,-0.9016863704,1
111,1761,-0.2469140887,-0.6151524782,1
111,1793,-0.1577731967,0.2029945552,1
111,1825,-0.2968518436,-0.08359345794,1
111,1857,0.1830386221,-0.3873547614,1
111,1889,0.2755910158,-0.2093537748,1
111,1921,0.1439849138,-0.08865733445,1
111,1953,0.3178813457,0.1617734879,1
111,1985,0.4361104965,0.1311877668,1
111,2017,0.4901139438,-0.4743098021,1
143,33,0.2142956257,-0.01866529882,1
143,65,0.1727667898,-0.08079787344,1
143,97,-0.003786951303,0.1992691308,1
143,129,0.2105730623,0.0610945709,1
143,161,0.1621704698,0.02234403789,1
143,193,0.04483255744,0.03422728181,1
143,225,0.2309968024,0.05448406562,1
143,257,0.4001659751,-0.04574972391,1
143,289,0.1645831317,-0.2565182447,1
143,321,0.04253399372,-0.1429232955,1
143,353,0.2244028449,-0.5149433613,1
143,385,0.322527349,-0.6545068026,1
143,417,0.2306064367,-1.824417591,1
143,449,0.9023786783,-5.068541527,1
143,481,0.6339922547,-4.658516407,1
143,513,0.4308160543,-4.758556366,1
143,545,1.258927464,-1.820118666,1
143,577,0.5024632215,-1.317786217,1
143,609,0.3168215752,-0.9110434055,1
143,641,0.1594064236,-0.6541956663,1
143,673,0.2671089172,-1.557652235,1
143,705,1.782192588,-3.845590591,1
143,737,3.563212872,-3.557156086,1
143,769,3.073412418,-3.637105227,1
143,801,0.6768291593,-2.224708557,1
143,833,0.31082353,-0.5705530047,1
143,865,-0.1339070052,-0.003077983856,1
143,897,-0.7784661055,-0.1303803623,1
143,929,-1.007685542,-0.6804901361,1
143,961,0.06534093618,-1.165561557,1
143,993,0.591905117,-1.221775651,1
143,1025,1.021925449,-1.692476034,1
143,1057,1.036305785,-2.042665005,1
143,1089,0.5356462002,-1.176842928,1
143,1121,0.5782012343,-1.335244775,1
143,1153,0.8166658878,-1.926292181,1
143,1185,0.9015636444,-0.7992158532,1
143,1217,0.3782381415,-0.1642189026,1
143,1249,-0.1825704575,-0.3183206022,1
143,1281,-0.3680232763,-0.7265415192,1
143,1313,-0.4605835974,-0.6784366965,1
143,1345,-0.4267527461,-0.1722099781,1
143,1377,0.06677270681,-0.675042212,1
143,1409,1.235568285,-1.136829019,1
143,1441,0.4872214198,-1.264865875,1
143,1473,-0.4140963554,-0.9240592718,1
143,1505,-0.9336083531,0.3085202575,1
143,1537,-1.562565804,1.111261368,1
143,1569,-2.25576067,1.097818851,1
143,1601,-2.799655437,-0.2551512718,1
143,1633,-2.420714378,-0.5139352083,1
143,1665,-1.621634603,-0.8919793367,1
143,1697,-0.8890968561,-0.8987169862,1
143,1729,-0.631002903,-0.4917804599,1
143,1761,-0.5719810724,0.1656575203,1
143,1793,-0.1970335841,0.2255395204,1
143,1825,-0.008472204208,-0.3199201822,1
143,1857,0.2376072705,-0.4262579978,1
143,1889,0.1072174609,0.0009583830833,1
143,1921,-0.1070316732,0.2300615609,1
143,1953,-0.1953482926,0.1169343218,1
143,1985,0.0009311661124,-0.107647419,1
143,2017,0.7757965326,-0.6215305328,1
175,33,0.4521698356,-0.03708817065,1
175,65,0.3054266274,-0.0946072787,1
175,97,0.2193611264,0.1474258006,1
175,129,0.06197715178,-0.157550782,1
175,161,0.06734070927,-0.02752375603,1
175,193,0.2020808011,0.04695545137,1
175,225,0.2547787428,0.005790613592,1
175,257,0.3831466734,0.1153624803,1
175,289,0.3581629097,-0.1725852489,1
175,321,0.1359584033,-0.3691493571,1
175,353,0.1040972322,-0.7981767654,1
175,385,0.214790076,-0.9345171452,1
175,417,0.514493227,-1.359226584,1
175,449,0.1293402314,-1.53025341,1
175,481,0.6912424564,-3.898646355,1
175,513,1.648947477,-4.252750397,1
175,545,1.536628485,-1.564155102,1
175,577,1.267879128,-1.467514038,1
175,609,1.57375598,-1.145821691,1
175,641,1.533858418,-2.416697025,1
175,673,2.938323736,-4.91008091,1
175,705,2.984998226,-4.164763451,1
175,737,2.733341455,-3.852059841,1
175,769,2.54886961,-2.121657372,1
175,801,0.7878402472,-3.069756985,1
175,833,0.4395199418,-1.398353577,1
175,865,0.3402428329,-0.1544869542,1
175,897,0.1947926581,0.08549666405,1
175,929,0.6756642461,-0.6763267517,1
175,961,2.066028118,-1.591395736,1
175,993,2.479838371,-1.72566998,1
