PIVlab, ASCII chart output - 12-Oct-2024
FRAME: 21, filenames: A:[21]MAX_TimeSrs0141516_TgUtrmcherry_Control.avi & B:[22]MAX_TimeSrs0141516_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-4.284018993,-2.796998978,1
47,65,-3.529916525,-11.45277405,1
47,97,-3.610277176,-4.622035027,1
47,129,-2.386801958,-2.907032013,1
47,161,-2.876810074,-3.57972312,1
47,193,-4.660932541,-5.203769684,1
47,225,-4.118779659,-4.971940517,1
47,257,-3.702040672,-3.621161461,1
47,289,-3.243816137,-3.933030128,1
47,321,-2.204939604,-4.151610374,1
47,353,-1.673166752,-3.37486887,1
47,385,-2.250448227,-2.835288048,1
47,417,-3.013458252,-3.570281029,1
47,449,-1.779755473,-4.833816528,1
47,481,-0.7423756123,-5.200228691,1
47,513,-0.7805991173,-3.881529331,1
47,545,-1.054377079,-4.207355499,1
47,577,-0.6623460054,-5.011146545,1
47,609,0.2545390129,-5.077966213,1
47,641,-0.2119004726,-5.060890198,1
47,673,0.5676496029,-4.502960682,1
47,705,0.2569929361,-3.736303806,1
47,737,-0.09512549639,-2.563504696,1
47,769,0.06345790625,-1.140128851,1
47,801,-0.2703466415,-1.873544216,1
47,833,0.7880938053,-2.646332264,1
47,865,0.7946164608,-4.000328541,1
47,897,0.4156112671,-3.595163345,1
47,929,1.259914875,-4.802801132,1
47,961,2.280524731,-3.967658043,1
47,993,2.192965984,-2.800391674,1
47,1025,0.668946743,-1.104727745,1
47,1057,2.152368546,-2.284725428,1
47,1089,1.334704876,-4.106184006,1
47,1121,0.03752911091,-4.791982174,1
47,1153,-0.1129251122,-3.809580803,1
47,1185,0.007051348686,-1.297378778,1
47,1217,1.466705203,-0.6665818691,1
47,1249,2.37706995,-0.4614191055,1
47,1281,2.5455935,-1.298385382,1
47,1313,1.955543518,-0.3745793104,1
47,1345,1.250991821,0.4489451647,1
47,1377,0.1087605953,1.43102169,1
47,1409,-0.7703762054,1.83282423,1
47,1441,-1.770840406,0.2119487524,1
47,1473,-3.557540417,-1.013863325,1
47,1505,-4.179562569,-1.344888687,1
47,1537,-3.594874859,-1.988559008,1
47,1569,-1.602770805,-2.801478148,1
47,1601,-0.09090822935,-3.34707284,1
47,1633,-0.14418751,-4.285360813,1
47,1665,-1.554033279,-3.432905197,1
47,1697,-2.527385235,-3.41183567,1
47,1729,-1.633590341,-3.383213997,1
47,1761,-1.502956986,-5.70276165,1
47,1793,-1.583813071,-6.304794788,1
47,1825,-0.7476223707,-5.351592064,1
47,1857,-0.9300822616,-3.758708,1
47,1889,-0.6636590958,-4.112755775,1
47,1921,-0.05029392242,-4.388602734,1
47,1953,0.8500877619,-4.884568214,1
47,1985,2.052020311,-5.321111679,1
47,2017,4.065773964,-3.619680643,1
79,33,13.01742935,2.538974285,1
79,65,-3.284911871,-4.527079105,1
79,97,-3.59195447,-3.919386864,1
79,129,-2.551949739,-4.382388592,1
79,161,-2.906086445,-4.342329025,1
79,193,-3.492675304,-4.862595558,1
79,225,-3.56283021,-4.929761887,1
79,257,-4.064390182,-3.584868908,1
79,289,-4.062633514,-3.664699554,1
79,321,-2.996806383,-3.781721354,1
79,353,-2.475081921,-3.021010876,1
79,385,-2.43670249,-3.280677795,1
79,417,-2.309972048,-4.030174255,1
79,449,-1.697631121,-4.475521088,1
79,481,-1.439052701,-4.816753864,1
79,513,-2.01507473,-5.032786846,1
79,545,-2.587301016,-5.872225761,1
79,577,-1.269160986,-6.473417282,1
79,609,-0.6048161387,-5.450141907,1
79,641,-0.07539257407,-5.00491333,1
79,673,0.5191105604,-4.864197254,1
79,705,0.648471415,-4.46108675,1
79,737,0.6153128743,-3.128683567,1
79,769,1.109758496,-2.059089184,1
79,801,0.8355836868,-2.489812613,1
79,833,1.213606954,-2.381724834,1
79,865,1.841270566,-3.501976967,1
79,897,1.753045559,-3.482407331,1
79,929,1.366629839,-3.37329936,1
79,961,1.068623424,-2.748258114,1
79,993,1.06809473,-1.769047976,1
79,1025,0.03728413582,-0.7493724823,1
79,1057,1.328056216,-1.146131992,1
79,1089,1.915311098,-3.671389818,1
79,1121,1.839436293,-4.210069656,1
79,1153,0.4966269732,-3.88462019,1
79,1185,-0.1042109728,-2.506214619,1
79,1217,0.9577815533,-1.558609009,1
79,1249,1.951807976,-0.6311032772,1
79,1281,1.954595089,-1.748978496,1
79,1313,0.7827185988,-2.742268324,1
79,1345,-0.3300644159,-1.63791728,1
79,1377,-2.27708292,-1.136402488,1
79,1409,-2.868790388,-0.7762125731,1
79,1441,-2.623283863,-1.074218512,1
79,1473,-2.308878183,-1.655254126,1
79,1505,-2.143443108,-2.38573432,1
79,1537,-2.292622089,-2.68132329,1
79,1569,-1.554064155,-2.738974571,1
79,1601,-0.4478845,-2.336381912,1
79,1633,0.07211381197,-3.161049843,1
79,1665,-0.2131317854,-3.584231853,1
79,1697,-0.9690372944,-3.416025639,1
79,1729,-0.5237041116,-3.448492765,1
79,1761,-0.3424814343,-3.668288708,1
79,1793,-0.6303309202,-3.891820908,1
79,1825,-0.4184867144,-3.683857918,1
79,1857,-0.0113863647,-3.693933964,1
79,1889,0.3999085724,-3.836658001,1
79,1921,0.425691843,-3.966493607,1
79,1953,0.1504869461,-4.550773144,1
79,1985,0.6892215014,-4.947121143,1
79,2017,2.12385273,-3.517359018,1
111,33,-5.458969593,3.193740606,1
111,65,-4.146091461,-1.384538174,1
111,97,-3.997937441,-3.80616641,1
111,129,-2.619011879,-5.117647171,1
111,161,-2.253218412,-5.278656483,1
111,193,-2.530374289,-5.361320496,1
111,225,-3.478996754,-4.966968536,1
111,257,-4.4575243,-4.202775002,1
111,289,-4.363315582,-3.906071663,1
111,321,-3.306296587,-3.726775885,1
111,353,-2.663682938,-3.399696589,1
111,385,-2.94449234,-3.639544487,1
111,417,-2.553541422,-3.492599964,1
111,449,-2.161815405,-3.994225025,1
