 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,5619.210,117.354,113.706,103.865,398.599,149.381,47.895,31.249,0.444,100,3.119,0.321,0.770
2,4263.792,116.919,121.067,102.461,332.513,126.806,42.812,29.440,0.485,100,2.962,0.338,0.821
3,3630.391,116.916,123.616,105.656,279.601,118.962,38.856,31.241,0.584,100,3.062,0.327,0.936
4,2588.084,116.789,122.323,107.915,260.784,104.190,31.627,30.495,0.478,100,3.294,0.304,0.859
5,2318.014,116.767,122.639,106.414,250.934,100.755,29.293,31.754,0.463,100,3.440,0.291,0.870
6,2014.264,116.800,119.516,107.350,225.891,93.383,27.464,32.804,0.496,100,3.400,0.294,0.874
7,1778.296,116.766,119.041,106.617,213.744,89.045,25.427,31.402,0.489,100,3.502,0.286,0.885
8,1696.332,116.736,118.588,106.583,207.035,86.450,24.984,30.983,0.497,100,3.460,0.289,0.891
9,1550.176,116.522,119.470,105.131,201.726,84.394,23.387,29.695,0.479,100,3.609,0.277,0.881
10,1263.987,116.120,121.713,102.244,171.674,73.299,21.956,25.080,0.539,100,3.338,0.300,0.951
11,1288.587,116.141,122.752,100.793,164.190,70.004,23.437,27.909,0.601,100,2.987,0.335,0.952
12,1225.345,116.071,122.194,100.719,159.729,67.712,23.041,28.621,0.604,100,2.939,0.340,0.951
13,1128.635,115.991,121.088,100.559,155.023,66.555,21.591,29.858,0.590,100,3.082,0.324,0.937
14,885.171,115.881,121.607,100.531,140.961,62.132,18.139,25.607,0.560,100,3.425,0.292,0.902
15,600.496,115.744,120.884,101.173,124.504,56.856,13.448,27.946,0.487,100,4.228,0.237,0.902
