PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 60, filenames: A:[60]MAX_TimeSrs018_TgUtrmcherry_Controll.avi & B:[61]MAX_TimeSrs018_TgUtrmcherry_Controll.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,4.630431175,-0.4811000824,1
47,65,1.227091551,-4.51444912,1
47,97,-0.08520370722,-4.081139088,1
47,129,-0.1235153079,-3.862411737,1
47,161,0.7755084634,-3.61393404,1
47,193,1.295124531,-2.213765621,1
47,225,0.1739441752,-4.147455692,1
47,257,0.3742252588,-4.381346703,1
47,289,-0.2423914075,-3.647854805,1
47,321,-0.7374949455,-3.476091146,1
47,353,-0.4685598612,-2.169380188,1
47,385,-0.456188798,-0.7395000458,1
47,417,-0.2120075226,-1.113599539,1
47,449,1.110805035,-2.35428977,1
47,481,0.2686352134,-3.269698381,1
47,513,-1.200505972,-3.899952888,1
47,545,-1.497503996,-4.255368233,1
47,577,-0.9721589088,-3.916132927,1
47,609,-1.056714177,-4.738797665,1
47,641,-1.036720157,-4.878274918,1
47,673,-0.7176353335,-2.233870983,1
47,705,-1.218910933,-3.842870951,1
47,737,-1.795055628,-4.428174496,1
47,769,-1.672919989,-3.386750698,1
47,801,-2.034817219,-3.939335346,1
47,833,-1.560613513,-5.15073967,1
47,865,-1.407400608,-3.532767773,1
47,897,-3.213040829,-2.281764269,1
47,929,-3.389951468,-2.496373653,1
47,961,-3.029166937,-2.849057913,1
47,993,-4.144778252,-3.781816959,1
47,1025,-4.716197014,-4.364219666,1
47,1057,-3.941470146,-4.249485016,1
47,1089,-3.966734886,-4.748868942,1
47,1121,-5.234537125,-5.636804581,1
47,1153,-4.775872231,-4.258998871,1
47,1185,-3.481746912,-2.502747774,1
47,1217,-2.940051317,-2.628115177,1
47,1249,-2.961783886,-2.917719364,1
47,1281,-4.2309618,-3.039347172,1
47,1313,-4.612677574,-2.029607058,1
47,1345,-3.867762089,-1.484025002,1
47,1377,-2.736045361,-0.384114027,1
47,1409,-1.33108139,-0.9442605972,1
47,1441,-0.3485578299,-1.601675987,1
47,1473,-0.1787815094,0.1644099355,1
47,1505,-0.1445336342,1.271631956,1
47,1537,-0.4126329422,0.506721437,1
47,1569,-1.779706478,-2.218453169,1
47,1601,-2.590707302,-3.917417526,1
47,1633,-1.052592516,-2.844438553,1
47,1665,0.2734098434,-2.817773819,1
47,1697,0.1652489752,-1.526300669,1
47,1729,0.4389138818,1.050751686,1
47,1761,5.097090721,1.554574728,1
47,1793,5.146286011,1.680570245,1
47,1825,1.089345098,-0.2214439511,1
47,1857,1.356946707,-0.3827652931,1
47,1889,2.609321594,1.591359615,1
47,1921,2.078077316,1.326735735,1
47,1953,1.533876538,-0.4661653638,1
