 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Skew,%Area
1,8103.651,119.548,120.008,108.553,466.241,147.541,69.932,32.025,4.168,100
2,7447.480,119.652,117.493,112.507,398.317,135.781,69.836,32.214,4.155,100
3,6282.174,119.632,119.271,113.648,354.989,127.033,62.966,32.431,4.401,100
4,4513.415,119.535,120.268,112.933,314.607,114.052,50.387,31.133,4.963,100
5,3711.264,119.585,120.412,112.341,294.122,107.856,43.812,31.194,5.171,100
6,3474.029,119.681,121.386,110.860,294.432,104.947,42.148,30.207,5.152,100
7,2762.535,119.911,120.899,110.394,259.435,93.050,37.801,29.731,5.253,100
8,2443.265,120.188,121.762,110.390,246.873,87.619,35.504,32.344,5.202,100
9,2078.596,120.488,121.105,109.338,221.555,79.986,33.088,31.523,5.142,100
10,1770.764,120.799,120.216,110.500,204.659,75.990,29.670,31.443,5.095,100
11,1448.644,121.300,120.985,110.869,178.851,68.163,27.060,32.718,4.930,100
12,1121.738,121.532,121.771,110.358,156.431,60.092,23.768,34.140,5.051,100
13,770.055,122.287,123.656,109.539,134.054,52.348,18.730,35.328,4.780,100
14,577.198,119.909,124.720,108.113,119.523,47.588,15.443,36.515,2.278,100
15,395.040,118.774,123.140,108.515,104.347,41.482,12.125,38.384,2.528,100
