PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 13, filenames: A:[13]MAX_TgUtrmcherry_Control_TimSrs0020.avi & B:[14]MAX_TgUtrmcherry_Control_TimSrs0020.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-0.3853243589,-0.02703106403,1
47,65,0.4597130418,-0.2031690478,1
47,97,0.1079315245,-0.07844337821,1
47,129,0.1526607573,-0.155758366,1
47,161,0.1674777418,-0.2525861263,1
47,193,-0.05680908263,-0.1040625274,1
47,225,-0.1330175698,0.406278193,1
47,257,-0.1785137653,0.5604634285,1
47,289,-0.2600833178,0.5261805058,1
47,321,-0.5077960491,0.005804777145,1
47,353,-0.4363603592,-0.7631645203,1
47,385,-0.347093761,-0.9961633682,1
47,417,0.7215649486,2.397175074,1
47,449,0.440721035,2.34051609,1
47,481,0.1572885513,1.13059783,1
47,513,0.1585302949,1.021610737,1
47,545,0.3113509417,0.1791080236,1
47,577,-0.2211241722,-0.1287231445,1
47,609,-7.136540413,-4.106687546,1
47,641,-5.413168907,-3.986035347,1
47,673,-4.7012887,-1.382405043,1
47,705,-4.113049507,-1.566972971,1
47,737,-3.606371164,-1.802630424,1
47,769,-2.704042673,-2.146194935,1
47,801,-1.807752848,-1.986967444,1
47,833,-2.743614197,-1.293537378,1
47,865,-1.222769737,0.02581357956,1
47,897,-0.2233535051,0.2708950043,1
47,929,-0.06609594822,-1.187861681,1
47,961,0.0869756937,-1.578890562,1
47,993,0.7361855507,-0.8339068294,1
47,1025,2.02776432,0.2485638857,1
47,1057,2.723448038,0.8543286324,1
47,1089,3.200952053,2.160939932,1
47,1121,4.956458569,2.757590771,1
47,1153,5.888768196,2.138213873,1
47,1185,5.714411736,1.301049232,1
47,1217,6.344546795,1.250740051,1
47,1249,6.965567589,1.254350305,1
47,1281,6.635071754,1.171766281,1
47,1313,8.505693436,1.201602936,1
47,1345,11.78147697,0.5938392878,1
47,1377,13.10438061,-0.2225930095,1
47,1409,2.760979652,3.324482679,1
47,1441,11.48387909,-1.870867729,1
47,1473,8.998218536,-0.1583034992,1
47,1505,5.520222664,0.5613181591,1
47,1537,5.949116707,-0.6522116661,1
47,1569,6.032487869,-2.243315458,1
47,1601,5.058657646,-2.047814846,1
47,1633,8.612056732,-0.8126585484,1
47,1665,7.940155029,0.3812537193,1
47,1697,5.523773193,-1.530707836,1
47,1729,4.355808735,-1.72098875,1
47,1761,3.341659546,-0.06213963032,1
47,1793,2.816902161,-0.4689838886,1
47,1825,1.682828903,-0.7652249932,1
47,1857,0.9838428497,-0.760222435,1
47,1889,4.684512138,3.432860374,1
47,1921,3.378363848,4.325846672,1
47,1953,-0.4672968388,2.053920031,1
47,1985,2.152987003,0.03911846876,1
47,2017,1.635822058,-7.791412354,1
79,33,-0.09866011143,-0.01526895165,1
79,65,0.1773163974,-0.1480419338,1
79,97,-0.08899650723,-0.1333303005,1
79,129,0.003634274006,-0.181704402,1
79,161,0.139477089,-0.2237091213,1
79,193,-0.1754147708,0.2133316696,1
79,225,-0.4159440398,0.3691106439,1
79,257,-0.2176581323,0.1550889611,1
79,289,-0.006253182888,0.1389722675,1
79,321,0.2707858086,0.4164075851,1
79,353,0.1171763837,0.3468863368,1
79,385,0.2220865488,0.5686000586,1
79,417,0.1211610883,0.003754258156,1
79,449,0.1172891855,0.559893012,1
79,481,-0.2988576889,0.4511141777,1
79,513,-1.024076104,-0.3892614841,1
79,545,0.1124998331,-0.1399002075,1
79,577,0.01880431175,-0.2187578678,1
79,609,-3.884961367,-3.036695004,1
79,641,-4.183558464,-4.235928059,1
79,673,-3.806567669,-2.557704687,1
79,705,-3.285323858,-1.64840436,1
79,737,-2.836115122,-0.6735868454,1
79,769,-1.82563448,-0.5182594061,1
79,801,-1.204105735,-1.251518011,1
79,833,-0.83172369,-1.044255972,1
