 ,X,Y,MinThr,MaxThr
1,108.795,114.322,0,65535
2,106.152,116.611,0,65535
3,106.333,120.533,0,65535
4,105.279,121.634,0,65535
5,103.871,122.365,0,65535
6,102.667,124.638,0,65535
7,102.382,126.827,0,65535
8,100.113,128.611,0,65535
9,98.123,129.510,0,65535
10,98.944,129.441,0,65535
11,98.975,129.752,0,65535
12,98.384,129.545,0,65535
13,99.163,128.939,0,65535
14,98.683,129.311,0,65535
15,102.655,131.684,0,65535
16,101.349,131.824,0,65535
17,101.516,132.784,0,65535
18,99.279,134.061,0,65535
19,100.595,135.356,0,65535
20,100.595,135.356,0,65535
21,100.703,135.356,0,65535
22,100.703,135.356,0,65535
23,100.703,135.356,0,65535
