 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Skew,%Area
1,2967.991,113.858,108.795,114.322,275.986,126.664,29.835,27.821,0.938,100
2,3388.862,114.216,106.152,116.611,276.166,126.993,33.977,28.333,1.673,100
3,3227.573,114.729,106.333,120.533,253.341,114.373,35.931,28.722,2.750,100
4,2908.409,114.808,105.279,121.634,239.188,106.969,34.619,26.740,2.833,100
5,2760.986,114.822,103.871,122.365,230.752,100.885,34.846,26.774,2.865,100
6,2578.406,115.053,102.667,124.638,225.746,99.075,33.136,24.291,2.785,100
7,2556.164,115.386,102.382,126.827,216.325,92.834,35.059,21.905,2.670,100
8,2229.609,115.420,100.113,128.611,212.609,82.544,34.392,22.105,2.732,100
9,2070.291,115.440,98.123,129.510,189.692,76.524,34.446,20.590,2.752,100
10,1610.602,115.483,98.944,129.441,171.763,72.622,28.238,23.682,2.868,100
11,1427.000,115.647,98.975,129.752,158.918,64.615,28.119,22.526,2.813,100
12,1217.603,115.575,98.384,129.545,143.437,58.221,26.628,19.840,2.681,100
13,1066.133,115.535,99.163,128.939,135.965,55.173,24.603,17.948,2.726,100
14,1011.302,115.631,98.683,129.311,130.763,51.812,24.852,19.122,2.686,100
15,527.647,117.044,102.655,131.684,96.328,41.035,16.372,17.824,2.416,100
