PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 33, filenames: A:[33]MAX_Pos0nd_TimeSrs022_TgKrt18GFP_Myptonecell.avi & B:[34]MAX_Pos0nd_TimeSrs022_TgKrt18GFP_Myptonecell.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,6.214781761,2.860896587,1
47,65,4.419803143,2.218662262,1
47,97,4.565837383,1.376661301,1
47,129,5.772758484,0.434320569,1
47,161,7.559244156,1.776444197,1
47,193,6.224842548,1.42450285,1
47,225,5.723421574,2.3848176,1
47,257,6.07800436,2.471778154,1
47,289,5.394263268,4.626472473,1
47,321,6.445920944,3.710428715,1
47,353,9.390453339,2.132557154,1
47,385,10.45058727,2.429849386,1
47,417,8.932613373,4.000341415,1
47,449,5.840955734,5.539216518,1
47,481,4.991892815,4.663728714,1
47,513,5.297038555,4.251143456,1
47,545,4.107365131,4.350914478,1
47,577,2.933750153,4.608916283,1
47,609,2.693304062,3.789800882,1
47,641,2.867578745,3.464742184,1
47,673,3.404145241,5.037940025,1
47,705,3.826094866,5.735509872,1
47,737,3.614690781,5.323190689,1
47,769,3.446508884,3.011134148,1
47,801,4.270167351,2.57563138,1
47,833,4.875199318,3.608398438,1
47,865,6.653412342,6.840770721,1
47,897,12.29987907,13.24593449,1
47,929,8.901459694,9.821536064,1
47,961,6.071416855,3.977358818,1
47,993,5.909729481,1.699158669,1
47,1025,4.087189198,0.2713179588,1
47,1057,1.744208097,4.008428097,1
47,1089,1.498836517,5.40704155,1
47,1121,2.595898628,4.42953968,1
47,1153,3.568996668,1.74568367,1
47,1185,3.026474953,-0.5139068365,1
47,1217,2.077043056,-1.603679419,1
47,1249,2.640256166,-1.86704278,1
47,1281,3.037851334,-2.100697517,1
47,1313,4.855644226,-1.149710178,1
47,1345,7.458026886,-0.661867857,1
47,1377,7.562582016,0.5847454071,1
47,1409,7.410679817,1.131574869,1
47,1441,7.088117599,0.2108923197,1
47,1473,6.218148232,0.1342167854,1
47,1505,5.390145302,1.216108561,1
47,1537,4.037284374,3.09957552,1
47,1569,4.017248154,4.025862694,1
47,1601,3.565632343,2.477534056,1
47,1633,7.749084473,2.122995615,1
47,1665,6.677698135,2.295707703,1
47,1697,6.620503426,3.017987728,1
47,1729,6.401235104,6.005680561,1
47,1761,7.464738369,4.847746372,1
47,1793,8.425813675,5.586166382,1
47,1825,8.596590042,4.562060356,1
47,1857,7.674925804,4.7667346,1
47,1889,5.547383785,6.041688442,1
47,1921,6.535128593,5.387018204,1
47,1953,6.59239769,3.892337799,1
47,1985,7.95148468,3.656629562,1
47,2017,8.331705093,-0.3830397129,1
79,33,4.633861542,1.729193926,1
79,65,2.773538589,2.109862804,1
79,97,3.463072777,1.312306762,1
79,129,4.5513587,0.6684259176,1
79,161,5.098852634,0.5620381832,1
79,193,4.998924732,0.8448382616,1
79,225,5.679023266,2.062395096,1
79,257,6.968835831,1.649977446,1
79,289,7.377874374,2.954377413,1
79,321,7.585371017,3.49915719,1
79,353,8.007068634,3.22111845,1
79,385,7.730417728,2.516207933,1
79,417,6.539721012,2.881156445,1
79,449,6.184100151,3.313706398,1
79,481,5.646912575,2.974038124,1
79,513,4.401545048,3.578431368,1
79,545,3.173398495,3.93544054,1
79,577,3.46617651,4.188755512,1
79,609,3.502658367,4.043063641,1
79,641,2.275981188,5.291154861,1
79,673,4.614573956,3.921802521,1
79,705,4.582334518,2.851797581,1
79,737,3.586688042,3.311694622,1
79,769,3.9554286,2.633431435,1
79,801,4.559493542,1.495800734,1
79,833,4.99309063,1.29114747,1
79,865,5.914527893,3.71560955,1
79,897,6.459461212,7.484850883,1
79,929,5.839458466,4.668493748,1
79,961,5.288431644,-0.5147294998,1
79,993,8.587207794,-1.353898287,1
79,1025,8.730124474,0.6449086666,1
79,1057,5.843319416,3.523252964,1
79,1089,4.502973557,3.578014374,1
79,1121,2.968358994,4.462988853,1
79,1153,2.831233263,3.269504309,1
79,1185,3.038101673,-0.4556370676,1
79,1217,2.750102758,-1.546946049,1
79,1249,2.548165321,-1.222783804,1
79,1281,2.984273434,-1.014496088,1
79,1313,5.376202583,0.2709616423,1
79,1345,6.617334843,1.374225497,1
79,1377,6.04630661,0.9164097905,1
79,1409,5.348455906,0.4146549702,1
79,1441,5.282495975,0.6145917177,1
79,1473,4.867648602,2.194625616,1
79,1505,3.974036694,3.375929117,1
79,1537,3.873168468,3.794544458,1
79,1569,3.988371849,3.65554285,1
79,1601,2.276612759,1.909603596,1
79,1633,4.103546143,2.437256813,1
79,1665,6.567585945,5.051112175,1
79,1697,6.642433643,5.472652435,1
79,1729,6.595867634,5.201521873,1
79,1761,7.11582613,6.453432083,1
79,1793,11.6880722,5.363984108,1
79,1825,10.24374294,3.747328758,1
79,1857,7.876375198,3.624861717,1
79,1889,7.486737728,5.315844536,1
79,1921,8.49127388,4.8325243,1
79,1953,3.612270832,3.342666864,1
79,1985,5.343191147,2.259706736,1
79,2017,10.67110348,-3.122582912,1
111,33,-1.814071655,1.264974952,1
111,65,0.6973390579,-1.588658214,1
111,97,-0.1151959896,-0.2202261686,1
111,129,3.121846437,1.211841106,1
111,161,3.794239044,1.299236298,1
111,193,4.019791603,1.584592819,1
111,225,4.326973438,2.007659912,1
111,257,5.061104774,2.288001776,1
111,289,7.179875374,2.992074013,1
111,321,7.297574997,3.212426901,1
111,353,6.601163387,3.172395706,1
111,385,6.164382935,2.832602978,1
111,417,6.476214886,2.806959867,1
111,449,7.16414547,1.795600414,1
111,481,8.165785789,-0.4695339203,1
111,513,-1.647312641,-15.53957367,1
111,545,3.640639782,3.909793854,1
111,577,3.443507195,3.925489664,1
111,609,3.1284132,4.457129478,1
111,641,3.207482815,4.706954002,1
111,673,3.335690498,4.599576473,1
111,705,3.7625947,2.662672043,1
111,737,4.782362938,1.402266502,1
111,769,4.881088734,1.991535664,1
111,801,5.182926655,1.553227663,1
111,833,4.877079964,1.260717154,1
111,865,4.921758652,2.037804127,1
111,897,4.603521347,2.00833869,1
