PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 1, filenames: A:[1]MAX_TgUtrmcherry_TimeSrs002324_Control.avi & B:[2]MAX_TgUtrmcherry_TimeSrs002324_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-0.739349246,7.866028786,1
47,65,-0.2637684345,1.798633933,1
47,97,0.03423702717,0.773276329,1
47,129,0.5447005033,1.375417113,1
47,161,-0.3405049443,2.134707212,1
47,193,-1.198363543,2.044285297,1
47,225,-1.944147587,3.655472517,1
47,257,-1.60980463,-0.07915592194,1
47,289,-2.180298328,-0.8399538994,1
47,321,-1.369420052,0.8928195238,1
47,353,-0.7431061268,1.602061272,1
47,385,-0.4675859213,2.922221899,1
47,417,0.339738369,5.617973328,1
47,449,1.439250112,6.367337227,1
47,481,0.4404066205,4.454580784,1
47,513,0.9180760384,2.518781185,1
47,545,0.5249263048,3.539679289,1
47,577,0.01993408799,5.620439529,1
47,609,0.1010269225,5.370326042,1
47,641,0.01396033168,6.548014641,1
47,673,-0.2521618605,7.245822906,1
47,705,-0.5782978535,7.402673721,1
47,737,-2.196245432,7.350774765,1
47,769,-2.136522293,7.447552681,1
47,801,-2.037708759,7.655545712,1
47,833,-2.114705324,7.939395905,1
47,865,-1.59401989,7.692292213,1
47,897,-0.6858355999,7.722826958,1
47,929,0.05068731308,7.551768303,1
47,961,-0.3284265995,7.756224632,1
47,993,-1.467778563,9.220628738,1
47,1025,-1.856528878,10.34392548,1
47,1057,-0.743721962,9.289703369,1
47,1089,-0.08530199528,7.302604675,1
47,1121,-0.7701913118,7.617776871,1
47,1153,-0.07023870945,7.407675743,1
47,1185,0.7994211912,7.476670265,1
47,1217,1.576944113,6.515637398,1
47,1249,2.175091267,5.855574608,1
47,1281,1.428234696,5.634778023,1
47,1313,0.2479242682,5.619823933,1
47,1345,0.3769773245,6.242390633,1
47,1377,0.7573720217,6.849058151,1
47,1409,0.8904575109,6.769893169,1
47,1441,0.2055120468,5.521453857,1
47,1473,-0.6673597097,5.615947247,1
47,1505,0.6504976749,1.31733799,1
47,1537,-0.4054731131,0.7540831566,1
47,1569,-0.4605457485,2.120634556,1
47,1601,-0.9274068475,6.653281212,1
47,1633,-1.741466522,8.389685631,1
47,1665,-0.8923813105,8.590003967,1
47,1697,-0.5014103651,8.935540199,1
47,1729,-0.656624198,8.786347389,1
47,1761,-1.501794577,6.2093153,1
47,1793,0.108158052,5.589747429,1
47,1825,-1.667914987,8.743426323,1
47,1857,-2.829950094,8.776741028,1
47,1889,0.2761133313,0.7974209785,1
47,1921,0.3261147141,1.306015015,1
47,1953,0.406950593,1.373264313,1
47,1985,0.7709684372,-1.398307085,1
47,2017,1.671419859,-6.387972832,1
79,33,-0.114102006,3.182971478,1
79,65,0.007367163897,1.159348845,1
79,97,-0.3802651763,3.169847965,1
79,129,0.2884370685,0.9407242537,1
79,161,-0.6689766049,1.031547546,1
79,193,-1.387063146,2.142711639,1
79,225,-1.385241151,5.651815414,1
79,257,-0.9079272747,3.545180559,1
79,289,-0.8380469084,1.429012179,1
79,321,-1.097373724,1.803043127,1
79,353,-0.6937600374,2.122714281,1
79,385,-0.4087010622,2.847738981,1
79,417,-0.1592239141,4.61924839,1
79,449,-0.3549340367,4.693782806,1
79,481,-0.3815435469,4.062059879,1
79,513,0.4099149108,3.519646168,1
79,545,0.3814678788,3.232745171,1
79,577,-0.2870516777,4.499968529,1
79,609,0.1453896761,5.392709732,1
79,641,-0.2331072092,5.967216015,1
79,673,-0.8090299368,6.688809395,1
79,705,-0.6113882065,6.950648785,1
79,737,-0.1379160881,6.583938599,1
79,769,-1.464639187,6.691752911,1
79,801,-1.620970011,7.111784935,1
79,833,-1.38991797,7.201591015,1
79,865,-0.620059967,7.356937885,1
79,897,-0.5045486689,7.287868023,1
79,929,-1.0483284,7.191139221,1
79,961,-0.8691233397,6.908298492,1
79,993,-0.9368755817,7.586524963,1
79,1025,-1.29933393,8.274888992,1
79,1057,-0.7574576139,8.144785881,1
79,1089,0.4305962324,7.467623711,1
79,1121,0.4311098754,6.801722527,1
79,1153,1.25632751,6.094401836,1
79,1185,1.412611961,6.573906898,1
79,1217,1.52746594,6.646370411,1
79,1249,1.399018764,5.861031532,1
79,1281,0.7747739553,5.039052963,1
79,1313,0.5608578324,5.215651989,1
79,1345,0.5305746794,5.742758274,1
79,1377,0.40493083,6.64145565,1
79,1409,0.04049742222,6.733811378,1
79,1441,-2.36751771,6.834798813,1
79,1473,-1.259389043,5.025718689,1
