PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 39, filenames: A:[39]MAX_TgUtrmcherry_TimeSrs002324_Control.avi & B:[40]MAX_TgUtrmcherry_TimeSrs002324_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-0.4297696352,5.781525612,1
47,65,-0.5208435059,-1.166205645,1
47,97,-0.3777116537,-0.06277638674,1
47,129,0.2118917704,-0.01651299,1
47,161,0.5248975754,0.5077639818,1
47,193,0.524433136,1.64117825,1
47,225,1.553442955,1.205863476,1
47,257,1.414450884,0.9254939556,1
47,289,7.234116077,3.959917545,1
47,321,0.6518006325,4.973259449,1
47,353,-0.683907032,3.656538486,1
47,385,-0.3112968206,2.91062355,1
47,417,0.18225348,1.965350628,1
47,449,1.390303612,9.796868324,1
47,481,1.624982476,8.734981537,1
47,513,0.5501736403,3.01118803,1
47,545,0.4394606948,3.923899174,1
47,577,-2.821809769,17.65756989,1
47,609,0.0856307745,1.126726627,1
47,641,0.731949091,5.128051758,1
47,673,1.007563829,5.222415924,1
47,705,0.8679501414,5.32395649,1
47,737,0.7984503508,1.493451834,1
47,769,-0.2677621841,3.373039007,1
47,801,-2.588583469,5.846001625,1
47,833,-2.981959581,7.850336075,1
47,865,6.549017906,23.43088913,1
47,897,-0.09836435318,6.596795559,1
47,929,0.1667608619,3.968653679,1
47,961,-1.606494904,4.201215267,1
47,993,-2.52338028,5.792048931,1
47,1025,-1.048144817,4.077486992,1
47,1057,0.5147308707,4.355184555,1
47,1089,-0.4085102081,5.082061291,1
47,1121,1.20206213,6.22678566,1
47,1153,2.379039764,5.608128548,1
47,1185,4.101182938,6.400984764,1
47,1217,4.674695015,5.383713722,1
47,1249,4.019424438,3.993373394,1
47,1281,3.284435272,3.637435675,1
47,1313,2.370312452,5.206335545,1
47,1345,2.302044868,6.815442085,1
47,1377,1.427964091,5.205374718,1
47,1409,0.427508831,15.27152443,1
47,1441,2.146245003,4.007923126,1
47,1473,2.355503082,3.952752113,1
47,1505,1.649403811,4.200824261,1
47,1537,7.800283432,13.40132523,1
47,1569,2.136822701,2.954939604,1
47,1601,2.841923475,2.829687834,1
47,1633,3.406914949,10.24790096,1
47,1665,3.030389786,9.324180603,1
47,1697,3.561909199,6.524591923,1
47,1729,0.4520230293,0.7254424095,1
47,1761,0.7381632328,0.6501846313,1
47,1793,0.4380589128,1.052818298,1
47,1825,0.3017876148,-0.1830239296,1
47,1857,0.4897652864,-0.1461834908,1
47,1889,0.323392272,1.322503567,1
47,1921,0.8146016002,2.732774734,1
47,1953,1.646758318,6.310117722,1
47,1985,1.548694849,4.185081959,1
47,2017,0.08522045612,-9.796915054,1
79,33,-0.3200534582,3.720473289,1
79,65,-1.20330739,1.562510729,1
79,97,-1.096889734,0.5932663679,1
79,129,-4.604450226,11.59856796,1
79,161,0.1182708144,14.45153046,1
79,193,0.2461258769,0.7100491524,1
79,225,0.5521227121,1.236889839,1
79,257,0.1214748621,2.281549931,1
79,289,0.424141705,2.989933729,1
79,321,0.5501077175,4.120513916,1
79,353,0.1480799913,4.463209629,1
79,385,0.9141913652,4.072750568,1
79,417,1.515347004,1.454805851,1
79,449,1.81937933,3.235235691,1
79,481,1.570480943,3.689284801,1
79,513,1.175434709,5.42772913,1
79,545,1.010864377,4.108736515,1
79,577,-14.72946358,8.842708588,1
79,609,7.20791626,15.14485455,1
79,641,1.826378345,4.711612701,1
79,673,1.768724203,4.745046139,1
79,705,1.77206552,4.984174252,1
79,737,0.6343471408,1.202847481,1
79,769,-0.07550990582,4.937185287,1
79,801,-1.089705944,4.924278736,1
79,833,-1.211673856,4.013777733,1
79,865,0.7173668742,5.973326683,1
79,897,-1.426969528,8.321062088,1
79,929,0.09650117159,8.3865242,1
79,961,0.01379361749,4.691139698,1
79,993,-0.1954688132,1.191452026,1
79,1025,0.1188626289,2.946578026,1
79,1057,0.4348871112,2.790428162,1
79,1089,1.327967763,4.201170921,1
79,1121,1.233498931,5.493263721,1
79,1153,0.1578509808,4.831235409,1
79,1185,1.96092391,3.901688576,1
79,1217,2.647730589,2.197465897,1
79,1249,2.622532368,1.813815594,1
79,1281,2.691444874,4.06646204,1
79,1313,1.995261431,5.29443121,1
79,1345,5.292209148,4.833459854,1
79,1377,5.713176727,3.716034889,1
79,1409,4.045353889,3.693971157,1
79,1441,3.158755779,4.222280979,1
79,1473,2.214984179,4.029749393,1
79,1505,2.087327957,4.740932465,1
79,1537,2.035978079,4.247061729,1
79,1569,2.639265299,4.014658928,1
79,1601,2.729773998,3.838518143,1
79,1633,1.924202919,4.209389687,1
79,1665,1.757617831,5.819029808,1
79,1697,0.3162145615,0.3165287971,1
79,1729,0.1419821978,0.06078767776,1
79,1761,0.2288200855,0.7463803291,1
79,1793,0.2570548654,1.53781414,1
79,1825,0.05031579733,1.066652298,1
79,1857,0.7334235907,4.365167618,1
79,1889,0.671350956,5.604491234,1
79,1921,1.440667868,3.685420752,1
79,1953,0.6817460656,2.308468819,1
79,1985,-0.4160011411,0.3745435476,1
79,2017,-1.591161728,-3.243145227,1
111,33,-0.2978638113,1.872077107,1
111,65,-1.147877812,1.286840439,1
111,97,-0.9376571774,0.478102088,1
111,129,-0.8900877237,1.063678741,1
111,161,-2.25508213,12.62469673,1
111,193,0.7537742853,3.231009483,1
111,225,0.4235880971,1.623268843,1
111,257,-0.4794924855,4.867165565,1
111,289,-0.5401522517,3.73580265,1
111,321,-0.4708653688,4.997197151,1
111,353,0.9925112724,4.75737524,1
111,385,1.610062718,5.162313461,1
111,417,1.9335742,4.67121315,1
111,449,1.831069827,3.509438038,1
111,481,2.273371935,3.278117657,1
111,513,1.760602713,5.238695621,1
111,545,1.469072461,3.908792019,1
111,577,1.447470069,4.267085552,1
111,609,12.24537754,21.13610458,1
111,641,3.360366821,4.569227695,1
111,673,1.708421826,4.753601074,1
111,705,1.373092771,4.850436687,1
111,737,1.144337177,4.859813213,1
111,769,0.7545604706,1.646224022,1
111,801,10.96852303,5.423410892,1
111,833,-0.2055809498,1.08581543,1
111,865,1.694758534,3.996850014,1
111,897,0.3520812392,6.006922245,1
111,929,0.1917892396,9.88183403,1
111,961,0.4683636129,4.531602859,1
111,993,-0.3714240491,1.279869318,1
111,1025,0.6712213755,3.692680597,1
111,1057,1.215782285,2.212864161,1
111,1089,1.054520607,3.257932663,1
111,1121,0.6801715493,4.431962967,1
111,1153,0.7748874426,5.051124096,1
111,1185,1.34434402,3.14325881,1
111,1217,1.269163132,1.351078033,1
111,1249,1.360337377,1.547055006,1
111,1281,1.695851564,4.812904835,1
111,1313,1.916559458,4.80028677,1
111,1345,2.796997786,4.14772892,1
111,1377,2.845209122,3.416013241,1
111,1409,3.1664536,3.783948898,1
111,1441,3.162739038,3.991749763,1
111,1473,2.336042404,4.409854412,1
111,1505,2.246426821,5.074211121,1
111,1537,2.113109589,4.659205437,1
111,1569,2.650696278,4.115238667,1
111,1601,2.558980703,4.492185593,1
111,1633,1.048433185,4.708956242,1
111,1665,1.124027371,5.815566063,1
111,1697,1.195786476,6.1222229,1
111,1729,0.7359011173,4.340622902,1
111,1761,-0.0523801446,0.864346981,1
111,1793,0.1564549804,0.4490394592,1
111,1825,0.3304579854,1.313921452,1
111,1857,0.8582037687,6.427529335,1
111,1889,1.052447438,5.706996441,1
111,1921,1.256248474,3.690842628,1
111,1953,0.4932795167,1.546548724,1
111,1985,-0.007929474115,0.275965035,1
111,2017,-0.2518426776,-0.178751111,1
143,33,-1.854737878,0.5268239975,1
143,65,-1.566393852,0.9909380674,1
143,97,-1.286673069,1.317064285,1
143,129,-0.914814353,0.5477051735,1
143,161,-0.4189352393,1.826543331,1
143,193,0.2424867451,2.387372732,1
143,225,0.2415634096,3.023628235,1
143,257,0.3433581889,5.084424496,1
143,289,0.6254421473,6.786499977,1
143,321,0.8384492397,6.508032322,1
143,353,1.71576488,4.917503834,1
143,385,1.822005153,5.255290031,1
143,417,1.449504137,4.845808983,1
143,449,2.370837688,4.488420963,1
143,481,2.970571041,3.922089577,1
143,513,0.9430834055,5.188171864,1
143,545,1.033836603,5.429978371,1
143,577,0.8793524504,5.258066177,1
143,609,-1.989948988,16.08988571,1
143,641,2.983238935,12.79411316,1
143,673,1.997761369,5.259755611,1
143,705,1.623128772,4.990842819,1
143,737,1.417907238,4.944612503,1
143,769,1.213845015,7.037633419,1
143,801,0.6792286038,4.864434242,1
143,833,0.683590889,3.806005955,1
143,865,0.6404225826,2.853631496,1
143,897,0.4634573162,0.9622311592,1
143,929,0.2610300779,4.123630047,1
143,961,0.02888983488,0.03727388382,1
143,993,-4.580208302,3.883759975,1
143,1025,-8.525296211,5.930846691,1
143,1057,1.50433743,1.935147047,1
143,1089,0.9578413963,2.554073334,1
143,1121,0.6221513152,3.6435287,1
143,1153,0.6712755561,4.811504364,1
143,1185,0.6423643231,4.844426155,1
143,1217,0.7320773602,2.467982292,1
143,1249,-0.3433525562,1.641980171,1
143,1281,0.9374365807,4.444455147,1
143,1313,1.140311122,4.480257034,1
143,1345,1.748820186,3.860939026,1
143,1377,2.79137516,4.014858723,1
143,1409,2.876808167,4.979436398,1
143,1441,3.060669184,5.562570572,1
143,1473,2.77497077,5.430307865,1
143,1505,1.471179008,5.45454073,1
143,1537,1.94781208,4.39252758,1
143,1569,1.736427784,2.051215649,1
143,1601,2.065479755,4.38752985,1
143,1633,0.5677140951,0.1080904007,1
143,1665,12.40588951,3.345592976,1
143,1697,1.20878315,5.604820728,1
143,1729,1.231837988,3.915345669,1
143,1761,0.3030299544,0.7268133163,1
143,1793,-0.05131030083,0.7212314606,1
143,1825,0.7887738347,6.51811409,1
143,1857,0.6351282597,6.922041893,1
143,1889,0.5994702578,5.124685287,1
143,1921,-0.3315606415,6.162945747,1
143,1953,-0.9348115921,3.436295033,1
143,1985,0.2728383243,0.1878020465,1
143,2017,-0.05692982674,0.1349534988,1
175,33,-3.763294697,0.3252500296,1
175,65,-2.366448402,1.939106345,1
175,97,-2.050282001,2.586531878,1
175,129,-1.239037395,2.833453655,1
175,161,-0.004245698452,2.401161671,1
