 ,X,Y,Slice,MinThr,MaxThr
1,1157.602,1006.586,1,65535,65535
2,1157.602,1006.586,2,65535,65535
3,1139.646,1026.070,3,65535,65535
4,1131.753,1031.650,4,65535,65535
5,1129.714,1044.776,5,65535,65535
6,1124.850,1060.992,6,65535,65535
7,1131.638,1077.396,7,65535,65535
8,1156.185,1099.654,8,65535,65535
9,1168.770,1136.746,9,65535,65535
10,1175.113,1149.140,10,65535,65535
11,1153.016,1169.078,11,65535,65535
12,1127.586,1193.138,12,65535,65535
13,1121.938,1209.324,13,65535,65535
14,1106.867,1223.465,14,65535,65535
15,1107.323,1221.994,15,65535,65535
