 ,Area,Mean,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,8005.568,118.275,103,196,126.145,107.105,453.564,179.985,56.633,10.593,0.489,100,3.178,0.315,0.834
2,5986.694,118.797,103,196,124.974,109.200,370.514,152.826,49.877,11.423,0.548,100,3.064,0.326,0.868
3,4421.808,118.948,103,196,124.639,109.219,317.433,133.583,42.146,14.492,0.551,100,3.170,0.316,0.879
4,3853.056,119.192,103,196,123.956,111.031,295.007,122.758,39.964,14.324,0.556,100,3.072,0.326,0.884
5,3335.146,118.522,103,196,123.442,113.090,265.928,113.375,37.455,16.305,0.593,100,3.027,0.330,0.909
6,2837.050,117.248,103,195,123.862,114.870,253.136,106.653,33.869,16.673,0.556,100,3.149,0.318,0.884
7,2110.399,117.033,103,180,126.793,117.201,228.460,96.732,27.778,18.342,0.508,100,3.482,0.287,0.847
8,1463.507,117.622,103,180,131.987,117.932,205.699,84.366,22.087,18.280,0.435,100,3.820,0.262,0.788
9,937.421,118.780,105,180,131.589,120.774,178.663,74.754,15.966,20.823,0.369,100,4.682,0.214,0.786
10,736.681,119.585,105,180,132.294,121.553,163.698,68.085,13.777,20.947,0.345,100,4.942,0.202,0.770
11,548.774,120.727,105,180,134.009,121.823,150.585,58.931,11.857,21.229,0.304,100,4.970,0.201,0.685
12,380.716,121.488,105,180,133.790,122.586,129.474,49.729,9.748,21.711,0.285,100,5.102,0.196,0.656
13,283.056,121.873,106,180,133.267,123.064,116.912,42.539,8.472,23.163,0.260,100,5.021,0.199,0.616
14,188.892,122.135,106,180,132.022,123.831,106.148,36.247,6.635,24.545,0.211,100,5.463,0.183,0.524
15,180.809,122.719,106,180,130.900,124.931,96.433,42.958,5.359,25.394,0.244,100,8.016,0.125,0.732
