 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Skew,%Area
1,12433.887,117.405,117.103,132.248,601.065,157.248,100.677,42.747,2.722,100
2,12433.887,117.405,117.103,132.248,601.065,157.248,100.677,42.747,2.722,100
3,9829.967,117.553,115.904,136.094,522.893,140.442,89.118,54.353,2.517,100
4,7255.256,117.590,115.053,133.654,457.482,128.241,72.034,54.170,2.703,100
5,5956.921,117.643,115.721,131.854,425.378,116.223,65.259,53.222,2.840,100
6,5047.784,117.714,115.521,132.153,387.183,109.502,58.693,53.163,2.982,100
7,4368.737,117.774,116.397,132.890,364.108,102.506,54.264,52.079,3.056,100
8,3369.084,117.980,118.290,134.756,325.216,94.857,45.222,50.751,3.256,100
9,2377.665,118.533,118.247,140.231,284.790,84.771,35.712,51.011,3.365,100
10,1957.427,118.576,117.793,141.704,265.969,80.018,31.146,49.684,3.494,100
11,1508.085,119.383,117.500,144.087,254.332,66.672,28.800,55.549,3.456,100
12,1164.919,120.043,116.225,148.669,235.762,57.094,25.979,63.302,3.379,100
13,835.655,120.722,117.250,149.358,223.157,48.112,22.115,67.307,3.255,100
14,751.614,120.871,116.472,151.644,212.041,46.701,20.492,72.815,3.232,100
15,681.827,121.102,116.071,150.391,210.255,45.030,19.279,70.528,3.157,100
