PIVlab, ASCII chart output - 07-Feb-2024
FRAME: 49, filenames: A:[49]MAX_TimeSrs025_TgUtrmcherry.avi & B:[50]MAX_TimeSrs025_TgUtrmcherry.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,9.548547745,2.923526287,1
47,65,4.477519989,2.491212845,1
47,97,0.5093576908,-0.6718078852,1
47,129,0.7425024509,-1.071663618,1
47,161,1.142113566,-0.7544488311,1
47,193,0.5955154896,-0.3001266122,1
47,225,0.09136664867,0.3475990295,1
47,257,0.1178731322,0.3769205809,1
47,289,0.1735564768,0.7382647991,1
47,321,0.4077522755,0.06883019209,1
47,353,0.3386306763,-0.07544863224,1
47,385,-0.2729588151,-0.7594686151,1
47,417,-0.2202968597,-0.2133198082,1
47,449,-0.1978086233,0.09358182549,1
47,481,-0.1741959453,0.1216015369,1
47,513,-0.1386030316,-0.06365823746,1
47,545,0.1207059324,-0.06355708838,1
47,577,0.3630864322,-0.01690459251,1
47,609,-0.103738904,-0.206459403,1
47,641,0.2497093529,-0.7782253027,1
47,673,0.3853493929,-0.9382536411,1
47,705,0.5853478909,-0.6540926099,1
47,737,0.1007170677,-0.7454534769,1
47,769,-0.380202055,-0.2578645349,1
47,801,-0.2648476362,-0.2850011587,1
47,833,-0.3468812108,-0.1898144186,1
47,865,-0.3290078938,0.01875433326,1
47,897,0.2756549418,0.2339582443,1
47,929,1.306337118,1.329776525,1
47,961,5.704271317,-4.744855881,1
47,993,4.771796227,-0.15062356,1
47,1025,3.082526207,0.3604418039,1
47,1057,1.677108049,1.352387428,1
47,1089,-0.3024246693,-0.8536698818,1
47,1121,-0.6196824312,0.6012508869,1
47,1153,0.1074886918,0.6503765583,1
47,1185,-0.0720307976,0.02402281761,1
47,1217,-0.240573585,-1.741618395,1
47,1249,-1.027347684,-3.23524189,1
47,1281,-2.090817451,-4.58347559,1
47,1313,-1.723359108,-2.90198946,1
47,1345,-0.3186312318,-0.8252034187,1
47,1377,0.07815623283,-1.980314851,1
47,1409,-0.1572313905,-1.212963462,1
47,1441,-0.773146987,-0.5601804256,1
47,1473,-1.302289367,-0.6344549656,1
47,1505,-0.1236552596,-3.680168867,1
47,1537,1.132492542,-2.308834791,1
47,1569,1.097937226,-1.603447914,1
47,1601,0.9936425686,-2.473650932,1
47,1633,0.2586140633,-2.743535995,1
47,1665,-0.5048561096,-1.770443916,1
47,1697,-1.073849678,-1.16484499,1
47,1729,-0.8235238791,0.4337897897,1
47,1761,-1.076423883,1.122267008,1
47,1793,-3.135216236,1.270729542,1
47,1825,-1.848280907,0.4390039444,1
47,1857,-4.269189835,0.8783471584,1
47,1889,-3.894407749,0.5243675709,1
47,1921,-2.16724968,-0.03293117881,1
47,1953,-3.437255621,0.3497524261,1
47,1985,-2.583278656,0.1427678466,1
47,2017,-0.2821218967,-1.140630126,1
79,33,-3.301944733,0.6994594336,1
79,65,1.134742022,2.06989789,1
79,97,1.043143749,1.441797495,1
79,129,0.5686060786,0.2496852875,1
79,161,0.6879878044,0.09356838465,1
79,193,0.2390982509,-0.05790472031,1
79,225,-0.3479747772,0.1318656653,1
79,257,0.07001957297,0.1303367466,1
79,289,0.3545386195,-0.09541779757,1
79,321,0.5027000308,-0.09297980368,1
79,353,0.6577532291,-0.1961091459,1
79,385,0.8375754356,-1.007720947,1
79,417,0.9015288949,-0.7276590466,1
79,449,0.8909974694,-0.6197043657,1
79,481,0.6320421696,0.09536080807,1
79,513,0.2779933512,-0.090423204,1
79,545,0.7284638882,-0.3289628625,1
79,577,1.906522155,-1.252064466,1
79,609,0.3376331627,-1.592047691,1
79,641,-0.04249338806,-0.3722280264,1
79,673,0.250898689,0.1272541285,1
79,705,0.4110201001,-0.1088726223,1
79,737,0.3840297163,-0.5309696794,1
79,769,0.03073994815,0.1714401841,1
79,801,-0.144078508,-0.2676616907,1
79,833,-0.1168155968,-0.1790519357,1
79,865,0.1612913311,-0.1961442232,1
79,897,0.9072767496,-0.2022991478,1
79,929,5.407351017,0.7189851999,1
79,961,6.878145218,-4.006537914,1
79,993,8.19371891,-7.53588295,1
79,1025,3.109732628,0.60416466,1
79,1057,3.298675299,0.8432772756,1
79,1089,3.512531281,0.534448266,1
79,1121,2.554604769,0.4619634449,1
79,1153,0.8640033007,0.2568176985,1
79,1185,-0.3218352199,0.1283181906,1
79,1217,-0.8916285038,-1.497250438,1
79,1249,-1.675017118,-2.604953527,1
79,1281,-2.16616869,-3.222827673,1
79,1313,-0.9883549213,-2.395796537,1
79,1345,-0.2315346599,-0.3084774017,1
79,1377,-0.1834051013,-0.4832011461,1
79,1409,-2.190537691,-2.59859395,1
79,1441,-0.8068127036,-1.232398748,1
79,1473,-0.3773417473,-0.838517189,1
79,1505,-0.2629702985,-1.647133946,1
79,1537,-0.08331766725,-1.406401038,1
79,1569,-0.2707879543,-0.6140172482,1
79,1601,0.06481876969,-1.923331857,1
79,1633,0.01803898811,-1.640629172,1
79,1665,-0.2187491059,-0.7075514793,1
79,1697,-1.105493665,-0.7882808447,1
79,1729,-1.752802253,-0.6362923384,1
79,1761,-2.304591894,-0.3378556669,1
79,1793,-3.356757641,-0.4297382534,1
79,1825,-3.512481451,-1.218122005,1
79,1857,-3.231603861,-0.3459710479,1
79,1889,-2.303589106,0.3917477727,1
79,1921,-0.8874847889,0.0708527267,1
79,1953,-1.744842172,0.2926903963,1
79,1985,-1.516903996,0.220294565,1
79,2017,-1.463589072,-0.622117579,1
111,33,-0.5689647198,-0.08629488945,1
111,65,-0.01365637779,1.254660845,1
111,97,0.619790554,2.46270752,1
111,129,0.5068036914,0.9538668394,1
111,161,0.7693977952,1.289291143,1
111,193,0.2630356252,0.2401236445,1
111,225,-0.1841293871,-0.1871125549,1
111,257,-0.04993854463,-0.0606533736,1
111,289,0.5754176378,-0.05494908988,1
111,321,0.9224185944,-0.1032167673,1
111,353,1.084219933,-0.1129519045,1
111,385,1.709877729,-0.6319540143,1
111,417,1.575885057,-0.5435729027,1
111,449,1.075102329,-0.04247924685,1
111,481,0.975045383,0.108197853,1
111,513,0.709802866,-0.2943064868,1
111,545,0.8139519691,-0.8255923986,1
111,577,2.074568748,-1.965886354,1
111,609,0.7589402199,-1.577106953,1
111,641,-0.3105441332,-0.2674209774,1
111,673,0.232831955,0.9666384459,1
111,705,0.5126749277,0.1493072212,1
111,737,0.4570189714,-0.6807764769,1
111,769,0.2375607789,-0.3779634237,1
111,801,-0.7499841452,-0.4097872972,1
111,833,-0.2919404805,-0.1329718828,1
111,865,1.337302566,-0.06804046035,1
111,897,1.204431176,-0.2722873092,1
111,929,0.961155653,-0.2521463335,1
111,961,1.420254707,-0.03794211149,1
111,993,1.939056873,-0.9512096643,1
111,1025,1.850008011,0.3857775927,1
111,1057,3.90371418,1.045802712,1
111,1089,3.794741154,0.08840031922,1
111,1121,3.113206863,-0.1469132602,1
111,1153,1.331757545,-0.3112392426,1
111,1185,-0.3290013373,-0.4816210866,1
111,1217,-1.368293285,-1.416842222,1
111,1249,-1.327207088,-2.134986401,1
111,1281,-1.256805062,-2.624444485,1
111,1313,-0.8210312724,-2.044549942,1
111,1345,-0.5074853301,-1.172308445,1
111,1377,-0.7835981846,-1.2793926,1
111,1409,-1.067678213,-1.342334151,1
111,1441,-0.6183087826,-1.402169108,1
111,1473,-0.1356891394,-0.5204554796,1
111,1505,-0.6597906351,-0.06810855865,1
111,1537,-2.761581898,-1.339680076,1
111,1569,-1.838505507,-0.8383840919,1
111,1601,-1.616066217,-2.137530804,1
111,1633,-0.3938606977,-1.14300859,1
111,1665,-0.455691874,0.08790999651,1
111,1697,-16.93580246,-6.552340031,1
111,1729,-1.993009567,-0.9004924893,1
111,1761,-3.623087406,-1.544059515,1
111,1793,-3.581557989,-1.130431414,1
111,1825,-2.878344059,-1.208601832,1
111,1857,-2.19219327,-0.4360073507,1
111,1889,-0.393815279,0.01158549637,1
111,1921,-0.4350954294,-0.05316321552,1
111,1953,-0.6342414618,0.08108329773,1
111,1985,-0.4035357833,0.2980443239,1
111,2017,-1.129270792,-0.1801821291,1
143,33,-0.9171187878,0.0488038063,1
143,65,0.4312866926,1.106125832,1
143,97,1.002029777,2.31636858,1
143,129,0.3718086481,1.144891024,1
143,161,-0.1447481215,0.731364429,1
143,193,-0.2358273864,-0.09957613051,1
143,225,-0.5927422643,-0.6245402098,1
143,257,0.1323181987,-0.05373549461,1
143,289,1.16158998,-0.1791166961,1
143,321,0.8627208471,-0.1858192086,1
143,353,0.7551695108,0.1955553293,1
143,385,1.344512224,-0.03972668946,1
143,417,1.00584209,0.2426594347,1
143,449,0.9175214767,0.1195099652,1
143,481,1.180896163,-0.0364228487,1
143,513,4.439571381,0.07359606028,1
143,545,0.8999829888,-0.826530695,1
143,577,0.5190171003,-0.263207078,1
143,609,0.4054020047,0.04128944874,1
143,641,0.4702405035,0.2995113432,1
143,673,-0.2424825132,-0.4048464298,1
143,705,0.1319942772,-0.6200632453,1
143,737,1.008351564,-0.9617203474,1
143,769,0.7124937773,-0.9808177948,1
143,801,0.162569046,-0.6638242602,1
143,833,-0.04830780625,-0.3732920289,1
143,865,0.5626189709,-0.1213306636,1
143,897,3.530572891,-0.1809156984,1
143,929,5.342125893,1.202321172,1
143,961,1.730495691,0.1898003519,1
143,993,1.747164726,-0.1101551652,1
143,1025,1.923131943,0.5955220461,1
143,1057,2.508055925,0.8033710718,1
143,1089,2.442467213,-0.2164536715,1
143,1121,1.309787273,-0.3561128974,1
143,1153,0.5805615783,0.09975075722,1
143,1185,0.1624206901,-0.6054669023,1
143,1217,-0.06066200137,-1.190454125,1
143,1249,0.3307591677,-2.15278244,1
143,1281,-0.02115315199,-3.566393852,1
143,1313,-0.7324974537,-2.234229326,1
143,1345,-0.8735051751,-1.896675825,1
143,1377,-1.078371763,-1.770151973,1
143,1409,-0.7981796265,-1.50332582,1
143,1441,-0.4064235687,-1.420331478,1
