PIVlab, ASCII chart output - 07-Feb-2024
FRAME: 1, filenames: A:[1]MAX_TimeSrs025_TgUtrmcherry.avi & B:[2]MAX_TimeSrs025_TgUtrmcherry.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-1.033221006,0.05873579532,1
47,65,-0.2169057131,-0.02481257915,1
47,97,-0.9477770329,0.1960398555,1
47,129,-0.2293450832,-0.05081191659,1
47,161,-0.3129637241,-0.2900728583,1
47,193,-1.241421819,-0.263189286,1
47,225,-0.5838115215,-0.1878552437,1
47,257,0.05987858772,-0.1219617724,1
47,289,-0.168289423,0.4077233076,1
47,321,-0.5946221352,-0.322979331,1
47,353,-1.037266493,-0.8931293488,1
47,385,-0.9923399687,-0.6300429106,1
47,417,-1.290808201,0.04852986336,1
47,449,-2.712967873,-5.823760986,1
47,481,-2.541441441,-5.619074345,1
47,513,-1.465885162,-0.3147311211,1
47,545,-1.553209066,0.4301664829,1
47,577,-0.7318691015,0.6550196409,1
47,609,-0.7956631184,0.6837130785,1
47,641,-2.188289642,-1.097437024,1
47,673,-2.370653629,-2.828882694,1
47,705,-2.562402964,-2.988741875,1
47,737,-2.135467529,-2.859213829,1
47,769,-0.7419753075,-2.369561195,1
47,801,-1.092137337,-1.421318531,1
47,833,-1.743105412,-1.792322636,1
47,865,-1.290792942,-1.697086692,1
47,897,-0.7915693521,-0.6844442487,1
47,929,-1.411372185,0.2293378115,1
47,961,-1.848170757,0.969763279,1
47,993,-0.6437242031,0.03105938435,1
47,1025,-0.07158899307,-0.5302033424,1
47,1057,-0.03653371334,0.5302493572,1
47,1089,-0.1738144159,1.433067322,1
47,1121,-0.6021637917,0.3922865391,1
47,1153,-0.7014985085,-0.8299777508,1
47,1185,-0.3961642981,-0.9757454395,1
47,1217,-0.1586090326,0.02797341347,1
47,1249,-0.8465108871,0.03347027302,1
47,1281,-0.6561766863,0.3055927753,1
47,1313,-0.04188656807,0.8801852465,1
47,1345,0.8473978043,0.9547008872,1
47,1377,1.658293128,-0.3146877885,1
47,1409,1.22393775,-0.6012064815,1
47,1441,-0.1204144955,-0.07931190729,1
47,1473,-0.8749222755,0.9909236431,1
