PIVlab, ASCII chart output - 07-Feb-2024
FRAME: 4, filenames: A:[4]MAX_TimeSrs025_TgUtrmcherry.avi & B:[5]MAX_TimeSrs025_TgUtrmcherry.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-31.49615288,13.98435402,1
47,65,-12.11559963,-10.23233986,1
47,97,12.52271652,-4.227621555,1
47,129,0.2452511787,-1.265027046,1
47,161,0.2248430252,-0.4883770943,1
47,193,-0.150683403,-0.7515306473,1
47,225,-0.2680940628,-0.7676134109,1
47,257,-0.7141134739,-0.9093625546,1
47,289,-0.5216345787,0.4307940006,1
47,321,-0.1176791191,0.6125023365,1
47,353,-0.7824809551,-2.097299814,1
47,385,-3.116112709,-4.623743057,1
47,417,-4.752607346,-4.960499287,1
47,449,-4.415648937,-4.753649235,1
47,481,-1.565351963,-1.471430898,1
47,513,-5.566938877,-2.965027809,1
47,545,-7.175955296,-5.159024239,1
47,577,-2.132488966,-1.28161478,1
47,609,0.6539020538,-0.6898980141,1
47,641,0.743142128,-2.150618553,1
47,673,-1.26774466,1.734165907,1
47,705,-6.659878731,0.6526589394,1
47,737,-1.809439659,-0.06619048119,1
47,769,0.431655407,0.5030064583,1
47,801,0.4770370722,4.772891521,1
47,833,3.683104515,2.87436676,1
47,865,5.360426903,3.950595856,1
47,897,6.0818367,6.01745224,1
47,929,4.252820015,-7.860451221,1
47,961,6.950443268,-1.444991112,1
47,993,11.60270882,-5.632889748,1
47,1025,14.80552864,1.660873294,1
47,1057,15.10841751,-0.4259747267,1
47,1089,13.82593155,-2.533555031,1
47,1121,12.48410988,2.78240037,1
47,1153,14.01747799,4.172643661,1
47,1185,13.27128601,1.618438721,1
47,1217,15.04309845,-2.337697983,1
47,1249,17.11592102,-1.981166601,1
47,1281,20.38918495,-1.960464478,1
47,1313,18.94451904,-3.358236313,1
47,1345,18.18738174,-5.534281254,1
47,1377,23.14156723,-6.104776382,1
47,1409,26.39783096,-7.850244999,1
47,1441,22.42900276,-12.41524887,1
47,1473,14.29109764,-25.11109734,1
47,1505,16.81372452,-11.30625153,1
47,1537,16.86333275,6.418595314,1
47,1569,16.40324402,-9.226686478,1
47,1601,16.09583282,-10.1839323,1
47,1633,16.51380348,-11.02480412,1
47,1665,13.22476768,-11.32873154,1
47,1697,2.259822845,-9.379533768,1
47,1729,15.26519299,-8.164373398,1
47,1761,27.67826843,-1.653877258,1
47,1793,13.89910984,-13.68447018,1
47,1825,14.07822132,-12.24997044,1
47,1857,13.6740675,-9.665719986,1
47,1889,12.21914577,-8.352794647,1
47,1921,10.43520832,-6.268900394,1
47,1953,9.808154106,-5.157570362,1
47,1985,11.51876354,-13.28117561,1
47,2017,1.415721893,-0.1710174084,1
79,33,-12.00754261,10.30800629,1
79,65,-28.32141876,-1.855407,1
79,97,-4.186653137,-5.950218201,1
79,129,0.009283065796,-1.946295977,1
79,161,0.3422164917,-1.468172312,1
79,193,-1.110128403,-1.430027723,1
79,225,-1.748781681,-3.082087994,1
79,257,-2.542399883,-4.192186356,1
79,289,-2.829779148,-3.635711908,1
79,321,-0.7027227879,-0.2524151802,1
79,353,-1.057639122,-2.332678795,1
79,385,-4.05547905,-4.82127142,1
79,417,-4.550046444,-4.513585567,1
79,449,-4.141810894,-3.98623848,1
79,481,-4.594312191,0.01077103615,1
79,513,-4.826780319,2.211633444,1
79,545,-21.09959221,-0.8488504887,1
79,577,-2.848113298,-0.8919357061,1
79,609,-2.266568422,-0.1061052084,1
79,641,-1.028624654,1.285883188,1
79,673,-2.025006533,2.204106092,1
79,705,-4.077258587,3.369276762,1
79,737,-4.519828796,2.822006702,1
79,769,-8.550146103,2.268977642,1
79,801,-5.263314724,4.365125179,1
79,833,2.840078592,10.80082798,1
79,865,6.59192276,10.2663269,1
79,897,7.008765697,5.677059174,1
79,929,1.578986168,13.20339584,1
79,961,-0.8855314255,-13.62610435,1
79,993,13.10594654,0.2575550079,1
79,1025,13.88083649,2.095878601,1
79,1057,11.91973114,1.247318029,1
79,1089,10.84550667,1.805696011,1
79,1121,12.59686756,0.3879426718,1
79,1153,13.39996624,1.707343578,1
79,1185,15.03227425,-1.973653316,1
79,1217,18.01918411,-2.042113543,1
79,1249,19.67274666,-1.736126423,1
79,1281,21.27247429,-2.342344999,1
79,1313,22.24642563,-2.003408909,1
79,1345,23.95692825,-4.59254837,1
79,1377,25.83959198,-5.757634163,1
79,1409,26.50055885,-7.236596584,1
79,1441,24.78399086,-10.28131294,1
79,1473,21.09363174,-9.709207535,1
79,1505,19.52397537,-10.36104774,1
79,1537,19.97737122,-10.53250217,1
79,1569,19.45916176,-11.03203773,1
79,1601,18.01524544,-11.96599293,1
79,1633,17.54816437,-12.36201191,1
79,1665,3.123386383,-5.679396629,1
79,1697,1.244587898,-9.493164063,1
79,1729,-0.8175401688,-0.2592229843,1
79,1761,-1.491458893,-22.19031525,1
79,1793,13.61194706,-12.32153702,1
79,1825,13.32869053,-11.7833004,1
79,1857,11.85032177,-10.82205772,1
79,1889,10.53616047,-9.729884148,1
79,1921,11.06117439,-11.34746552,1
79,1953,-1.689222336,4.385704994,1
79,1985,7.231045723,-11.16085339,1
79,2017,20.38757706,-0.07403281331,1
111,33,-8.642203331,1.56083107,1
111,65,-7.330031872,-4.787707329,1
111,97,-6.209446907,-3.368612289,1
111,129,-0.02735090256,-2.015310764,1
111,161,-5.857241631,-3.162941456,1
111,193,-4.196910858,-2.51502037,1
111,225,-3.279616833,-4.387395382,1
111,257,-4.439671516,-6.726707935,1
111,289,-0.6826605797,-0.6237955093,1
111,321,-0.4972214699,-0.5498900414,1
111,353,-4.190545559,-3.296646118,1
111,385,-4.696751595,-4.800358295,1
111,417,-4.431538105,-4.744753838,1
111,449,-3.911983967,-3.629164457,1
111,481,-2.785303831,-1.955839872,1
111,513,-1.653704524,0.1398806572,1
111,545,-1.814080954,-1.353005528,1
111,577,-3.365570784,-1.028192759,1
111,609,-3.652417183,0.3301563859,1
111,641,-3.967342854,2.415428162,1
111,673,-3.100700378,2.690557957,1
111,705,-3.768998623,3.120386362,1
111,737,-4.157982826,3.708633423,1
111,769,-3.36178875,3.860358953,1
111,801,0.3884987235,8.849632263,1
111,833,2.984335661,8.637896538,1
111,865,4.705844402,7.729592323,1
111,897,8.471840858,6.413380623,1
111,929,0.4218988419,24.49489212,1
111,961,13.95171547,5.700775623,1
111,993,13.23662376,4.253517628,1
111,1025,11.79684544,3.095048428,1
111,1057,10.91137981,3.742191553,1
111,1089,12.55329514,1.263970256,1
111,1121,12.1590414,-0.1755132675,1
111,1153,12.66236496,-0.3153198957,1
111,1185,10.12431526,8.26209259,1
111,1217,19.80317879,-2.242411137,1
111,1249,20.41055107,-2.64330554,1
111,1281,21.3999424,-3.653727055,1
111,1313,22.99562263,-3.48071003,1
111,1345,26.39333344,-5.42592001,1
111,1377,27.6272068,-5.766848564,1
111,1409,27.40218163,-7.568163872,1
111,1441,25.28347588,-9.830850601,1
111,1473,24.15938187,-8.870427132,1
111,1505,23.65132141,-9.632656097,1
111,1537,23.62026787,-9.768309593,1
111,1569,18.32082367,-11.02524948,1
111,1601,17.22385979,-11.89755821,1
111,1633,17.28506851,-13.17734051,1
111,1665,14.73735523,-12.17728901,1
111,1697,13.63835144,-11.54883862,1
111,1729,-0.4054374695,-0.8365135193,1
111,1761,30.98855972,-22.22920799,1
111,1793,12.38831234,-12.33709335,1
111,1825,11.89179325,-12.39774704,1
111,1857,11.12690163,-11.05850792,1
111,1889,19.36358643,-3.491601944,1
111,1921,11.7103796,-14.62908363,1
111,1953,10.81877613,-13.80313683,1
111,1985,7.443017006,-4.048203945,1
111,2017,18.62196732,-0.5780558586,1
143,33,-10.13185692,0.384935379,1
143,65,-8.856496811,-3.09721446,1
143,97,-6.198598385,-4.250769615,1
143,129,-5.409238815,-4.242183208,1
143,161,-5.160246372,-4.764984131,1
143,193,-5.282372475,-5.291934013,1
143,225,-5.657579422,-5.730141163,1
143,257,-5.987744808,-5.369213104,1
143,289,-5.996976852,-3.96171093,1
143,321,-5.659549236,-4.462484837,1
143,353,-5.084424973,-4.087990284,1
143,385,-4.601173878,-4.535786629,1
143,417,-4.011626244,-5.037940025,1
143,449,-3.24678278,-4.05389595,1
143,481,-2.465317249,-2.787819862,1
143,513,-2.308844566,-1.617156744,1
143,545,-2.58118844,-1.838299632,1
143,577,-4.99311161,-1.782805085,1
143,609,-6.064096928,-0.9989594221,1
143,641,-3.644455433,0.6733878851,1
143,673,-3.013400555,2.042205095,1
143,705,-2.457479954,1.957106709,1
143,737,-3.837266922,2.578856945,1
143,769,-3.398720026,1.913846016,1
143,801,2.228810787,21.23581696,1
143,833,3.435335398,8.770075798,1
143,865,3.988705158,7.868485928,1
143,897,7.141599655,8.667469978,1
143,929,10.60598564,9.582035065,1
143,961,14.55731297,8.373428345,1
143,993,14.22876358,6.213575363,1
143,1025,12.12250805,4.194628716,1
143,1057,11.51241398,2.838116646,1
143,1089,12.67586899,1.339258194,1
143,1121,11.84277725,1.784600019,1
143,1153,12.13996887,-0.2400462627,1
143,1185,14.88415146,-0.1808559895,1
143,1217,19.01142311,-1.818800926,1
143,1249,21.18013954,-3.059584141,1
143,1281,22.10885429,-4.650263786,1
143,1313,24.26061058,-5.026124001,1
143,1345,27.86802483,-6.199076653,1
143,1377,28.39562798,-7.303717613,1
143,1409,27.3026886,-8.679192543,1
143,1441,26.93636513,-10.49850178,1
143,1473,26.96315765,-11.12745953,1
143,1505,25.48351669,-10.85794258,1
143,1537,23.64944077,-11.33092308,1
143,1569,21.08138084,-11.72432899,1
143,1601,19.3539753,-13.36616421,1
143,1633,36.95681763,-14.68647003,1
143,1665,15.61116982,-12.67461491,1
143,1697,13.77450943,-12.57175064,1
143,1729,13.30366898,-14.4152832,1
143,1761,13.19545174,-14.21084976,1
143,1793,13.94042397,-14.64167023,1
143,1825,12.10593319,-13.01364613,1
143,1857,10.98402691,-10.65862751,1
143,1889,16.62950897,-10.6238451,1
143,1921,16.11930466,-11.42600632,1
143,1953,14.76788902,-8.702566147,1
143,1985,11.49247456,-6.085077286,1
143,2017,0.6180591583,-1.64677465,1
175,33,-10.30286217,3.158305168,1
175,65,-6.544993877,-3.934695005,1
175,97,-5.547142506,-4.896803856,1
175,129,-5.02340889,-4.859473228,1
175,161,-5.101923466,-5.39825964,1
175,193,-5.058392048,-5.39673233,1
175,225,-5.891266823,-5.716050148,1
175,257,-6.784693241,-5.765415668,1
175,289,-6.887659073,-5.769177437,1
175,321,-6.399074554,-6.055702209,1
175,353,-5.177815437,-4.929636478,1
175,385,-4.366174698,-4.240510464,1
175,417,-3.914386511,-4.207885265,1
175,449,-3.180936575,-3.785242796,1
175,481,-2.615891933,-3.157631397,1
175,513,-2.463946819,-2.563374043,1
175,545,-2.408430099,-1.295923948,1
175,577,-2.672923565,-0.8464512825,1
175,609,-1.614852905,-0.9739216566,1
175,641,-3.584254742,-0.7502407432,1
175,673,-3.47945118,0.9959645271,1
175,705,-3.081742525,1.776038408,1
175,737,-2.145471334,0.8862890005,1
175,769,-1.563524961,-5.292405605,1
175,801,0.1362951994,-2.626215935,1
175,833,3.399816036,8.814212799,1
175,865,5.411380768,9.037146568,1
175,897,7.744325638,10.3196125,1
175,929,11.67880726,11.37360191,1
