 ,Area,X,Y,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,304.219,24.917,6.584,29.269,143,133,22.865,17.001
2,1257.887,111.307,22.762,63.100,813,26,131.103,33.477
3,878.613,135.862,12.835,40.518,1076,0,156.862,33.359
4,658.341,169.967,11.362,37.536,1427,0,131.139,26.331
5,1582.330,72.020,23.925,53.818,457,63,149.926,42.574
6,321.452,212.029,21.693,31.067,1902,61,109.130,16.277
7,684.537,196.189,24.191,43.408,1710,68,130.446,30.998
8,627.583,159.663,30.069,42.392,1264,295,4.837,21.547
9,546.252,43.882,40.593,40.245,342,566,75.665,27.928
10,1244.924,183.382,52.955,58.297,1599,796,83.707,33.042
11,860.501,23.013,56.874,48.535,168,258,91.279,30.370
12,636.498,145.830,45.532,36.364,1198,465,8.565,23.917
13,354.322,103.091,43.821,23.617,871,333,147.549,21.011
14,2093.331,199.393,79.970,82.110,1654,1062,61.305,40.184
15,135.798,119.816,54.810,17.631,1065,434,98.479,12.448
16,554.628,50.738,60.921,31.024,347,628,39.191,24.943
17,351.823,107.417,61.981,26.030,980,677,71.565,20.033
18,723.565,126.629,73.618,44.267,1173,873,86.634,26.726
19,1363.689,152.861,75.839,57.814,1172,874,50.016,41.906
20,394.805,92.501,79.729,31.637,793,647,111.911,24.187
21,920.833,13.210,94.253,48.866,74,660,104.899,27.402
22,354.087,107.361,85.910,28.196,903,917,64.518,21.584
23,364.633,87.619,100.329,44.052,767,760,110.886,22.888
24,946.958,154.240,105.038,55.245,1168,1097,33.160,26.800
25,604.003,119.609,112.845,45.315,982,1245,57.791,18.184
26,197.104,214.919,112.369,19.525,1953,1127,64.714,13.214
27,196.763,200.075,112.642,23.477,1725,1042,163.655,12.527
28,588.284,166.975,124.460,33.430,1369,1120,158.923,25.846
29,599.898,194.472,125.995,38.009,1654,1063,151.025,22.020
30,493.908,130.431,127.166,43.121,990,1244,18.298,18.283
31,684.384,152.014,140.015,45.971,1182,1265,175.270,26.357
32,468.276,183.270,148.668,33.291,1658,1229,92.797,22.653
33,567.837,204.303,147.655,30.593,1912,1512,79.804,25.546
34,580.987,125.785,146.698,44.633,963,1280,160.730,18.463
35,803.500,124.226,162.880,59.926,885,1312,139.545,29.881
36,368.927,8.217,153.554,27.643,0,1295,142.322,21.987
37,382.722,100.945,159.136,30.509,877,1334,119.568,16.362
38,1091.167,161.697,166.812,47.511,1305,1673,49.994,38.779
39,518.684,68.230,169.678,53.573,566,1817,63.849,17.326
40,1692.941,80.319,194.106,75.079,641,2047,75.463,36.815
41,1264.797,107.929,193.743,76.385,816,1384,113.039,37.906
42,611.359,196.929,172.684,33.403,1674,1535,142.907,24.553
43,1057.100,46.332,196.835,52.976,328,1983,65.478,30.925
44,340.819,119.774,179.181,27.518,1045,1540,124.253,17.413
45,539.026,188.943,191.189,44.666,1672,1580,105.182,24.420
46,396.049,139.339,192.812,27.197,1190,1873,43.548,19.664
47,737.326,159.934,199.890,45.821,1342,1680,122.450,28.818
48,610.115,179.242,207.513,36.471,1604,1732,110.695,23.813
49,487.058,139.867,212.756,32.002,1178,1891,150.832,19.279
50,751.368,68.429,128.939,49.246,547,1001,124.878,22.128
51,749.420,84.542,120.471,42.270,627,976,130.219,21.684
52,491.926,106.538,107.680,45.869,940,1230,66.038,19.318
53,670.976,41.589,83.499,57.411,168,707,145.530,31.310
54,732.000,68.714,85.893,36.963,622,982,75.231,27.444
55,946.301,79.817,56.640,53.461,525,687,45.657,32.666
56,628.181,34.552,19.525,37.224,173,259,34.569,22.019
57,558.323,8.665,42.742,39.457,48,598,76.345,19.279
58,332.197,61.581,146.400,44.177,373,1297,170.261,12.458
59,877.229,42.708,157.814,62.269,218,1558,18.876,28.449
60,645.742,41.778,127.091,60.173,245,1027,145.709,25.690
61,782.631,18.967,136.821,43.813,0,1170,162.595,28.573
62,724.035,29.042,182.813,51.102,139,1805,34.465,23.459
63,745.819,41.796,103.053,34.071,252,886,158.165,28.588
