PIVlab, ASCII chart output - 23-Oct-2024
FRAME: 1, filenames: A:[1]AVI_Pos00d_TimeSrs0002_TgUtrmcherry_K4K8MO.avi & B:[2]AVI_Pos00d_TimeSrs0002_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,NaN,NaN,2
47,65,NaN,NaN,2
47,97,1.960285425,33.47337723,1
47,129,1.696967483,32.04661179,1
47,161,5.821332932,28.98391724,1
47,193,NaN,NaN,2
47,225,NaN,NaN,2
47,257,NaN,NaN,2
47,289,12.74607468,30.41461563,1
47,321,11.5809803,32.26979446,1
47,353,13.55404282,38.41488266,1
47,385,14.5099144,35.52924347,1
47,417,15.542099,35.79436874,1
47,449,NaN,NaN,2
47,481,NaN,NaN,2
47,513,NaN,NaN,2
47,545,NaN,NaN,2
47,577,NaN,NaN,2
47,609,33.34797668,31.14707947,1
47,641,NaN,NaN,2
47,673,NaN,NaN,2
47,705,13.66139412,33.63408661,1
47,737,NaN,NaN,2
47,769,10.22029686,21.97541046,1
47,801,NaN,NaN,2
47,833,NaN,NaN,2
47,865,NaN,NaN,2
47,897,NaN,NaN,2
47,929,33.68959045,32.2798233,1
47,961,35.01444626,34.370121,1
47,993,NaN,NaN,2
47,1025,NaN,NaN,2
47,1057,39.43542862,27.96439743,1
47,1089,NaN,NaN,2
47,1121,41.92629623,27.54860306,1
47,1153,43.11158752,26.45328712,1
47,1185,43.68453979,21.84358025,1
47,1217,NaN,NaN,2
47,1249,45.00113678,18.68489647,1
47,1281,47.29333878,19.78743744,1
47,1313,NaN,NaN,2
47,1345,NaN,NaN,2
47,1377,NaN,NaN,2
47,1409,NaN,NaN,2
47,1441,NaN,NaN,2
47,1473,NaN,NaN,2
47,1505,51.64210892,-3.465352058,1
47,1537,51.63155746,-0.502563715,1
47,1569,53.1783371,-8.380447388,1
47,1601,52.52909088,-5.424854279,1
47,1633,54.1098175,-11.61994362,1
47,1665,51.78419876,-9.852069855,1
47,1697,NaN,NaN,2
47,1729,NaN,NaN,2
47,1761,NaN,NaN,2
47,1793,NaN,NaN,2
47,1825,NaN,NaN,2
47,1857,NaN,NaN,2
47,1889,NaN,NaN,2
47,1921,NaN,NaN,2
47,1953,NaN,NaN,2
47,1985,-3.505784512,-2.812752008,1
47,2017,0.7870602608,-1.076195717,1
79,33,NaN,NaN,2
79,65,NaN,NaN,2
79,97,NaN,NaN,2
79,129,NaN,NaN,2
79,161,2.915001392,34.29140091,1
79,193,4.560531616,31.75335884,1
79,225,5.267789841,33.14157104,1
79,257,5.988622665,33.11323166,1
79,289,7.498264313,32.53607178,1
79,321,NaN,NaN,2
79,353,NaN,NaN,2
79,385,13.14124966,36.75503922,1
79,417,14.63262081,36.68775177,1
79,449,NaN,NaN,2
79,481,15.33825874,37.87238312,1
79,513,15.19512558,36.77421188,1
79,545,17.15587234,37.8574028,1
79,577,17.9777317,38.06526947,1
79,609,NaN,NaN,2
79,641,NaN,NaN,2
79,673,NaN,NaN,2
79,705,NaN,NaN,2
79,737,26.35358429,32.74630737,1
79,769,26.57069588,31.16775322,1
79,801,NaN,NaN,2
79,833,27.41459656,30.25343704,1
79,865,30.9246788,36.51265335,1
79,897,NaN,NaN,2
79,929,NaN,NaN,2
79,961,NaN,NaN,2
79,993,NaN,NaN,2
79,1025,39.22727966,32.97901535,1
79,1057,42.82284927,30.66830826,1
79,1089,44.44883347,27.52532196,1
79,1121,41.95156097,27.38054276,1
79,1153,NaN,NaN,2
79,1185,NaN,NaN,2
79,1217,46.11991882,21.25314331,1
79,1249,48.25060272,21.71267128,1
79,1281,52.43899155,18.5777874,1
79,1313,53.09740829,16.0187149,1
79,1345,NaN,NaN,2
79,1377,NaN,NaN,2
79,1409,NaN,NaN,2
79,1441,52.29698181,1.572465897,1
79,1473,NaN,NaN,2
79,1505,NaN,NaN,2
79,1537,NaN,NaN,2
79,1569,54.21333694,-10.07554436,1
79,1601,54.29022217,-11.86997795,1
79,1633,NaN,NaN,2
79,1665,NaN,NaN,2
79,1697,NaN,NaN,2
79,1729,NaN,NaN,2
79,1761,NaN,NaN,2
79,1793,NaN,NaN,2
79,1825,NaN,NaN,2
79,1857,NaN,NaN,2
79,1889,NaN,NaN,2
79,1921,NaN,NaN,2
79,1953,NaN,NaN,2
79,1985,0.3271496296,-2.448314667,1
79,2017,NaN,NaN,2
111,33,NaN,NaN,2
111,65,NaN,NaN,2
111,97,NaN,NaN,2
111,129,NaN,NaN,2
111,161,2.61052537,31.4662056,1
111,193,3.715248823,30.39573479,1
111,225,3.224423885,33.0422554,1
111,257,2.863165855,34.29794312,1
111,289,5.355035782,33.59788513,1
111,321,8.087740898,41.36716843,1
111,353,9.737247467,42.1770134,1
111,385,NaN,NaN,2
111,417,NaN,NaN,2
111,449,NaN,NaN,2
111,481,NaN,NaN,2
111,513,14.36781883,38.2298851,1
111,545,18.01973724,37.9131546,1
111,577,19.63403893,38.96276474,1
111,609,20.13008118,40.24489212,1
111,641,22.31432533,41.03416824,1
111,673,24.18099022,41.47182846,1
111,705,NaN,NaN,2
111,737,27.09373093,35.13553619,1
111,769,25.38582039,31.56893158,1
111,801,24.64672279,29.35150909,1
111,833,27.03437042,33.84976196,1
111,865,30.64108276,36.38454056,1
111,897,NaN,NaN,2
111,929,NaN,NaN,2
111,961,NaN,NaN,2
111,993,40.77526474,35.05714417,1
111,1025,41.13741302,32.67258453,1
111,1057,42.95149612,31.38805008,1
111,1089,44.83084869,28.6403389,1
111,1121,46.62895203,26.72763634,1
111,1153,47.68072128,27.3855381,1
111,1185,49.9844017,24.91900063,1
111,1217,47.83983994,22.77472878,1
111,1249,NaN,NaN,2
111,1281,NaN,NaN,2
111,1313,NaN,NaN,2
111,1345,NaN,NaN,2
111,1377,55.85014343,6.31848526,1
111,1409,NaN,NaN,2
111,1441,53.31728363,2.488310814,1
111,1473,NaN,NaN,2
111,1505,NaN,NaN,2
111,1537,NaN,NaN,2
111,1569,NaN,NaN,2
111,1601,NaN,NaN,2
111,1633,NaN,NaN,2
111,1665,NaN,NaN,2
111,1697,NaN,NaN,2
111,1729,NaN,NaN,2
111,1761,NaN,NaN,2
111,1793,NaN,NaN,2
111,1825,NaN,NaN,2
111,1857,NaN,NaN,2
111,1889,NaN,NaN,2
111,1921,20.88092422,-8.346380234,1
111,1953,NaN,NaN,2
111,1985,0.8455815315,-0.005731776357,1
111,2017,-0.2942341566,-0.1657649577,1
143,33,1.094225287,2.819087982,1
143,65,NaN,NaN,2
143,97,NaN,NaN,2
143,129,NaN,NaN,2
143,161,NaN,NaN,2
143,193,NaN,NaN,2
