PIVlab, ASCII chart output - 12-Jun-2024
FRAME: 16, filenames: A:[16]MAX_Pos00d_TimeSrs0004_TgKrt18GFP_K4K8MO.avi & B:[17]MAX_Pos00d_TimeSrs0004_TgKrt18GFP_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
23,17,-0.6310343742,1.966474175,1
23,33,3.149487734,-1.153211951,1
23,49,-2.977880478,-7.790102482,1
23,65,-1.694332719,7.106509209,1
23,81,-2.686574459,6.31919384,1
23,97,-2.643594027,2.994511604,1
23,113,-6.315494061,-3.934711218,1
23,129,0.9086954594,-2.741928816,1
23,145,-2.938247681,-3.280102491,1
23,161,-6.925187588,-1.056326628,1
23,177,-6.252138615,0.3412883282,1
23,193,-4.195900917,1.358888149,1
23,209,-11.9870882,-7.673025131,1
23,225,-4.499747276,-0.6707897186,1
23,241,1.166714072,-7.990398407,1
23,257,3.282092571,-4.472300053,1
23,273,1.781530857,-3.90848732,1
23,289,5.474459648,3.669151545,1
23,305,4.982542038,4.279432774,1
23,321,0.02870614827,1.806581497,1
23,337,0.6729204059,4.541383743,1
23,353,4.507758141,2.815490484,1
23,369,9.967010498,0.6003892422,1
23,385,1.461768746,1.29369545,1
23,401,2.203185081,5.432853699,1
23,417,1.355914354,0.9705460072,1
23,433,0.7774599791,1.707356453,1
23,449,-0.0252263546,-0.7107721567,1
23,465,-0.2448968291,-1.601601005,1
23,481,0.5345728993,-1.148993492,1
23,497,1.310667872,1.514450312,1
23,513,7.368553638,6.933449745,1
23,529,7.378474236,7.140900612,1
23,545,2.167458057,11.89569664,1
23,561,-1.414004803,0.1934196949,1
23,577,6.511728287,2.470404387,1
23,593,6.7827878,3.024195671,1
23,609,-10.38509178,-2.024503708,1
23,625,-2.302803278,0.1809607744,1
23,641,-1.562674522,-0.3983035088,1
23,657,-0.5776228905,-0.1191241741,1
23,673,1.255423069,-0.5461152792,1
23,689,-0.2159796953,1.680623293,1
23,705,-2.795126915,-5.755750656,1
23,721,-2.592486382,0.7947902679,1
23,737,-1.283966184,0.3085439205,1
23,753,7.906303406,8.249235153,1
23,769,2.289673567,11.16064453,1
23,785,0.9192283154,0.4347648621,1
23,801,-0.542150259,-1.644350767,1
23,817,-4.411288261,0.03077292442,1
23,833,0.365983963,-0.5784327984,1
23,849,0.3759851456,1.41504705,1
23,865,-3.345514297,2.498440504,1
23,881,-3.186042786,2.523814201,1
23,897,-0.8303351402,1.51464057,1
23,913,0.007735490799,1.061255217,1
23,929,-0.4840853214,2.140191555,1
23,945,-1.679577589,1.984127522,1
23,961,-4.967963219,0.79343009,1
23,977,-9.144990921,-0.6066570282,1
23,993,-10.37496471,-6.1064291,1
23,1009,-6.678920269,4.116980553,1
23,1025,-2.676664352,5.465350151,1
23,1041,-4.311824799,4.200973988,1
23,1057,-9.138248444,6.269301414,1
23,1073,-7.894399643,2.252903223,1
23,1089,-6.448014259,0.1237775087,1
23,1105,-5.936091423,0.38136971,1
23,1121,-4.660870552,9.656234741,1
23,1137,-3.339290619,-5.214445114,1
23,1153,-2.231389046,2.874639034,1
23,1169,-3.618376493,2.798839808,1
23,1185,-4.017109871,3.505761623,1
23,1201,-2.605992317,11.35185719,1
23,1217,4.498157978,6.245111465,1
23,1233,-6.104860783,5.355136871,1
23,1249,-5.094388008,5.857889652,1
23,1265,-3.587237358,8.103113174,1
23,1281,-0.5410974026,-3.413279057,1
23,1297,0.4636052251,-0.7613463402,1
23,1313,-0.6302447319,6.334400654,1
23,1329,-3.520681143,-1.552994728,1
23,1345,-1.276395559,4.119455338,1
23,1361,-0.3582653999,3.965817451,1
23,1377,-1.220088959,4.218503475,1
23,1393,-3.396268845,3.743103743,1
23,1409,-3.491065502,2.961599112,1
23,1425,-1.793663979,2.071512699,1
23,1441,-1.925427198,3.764295578,1
23,1457,-1.610385895,3.167640924,1
23,1473,-0.150894165,2.235727072,1
23,1489,-0.9985437393,2.840749979,1
23,1505,-1.714817166,3.071293116,1
23,1521,-2.634857178,2.44575572,1
23,1537,-2.23119998,1.774536371,1
23,1553,-1.01570344,1.555411816,1
23,1569,0.9187422395,3.473142624,1
23,1585,6.678731918,11.47005844,1
23,1601,8.111021996,10.39917278,1
23,1617,1.313026905,3.078784227,1
23,1633,0.7732753754,5.076323032,1
23,1649,0.1736526489,6.995340347,1
23,1665,-0.07758927345,7.227058887,1
23,1681,1.012156725,5.773151398,1
23,1697,-0.1813783646,5.89221096,1
23,1713,0.238150239,4.892562866,1
23,1729,1.448848844,3.373021126,1
23,1745,-1.335437417,5.292856216,1
23,1761,-2.644938946,5.744056702,1
23,1777,-2.186227798,7.249693394,1
23,1793,-6.118240356,1.710649014,1
23,1809,-3.531851768,-2.109856844,1
23,1825,-0.2786250114,2.268105984,1
23,1841,-0.3380680978,1.821527958,1
23,1857,-0.4322953224,0.3717110157,1
23,1873,-0.204815805,-0.1233545542,1
23,1889,0.3346765041,-0.2204622328,1
23,1905,0.2924432755,0.2646673918,1
23,1921,4.62394762,-5.925394058,1
23,1937,0.359300375,0.2937251329,1
23,1953,-0.1658632606,-0.5171271563,1
23,1969,0.7452698946,-1.156303406,1
23,1985,2.809508085,-4.293385506,1
23,2001,2.64718008,-4.970097542,1
23,2017,0.04839333892,-9.366096497,1
23,2033,-13.0565567,2.596549749,1
39,17,-4.640906811,-7.909079075,1
39,33,7.04588747,-2.765764713,1
39,49,-6.292450428,5.880883217,1
39,65,-5.325910568,7.985941887,1
39,81,-5.873352051,4.123810768,1
39,97,-3.7784307,2.312496901,1
39,113,3.260225058,5.862285614,1
39,129,-4.798564911,-0.4832782745,1
39,145,-4.329910755,-1.765714288,1
39,161,-4.406275749,-10.2993803,1
39,177,-4.23621273,-1.024542809,1
39,193,-3.197550774,-3.25247097,1
39,209,-3.009114742,-6.510976791,1
39,225,-3.040753603,-8.232923508,1
39,241,-0.9737291932,-8.268217087,1
39,257,-1.095458746,-5.761610985,1
39,273,0.5116340518,-8.155776978,1
39,289,0.9375711083,-4.378904343,1
39,305,-0.5296681523,-0.5399948359,1
39,321,-0.2379566133,0.9898861647,1
39,337,0.2770283222,1.552026629,1
39,353,0.9300159216,1.03356576,1
39,369,4.85714674,-3.254071236,1
39,385,3.444598198,-0.7688496113,1
39,401,3.273923397,-0.7812148333,1
39,417,-5.672138214,-6.100955963,1
39,433,-4.55069828,-5.07025528,1
39,449,0.6880657673,-1.781060219,1
39,465,0.8273540735,-0.4385555983,1
39,481,-0.05913186073,0.7814640999,1
39,497,0.1709975898,0.9699540138,1
39,513,1.865353823,1.204524994,1
39,529,0.3026957512,0.4989905357,1
39,545,0.871929884,0.8958476782,1
39,561,-0.2072457075,0.8748152256,1
39,577,1.176437497,5.26265049,1
39,593,2.323534012,4.115446568,1
39,609,1.46270299,1.241810203,1
39,625,-2.308717728,0.794410944,1
39,641,-2.535208225,0.275890708,1
