 ,Area,X,Y,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,532.656,142.113,148.387,53.902,1057,1209,144.074,15.245
2,595.921,141.768,128.606,51.118,1051,1209,7.426,18.556
3,564.400,133.110,113.234,44.339,1047,1156,33.845,17.881
4,709.652,165.188,111.259,55.555,1247,1129,18.647,24.370
5,905.536,167.956,141.218,60.229,1188,1248,171.520,30.355
6,675.598,175.103,92.644,46.434,1384,925,11.572,25.437
7,1369.542,143.898,81.690,81.724,1025,1145,64.318,35.953
8,709.652,120.294,88.662,61.217,1024,1142,78.571,17.820
9,582.207,105.772,85.831,51.919,1010,1101,85.693,21.929
10,599.475,94.281,100.693,47.700,736,805,126.506,20.691
11,265.741,92.928,115.057,30.746,767,962,132.287,12.793
12,614.726,69.556,101.131,49.488,527,825,138.460,23.530
13,975.675,69.122,120.346,64.363,374,1011,160.742,21.150
14,563.473,61.533,133.488,51.863,391,1125,163.874,17.537
15,523.553,40.165,137.105,44.394,245,1178,159.133,25.228
16,1335.112,47.968,161.457,78.162,255,1714,37.569,32.240
17,831.044,85.549,155.506,46.342,614,1520,43.958,26.560
18,394.864,110.426,147.434,28.907,991,1229,108.571,18.267
19,654.318,101.526,171.669,56.009,928,1778,88.781,22.151
20,452.135,124.112,177.448,33.069,1088,1477,92.628,20.477
21,222.654,112.445,185.843,32.941,1060,1815,88.304,15.213
22,710.990,132.189,159.448,60.234,1048,1218,124.376,20.187
23,498.296,145.665,195.156,33.761,1258,1664,116.894,19.157
24,421.317,157.774,176.988,38.643,1340,1478,132.274,18.176
25,519.001,172.052,170.226,35.604,1505,1426,122.578,19.912
26,749.127,194.631,173.166,54.970,1584,1452,148.126,28.174
27,913.630,205.487,155.968,43.445,1738,1317,138.841,28.243
28,929.760,193.623,123.725,50.044,1550,1148,6.587,36.312
29,504.431,184.734,71.683,42.038,1547,721,29.141,24.016
30,701.406,206.120,74.335,36.027,1805,840,57.648,26.142
31,2708.678,182.681,41.030,76.159,1351,467,15.677,47.724
32,582.864,134.120,47.899,44.116,1197,236,92.251,22.113
33,990.304,110.560,42.190,50.381,821,243,132.125,39.619
34,624.544,97.501,62.269,36.727,823,766,68.732,28.269
35,568.951,78.390,67.696,40.769,721,819,75.853,22.327
36,621.694,60.574,73.425,40.167,444,574,137.404,23.817
37,752.212,74.875,37.880,38.125,532,240,142.967,29.814
38,764.014,49.946,44.327,39.633,307,320,147.613,28.473
39,1015.713,28.187,58.355,49.325,115,388,135.712,31.334
40,934.500,37.787,89.687,42.583,170,719,166.317,31.849
41,721.606,19.729,114.487,46.258,0,928,153.735,22.647
42,648.710,12.448,92.091,46.418,0,687,135.945,26.295
43,625.272,15.997,136.635,42.961,0,1136,144.026,25.076
44,533.852,14.852,162.383,38.163,0,1587,35.179,22.450
45,282.294,19.169,183.192,24.680,100,1789,60.848,17.995
46,228.378,5.573,184.268,24.317,0,1588,115.880,12.239
47,1009.883,45.850,194.054,50.943,192,1882,9.422,44.274
48,594.889,70.701,180.612,31.278,614,1521,97.962,26.225
49,634.844,91.539,200.562,44.089,800,1631,115.306,23.153
50,390.265,111.745,205.803,36.537,930,1779,138.846,18.889
51,632.146,72.662,210.428,34.162,528,2047,53.639,27.727
52,974.197,150.883,21.446,48.205,1200,237,10.224,31.297
53,1023.995,103.160,15.293,59.539,703,0,154.460,27.788
54,767.240,67.141,12.940,55.306,353,34,155.593,26.838
55,684.501,39.217,18.943,36.166,242,68,148.595,27.351
56,595.698,16.798,27.607,37.170,115,387,68.819,28.760
