 ,Area,X,Y,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,523.529,137.343,111.415,35.604,1192,1206,57.422,20.768
2,352.750,123.607,112.625,35.991,1165,887,92.415,13.677
3,430.104,119.581,162.988,35.023,1064,1652,83.073,16.156
4,410.020,105.620,163.324,37.917,937,1650,69.080,17.564
5,637.707,88.040,188.876,38.461,749,1907,69.217,24.812
6,577.480,85.681,164.790,49.407,615,1557,26.846,18.710
7,786.162,71.350,151.444,66.580,434,1372,4.291,25.034
8,583.768,59.022,184.398,34.761,415,1809,51.452,20.446
9,928.740,42.659,166.627,43.681,222,1473,169.860,31.125
10,901.383,72.427,133.575,66.694,477,1116,160.653,25.462
11,561.655,74.314,112.144,35.710,592,921,129.338,22.343
12,362.451,100.270,133.688,31.478,800,1177,158.821,16.292
13,611.476,101.472,117.523,43.607,811,969,132.886,23.958
14,485.310,115.218,100.418,61.049,1028,681,103.962,20.065
15,1055.012,94.178,80.193,63.550,772,545,116.740,29.514
16,764.049,72.875,88.293,50.334,483,720,152.442,24.902
17,1044.208,45.666,100.504,42.264,473,1116,88.091,36.758
18,888.538,32.556,126.793,42.348,97,1130,154.877,26.431
19,1102.851,55.768,206.810,60.173,195,1883,177.421,30.626
20,544.750,28.980,192.599,32.689,113,1774,173.723,23.697
21,721.970,22.450,146.142,46.418,27,1323,2.943,25.786
22,1122.207,103.096,204.490,55.113,767,2047,58.747,40.726
23,690.942,126.740,193.022,41.916,1183,1963,89.704,24.903
24,598.009,138.048,169.273,53.346,1128,1327,109.943,26.022
25,345.312,138.493,142.216,26.700,1143,1326,176.279,17.453
26,271.959,143.998,156.014,39.082,1144,1327,146.530,13.421
27,452.275,158.544,146.732,43.993,1248,1227,144.823,19.313
28,326.695,155.844,126.817,45.223,1224,1219,11.606,13.496
29,994.902,159.294,195.653,50.226,1419,1564,103.976,31.824
30,296.007,167.326,175.372,27.105,1420,1562,168.241,14.949
31,197.925,169.230,164.917,25.810,1427,1539,177.114,11.449
32,408.988,182.494,189.987,32.498,1635,1905,83.301,18.827
33,490.530,194.583,171.768,29.681,1791,1716,73.681,26.270
34,260.498,151.025,113.983,36.421,1251,1200,52.005,14.652
35,242.080,173.250,115.842,27.658,1465,1098,10.606,13.648
36,1140.589,182.305,143.659,50.405,1455,1227,150.240,35.225
37,156.057,188.450,120.311,20.455,1631,1140,22.083,12.984
38,347.342,192.145,101.343,31.813,1714,1049,55.823,16.508
39,825.824,171.335,93.786,53.881,1452,1096,72.330,26.135
40,245.846,194.242,197.873,29.268,1787,1972,74.987,14.658
41,104.746,206.268,150.430,17.729,1860,1457,48.715,9.841
42,281.907,204.333,136.680,23.437,1795,1179,134.251,19.173
43,258.140,205.854,122.544,23.913,1806,1073,150.416,13.854
44,224.871,204.370,109.831,20.228,1806,1072,46.736,14.838
45,97.695,205.015,95.526,16.858,1847,947,73.195,9.296
46,879.787,191.441,73.163,38.993,1726,853,63.791,32.121
47,707.224,153.366,79.692,46.365,1373,947,88.929,21.507
48,903.213,130.812,78.955,44.955,1039,641,138.321,30.720
49,575.849,105.668,54.856,40.105,884,329,111.715,23.851
50,516.057,71.120,50.917,42.183,659,649,87.204,18.308
51,541.266,85.201,41.789,39.262,681,264,123.865,21.045
52,810.715,52.136,58.996,38.775,307,537,162.274,31.566
53,975.746,27.391,76.366,44.737,78,794,10.603,33.664
54,1391.984,22.768,40.356,49.719,111,588,57.002,40.600
55,661.685,55.026,27.493,35.205,355,203,169.900,27.740
56,670.518,13.158,105.208,37.201,77,797,93.004,28.693
57,397.492,162.973,58.214,35.262,1432,358,106.598,21.095
58,489.075,130.500,54.131,34.951,1073,613,20.120,26.395
59,839.080,108.731,28.755,40.245,952,90,108.679,27.838
60,697.077,138.736,35.920,40.411,1145,208,128.252,23.714
61,592.648,168.423,35.490,39.390,1465,462,64.774,20.881
62,922.358,187.391,38.927,52.703,1620,565,62.856,31.669
63,722.474,207.761,36.701,40.739,1847,154,96.105,23.720
64,1002.469,155.998,13.953,45.774,1428,359,58.153,37.193
65,569.737,123.332,9.564,38.066,953,89,14.669,23.395
66,807.829,82.021,12.685,39.551,593,140,8.663,28.187
67,732.364,29.192,9.549,46.948,50,29,166.797,21.987
68,801.400,12.083,173.551,37.960,7,1756,51.953,27.294
69,414.150,189.904,7.224,37.347,1626,138,23.591,15.705
