PIVlab, ASCII chart output - 23-Oct-2024
FRAME: 60, filenames: A:[60]AVI_Pos004_TimeSrs0004_TgUtrmcherry_K4K8MO.avi & B:[61]AVI_Pos004_TimeSrs0004_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-2.152839899,-0.1283022165,1
47,65,-1.736527443,0.345376879,1
47,97,-1.453728676,1.323182821,1
47,129,-0.9215573072,1.194608212,1
47,161,-1.011504412,1.212984324,1
47,193,-1.232022643,0.437810421,1
47,225,-1.861618042,-1.504303575,1
47,257,-1.763118267,-1.078573942,1
47,289,-2.970331192,-0.7116752267,1
47,321,-2.944603443,0.9132721424,1
47,353,-1.873640418,0.9054514766,1
47,385,-0.6685346365,0.6965588927,1
47,417,-0.263543725,0.8968903422,1
47,449,-0.006705701351,0.4527804852,1
47,481,0.01492244005,0.6326713562,1
47,513,0.04526329041,0.9550378323,1
47,545,0.3625136614,1.785719037,1
47,577,0.5894585848,1.648077488,1
47,609,0.3500018716,0.3816823959,1
47,641,-0.04876708984,0.8620646,1
47,673,-0.1742831469,-0.7473330498,1
47,705,-0.6208207607,-1.318108678,1
47,737,-2.721469164,0.644308567,1
47,769,-3.554903984,-0.5642850399,1
47,801,-2.786467552,0.07500874996,1
47,833,-0.8466155529,1.106438637,1
47,865,1.061368585,0.756080389,1
47,897,1.910268784,0.6113407016,1
47,929,0.9692065716,0.295709312,1
47,961,-1.178768873,0.439617157,1
47,993,-2.59901309,0.4015883207,1
47,1025,-3.050499916,-0.5285954475,1
47,1057,-2.220350504,1.839792728,1
47,1089,-1.41353631,2.761140823,1
47,1121,-1.158195734,2.775806904,1
47,1153,-0.9054794312,2.069298744,1
47,1185,-0.6522638798,1.239179611,1
47,1217,-0.6242023706,0.8652800322,1
47,1249,-0.6588791609,-1.345573664,1
47,1281,-0.03276132792,-0.4727376103,1
47,1313,0.2224485874,0.7829182148,1
47,1345,-0.9315156937,1.628839254,1
47,1377,-0.3998762369,1.915027142,1
47,1409,0.1786901802,0.7646141052,1
47,1441,-0.3402810693,0.2283694744,1
47,1473,-1.174908161,0.2915534377,1
47,1505,-1.533088684,-0.3353286386,1
47,1537,-0.7481321096,2.31988883,1
47,1569,0.1933535337,2.001761198,1
47,1601,0.4810007811,1.109678268,1
47,1633,-0.1475854516,0.829859972,1
47,1665,-1.060522318,0.2375445366,1
47,1697,-1.061082959,0.7987526655,1
47,1729,0.5128320456,0.6806244254,1
47,1761,1.298012376,-0.06322669983,1
47,1793,0.6243630648,0.2906033993,1
47,1825,1.240155578,-0.9843021631,1
47,1857,1.434530497,-1.802282214,1
47,1889,0.02364888787,0.5115756392,1
47,1921,0.4181239009,1.149300098,1
47,1953,0.3736926317,-0.1197450757,1
47,1985,-0.4740553498,-0.005280513316,1
47,2017,-1.548881531,-0.4463123679,1
79,33,-1.083183765,0.1332532167,1
79,65,-0.2266924381,0.1367796659,1
79,97,0.5615048409,0.575658679,1
79,129,-0.4338594675,0.5115141869,1
79,161,-1.08496964,0.6029852629,1
79,193,-1.219604015,-0.1843580455,1
79,225,-0.9298957586,-0.7246955633,1
79,257,-1.084324837,-0.6993337274,1
79,289,-1.828476191,-0.3919481635,1
79,321,-2.65093708,1.174054503,1
79,353,-2.033107996,1.027820945,1
79,385,-4.006929874,1.981048346,1
79,417,-4.350394726,2.384364367,1
79,449,-1.709898233,0.7391364574,1
79,481,-1.070809841,0.6605830193,1
79,513,-0.9421904087,1.849607229,1
79,545,-1.628603578,2.267001867,1
79,577,-0.6549502015,2.039766312,1
79,609,0.04813867807,0.8107354641,1
79,641,0.006499186158,1.638700962,1
79,673,0.0773704946,0.6012019515,1
79,705,-0.01088345051,0.04018837214,1
79,737,-0.9441109896,2.409724236,1
79,769,-0.3734858036,2.820754766,1
79,801,-1.243749022,2.649929047,1
79,833,-1.124617338,1.264885068,1
79,865,-0.302036047,0.5043720007,1
79,897,0.5732235909,0.452750802,1
79,929,0.5420635939,0.573697567,1
79,961,-0.704641819,0.9124532938,1
79,993,NaN,NaN,2
79,1025,-1.75033164,-0.02726972103,1
79,1057,-1.59363389,1.374301076,1
79,1089,-1.506701827,1.173365355,1
79,1121,-1.094061852,1.664235234,1
79,1153,0.03559833765,2.3855896,1
79,1185,-0.04596048594,1.921079159,1
79,1217,-0.5680828094,1.23860991,1
79,1249,-0.3092630804,-0.09844005108,1
79,1281,0.5019669533,0.3807782531,1
79,1313,0.3812696338,0.9927054644,1
79,1345,0.2465242743,1.348471403,1
79,1377,0.289686352,1.256072044,1
79,1409,-0.01414715312,0.9458385706,1
79,1441,-0.3169469237,1.278165579,1
79,1473,-1.054955721,1.080042601,1
79,1505,-1.41567862,0.601580143,1
79,1537,-0.8861538768,0.3308960199,1
79,1569,-0.6128941178,-0.299156785,1
79,1601,-0.3819178343,0.3379552364,1
79,1633,-0.3886582851,0.3793440759,1
79,1665,-0.462074697,0.2850061655,1
79,1697,-0.3347154558,0.7948907018,1
79,1729,1.386449099,0.5200660229,1
79,1761,1.174715281,-0.1057872772,1
79,1793,0.1015925407,0.4948240519,1
79,1825,-0.0945070982,0.4927718043,1
79,1857,0.3106103539,-0.6625549793,1
79,1889,0.1606482416,0.4737018943,1
79,1921,0.5909905434,0.4068408906,1
79,1953,0.8235933185,-0.6210913062,1
79,1985,0.3195636868,-0.02691491693,1
79,2017,-0.4794113636,0.1389210224,1
111,33,-0.4425524473,0.1451568604,1
111,65,-0.078551054,0.07919951528,1
111,97,-0.2650188208,-0.3062105477,1
111,129,-0.5299091339,0.3166339397,1
111,161,-0.789355278,0.6567496061,1
111,193,-1.492903113,-0.09559220076,1
111,225,-1.426203012,-0.5302729607,1
