 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,Skew,%Area,AR,Round,Solidity
1,12087.484,243.902,75.332,112.147,445.171,150.402,102.328,12.364,0.766,3.496,100,1.470,0.680,0.936
2,10818.429,245.508,72.087,110.838,399.680,135.963,101.310,11.029,0.851,3.412,100,1.342,0.745,0.958
3,9642.459,248.242,70.631,104.615,362.288,122.934,99.868,6.418,0.923,3.269,100,1.231,0.812,0.980
4,8613.244,250.084,70.072,99.599,341.994,113.506,96.618,12.003,0.925,3.160,100,1.175,0.851,0.985
5,8278.208,250.167,67.963,99.033,330.411,109.896,95.910,26.814,0.953,3.133,100,1.146,0.873,0.997
6,6532.993,258.352,68.847,99.493,293.442,100.128,83.075,37.133,0.953,2.806,100,1.205,0.830,0.996
7,5263.798,266.377,71.347,102.213,264.731,93.888,71.384,33.519,0.944,2.542,100,1.315,0.760,0.999
8,4306.763,275.789,74.127,102.755,247.033,88.395,62.035,35.601,0.887,2.288,100,1.425,0.702,0.985
9,3501.022,271.704,76.378,103.939,224.966,81.321,54.815,37.035,0.869,2.302,100,1.484,0.674,0.983
10,2875.680,272.645,75.796,103.469,201.041,74.664,49.039,38.586,0.894,2.209,100,1.523,0.657,0.991
11,2396.282,275.018,74.974,102.799,184.939,67.820,44.987,38.763,0.880,2.146,100,1.508,0.663,0.985
12,2042.946,273.160,74.799,102.083,170.215,63.484,40.974,32.865,0.886,2.150,100,1.549,0.645,0.994
13,1625.136,258.410,73.527,101.169,151.763,55.538,37.257,31.407,0.887,1.912,100,1.491,0.671,0.983
14,1313.609,219.959,72.493,100.446,138.597,51.614,32.405,29.025,0.859,2.323,100,1.593,0.628,0.980
15,1030.130,175.703,71.251,99.605,121.131,44.432,29.520,31.420,0.882,4.932,100,1.505,0.664,0.996
