 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,%Area,AR,Round,Solidity
1,6744.326,172.458,93.597,102.593,379.399,133.725,64.215,40.539,0.589,100,2.082,0.480,0.854
2,4425.632,174.356,91.666,103.993,297.735,107.970,52.190,40.966,0.627,100,2.069,0.483,0.868
3,3719.757,175.555,91.423,102.926,279.675,98.415,48.124,40.289,0.598,100,2.045,0.489,0.864
4,3082.262,176.933,93.014,103.236,256.703,92.812,42.284,42.267,0.588,100,2.195,0.456,0.858
5,2437.529,180.131,95.180,103.522,234.249,86.975,35.683,43.391,0.558,100,2.437,0.410,0.839
6,1942.177,183.502,97.984,103.314,216.340,79.961,30.926,44.556,0.521,100,2.586,0.387,0.801
7,1577.016,186.916,98.497,102.586,199.256,74.608,26.913,43.771,0.499,100,2.772,0.361,0.803
8,1441.629,190.466,99.955,101.845,191.840,72.386,25.358,45.436,0.492,100,2.855,0.350,0.802
9,1378.528,192.486,100.869,101.205,186.954,71.758,24.460,46.015,0.496,100,2.934,0.341,0.806
10,1024.230,202.477,99.929,102.919,162.312,60.849,21.432,44.456,0.489,100,2.839,0.352,0.758
11,906.779,207.664,99.953,102.456,150.520,55.144,20.937,44.099,0.503,100,2.634,0.380,0.753
12,798.667,211.717,100.275,102.491,144.039,50.873,19.989,45.690,0.484,100,2.545,0.393,0.739
13,722.510,218.463,100.115,103.110,131.097,44.388,20.725,46.210,0.528,100,2.142,0.467,0.776
14,664.183,221.818,99.363,104.295,122.880,40.869,20.692,48.387,0.553,100,1.975,0.506,0.816
15,429.236,228.745,100.225,102.933,101.542,35.258,15.501,47.207,0.523,100,2.275,0.440,0.802
