PIVlab, ASCII chart output - 24-Oct-2024
FRAME: 13, filenames: A:[13]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi & B:[14]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
95,65,-13.0998497,-1.44229126,1
95,129,-6.610308647,-0.2334871292,1
95,193,-4.472795963,2.336793184,1
95,257,-4.061718941,2.206309795,1
95,321,-4.72765398,2.328964949,1
95,385,-6.031215668,2.830304623,1
95,449,-5.775932312,3.035824776,1
95,513,-3.245915174,4.125949383,1
95,577,0.9497616291,4.54791069,1
95,641,2.505153418,7.515311241,1
95,705,1.071816444,8.219771385,1
95,769,-1.509535074,7.934671402,1
95,833,0.1352822781,5.521360397,1
95,897,3.123962641,2.998831749,1
95,961,2.966192722,2.544385195,1
95,1025,0.5864377022,4.598736286,1
95,1089,0.6604161263,4.537520409,1
95,1153,-0.1163418293,3.922029495,1
95,1217,1.503636599,4.432357788,1
95,1281,2.267632723,3.660442829,1
95,1345,1.871725321,2.038777828,1
95,1409,1.845172286,1.240435362,1
95,1473,1.770140171,0.01288604736,1
95,1537,0.7033314705,-0.8677825928,1
95,1601,-0.05672693253,2.004162788,1
95,1665,-1.339844465,3.117703915,1
95,1729,0.7243585587,0.8903082609,1
95,1793,1.261557579,-0.8549407125,1
95,1857,1.272782326,-1.375379801,1
95,1921,2.365507126,-1.03753984,1
95,1985,4.449375153,0.2019930482,1
159,65,-10.86374092,-1.565003395,1
159,129,-7.720150948,-0.5115470886,1
159,193,-7.793793678,0.1048287749,1
159,257,-6.273364544,-1.210920095,1
159,321,-5.794367313,-1.492557526,1
159,385,-8.882395744,-9.405808449,1
159,449,-6.365636826,-0.5192005634,1
159,513,-4.540346146,3.443312407,1
159,577,-3.149841785,3.871461868,1
159,641,-1.403235197,4.332037926,1
159,705,-1.172918081,5.091875076,1
159,769,-1.450692654,5.111794949,1
159,833,0.1049358696,4.903606415,1
159,897,1.542226553,4.305410385,1
159,961,0.8143277168,4.206497192,1
159,1025,0.6199501753,3.528864622,1
159,1089,2.019602299,3.137654781,1
159,1153,2.260251045,2.914944172,1
159,1217,2.910102367,2.83996129,1
159,1281,3.606764555,2.514178991,1
159,1345,3.178761005,2.303249836,1
159,1409,2.041131496,1.129094481,1
159,1473,1.605561972,0.9064788818,1
159,1537,1.475662231,0.5893862247,1
159,1601,1.432805777,2.297887564,1
159,1665,1.249380708,2.492324352,1
159,1729,1.354578257,-0.08249482512,1
159,1793,1.605573773,-0.4466943145,1
159,1857,1.868770599,-0.8138532043,1
159,1921,2.023946285,-0.8299239874,1
159,1985,2.344691753,-0.5593540668,1
223,65,-8.149270058,-1.28780365,1
223,129,-7.643407822,-1.751794338,1
223,193,-7.70774889,-1.643239975,1
223,257,-8.809329033,-3.198467731,1
223,321,-6.098854065,-3.048537731,1
223,385,-6.592391491,-9.793161392,1
223,449,-6.646366596,-1.283984661,1
223,513,-4.398646355,2.912346363,1
223,577,-3.890170336,3.388943672,1
223,641,-3.331151485,3.013002872,1
223,705,-4.476557732,1.258932352,1
