 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,Skew,%Area,AR,Round,Solidity
1,5275.376,174.002,109.967,93.070,341.954,136.099,49.352,32.019,0.567,3.308,100,2.758,0.363,0.842
2,3521.680,172.371,115.222,90.372,283.778,116.354,38.537,32.279,0.550,3.374,100,3.019,0.331,0.866
3,3003.923,172.605,114.947,89.019,267.254,112.305,34.056,33.191,0.529,3.330,100,3.298,0.303,0.882
4,2229.679,171.210,114.195,89.126,234.218,102.396,27.725,33.552,0.511,3.443,100,3.693,0.271,0.882
5,1769.779,172.814,116.477,88.128,212.025,93.421,24.120,33.755,0.495,3.274,100,3.873,0.258,0.840
6,1342.115,177.934,119.493,86.631,189.756,83.349,20.502,33.660,0.468,2.880,100,4.065,0.246,0.778
7,1082.075,182.296,121.575,85.634,169.640,75.081,18.350,34.388,0.473,2.604,100,4.092,0.244,0.849
8,877.147,187.227,120.525,86.562,151.643,66.717,16.740,33.366,0.479,2.341,100,3.986,0.251,0.824
9,799.406,192.408,122.056,86.059,137.888,57.726,17.632,32.081,0.528,2.162,100,3.274,0.305,0.895
10,673.943,196.961,122.134,85.861,125.998,54.406,15.772,34.992,0.533,2.017,100,3.450,0.290,0.892
11,753.972,192.621,120.834,86.404,132.050,56.807,16.899,34.003,0.543,2.109,100,3.362,0.297,0.924
12,538.287,206.420,122.889,86.563,110.255,40.936,16.742,28.505,0.556,1.800,100,2.445,0.409,0.831
13,358.627,221.408,122.704,86.364,93.036,36.640,12.462,26.843,0.521,1.351,100,2.940,0.340,0.801
14,286.364,231.605,122.174,86.306,81.658,31.797,11.467,27.029,0.540,1.113,100,2.773,0.361,0.811
15,201.186,248.188,121.680,87.078,73.374,30.176,8.489,27.373,0.470,0.822,100,3.555,0.281,0.767
