 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,Skew,%Area,AR,Round,Solidity
1,3945.226,227.267,105.438,137.987,309.505,128.286,39.156,31.519,0.518,2.758,100,3.276,0.305,0.831
2,2440.274,235.730,103.982,138.724,241.541,105.560,29.434,31.301,0.526,2.419,100,3.586,0.279,0.865
3,1867.791,241.862,103.680,139.698,214.936,94.136,25.263,32.048,0.508,2.224,100,3.726,0.268,0.865
4,1748.241,243.402,103.730,139.769,207.027,90.583,24.573,32.414,0.513,2.186,100,3.686,0.271,0.842
5,1433.687,248.897,104.982,138.973,195.424,83.963,21.741,31.672,0.472,2.045,100,3.862,0.259,0.815
6,1179.630,254.243,103.578,139.634,173.165,78.418,19.153,32.236,0.494,1.917,100,4.094,0.244,0.842
7,885.593,265.087,101.900,140.315,147.278,68.970,16.349,30.636,0.513,1.697,100,4.219,0.237,0.924
8,740.106,274.119,101.905,140.107,132.205,60.111,15.676,31.031,0.532,1.591,100,3.835,0.261,0.941
9,588.425,282.121,100.696,140.857,120.465,54.880,13.652,30.312,0.510,1.560,100,4.020,0.249,0.895
10,221.539,270.220,101.177,139.860,94.879,44.083,6.399,29.386,0.309,0.974,100,6.889,0.145,0.876
11,169.735,273.427,103.133,139.306,95.236,38.639,5.593,30.431,0.235,0.962,100,6.908,0.145,0.726
12,102.482,281.823,102.372,140.102,89.178,38.535,3.386,28.543,0.162,0.828,100,11.380,0.088,0.656
13,94.247,286.711,102.940,139.931,88.604,38.761,3.096,28.921,0.151,0.726,100,12.521,0.080,0.689
14,65.916,264.267,98.605,142.383,79.281,34.602,2.425,28.212,0.132,1.189,100,14.266,0.070,0.672
15,54.162,248.853,95.920,142.952,78.521,36.411,1.894,29.365,0.110,0.988,100,19.225,0.052,0.728
