 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,Skew,%Area,AR,Round,Solidity
1,3871.532,303.932,109.019,129.381,362.479,107.596,45.814,36.856,0.370,3.391,100,2.349,0.426,0.703
2,2730.615,312.359,108.608,130.107,308.836,95.408,36.441,38.842,0.360,2.999,100,2.618,0.382,0.682
3,2116.640,322.480,108.588,130.242,273.996,83.537,32.261,34.949,0.354,2.692,100,2.589,0.386,0.659
4,1962.390,323.803,109.657,131.059,257.941,82.487,30.291,33.597,0.371,2.637,100,2.723,0.367,0.665
5,1624.116,323.162,111.342,130.361,227.274,80.610,25.653,33.797,0.395,2.746,100,3.142,0.318,0.658
6,1315.228,329.987,112.041,130.872,208.642,74.335,22.528,34.103,0.380,2.558,100,3.300,0.303,0.647
7,1120.154,338.373,112.836,131.816,189.156,68.477,20.828,36.155,0.393,2.346,100,3.288,0.304,0.654
8,793.740,353.728,112.287,131.901,164.593,60.325,16.753,37.371,0.368,2.106,100,3.601,0.278,0.654
9,562.488,380.021,111.355,133.025,148.107,52.053,13.759,36.554,0.322,1.749,100,3.783,0.264,0.613
10,510.402,387.192,113.281,132.188,141.854,50.603,12.843,39.029,0.319,1.663,100,3.940,0.254,0.613
11,318.531,370.526,111.773,133.001,117.666,42.448,9.555,36.983,0.289,1.832,100,4.443,0.225,0.562
12,292.312,358.653,110.956,133.230,119.246,40.187,9.261,38.045,0.258,2.075,100,4.339,0.230,0.536
13,246.104,333.204,110.167,134.417,109.531,37.332,8.394,37.619,0.258,1.860,100,4.448,0.225,0.534
14,219.392,313.690,110.318,134.028,100.920,36.623,7.627,35.924,0.271,1.865,100,4.801,0.208,0.540
15,177.407,289.022,109.252,134.892,98.221,32.991,6.847,37.521,0.231,2.207,100,4.818,0.208,0.502
