 ,Area,X,Y,XM,YM,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,835.127,182.623,45.189,182.620,45.199,37.918,1505,455,10.700,27.232
2,1185.331,55.941,71.864,56.007,71.948,61.327,426,443,119.870,31.911
3,724.070,116.179,68.256,116.003,68.432,75.362,743,930,40.512,20.856
4,651.526,189.863,67.655,189.851,67.659,37.875,1622,750,50.803,23.409
5,790.103,10.545,75.612,10.587,75.650,44.698,63,486,96.540,24.045
6,333.077,103.635,104.210,103.529,104.221,35.221,766,978,12.070,15.922
7,642.540,193.036,112.360,193.011,112.357,37.113,1611,957,149.094,24.035
8,567.591,107.479,172.772,107.492,172.760,33.296,999,1445,92.983,22.122
9,1254.684,25.931,125.815,26.094,125.765,65.775,7,1230,15.570,38.288
10,373.819,62.964,97.715,62.966,97.733,29.473,449,831,155.695,17.166
11,1082.720,36.713,101.702,36.861,101.749,57.287,109,882,163.072,27.408
12,1022.670,45.175,141.565,45.417,141.339,62.430,286,1532,53.110,23.233
13,990.433,77.029,151.625,76.994,151.322,54.374,678,1122,95.143,24.774
14,988.990,42.379,176.524,42.418,176.479,50.736,287,1839,65.131,30.001
15,1119.919,123.880,156.642,123.777,156.554,76.134,823,1137,135.807,30.397
16,755.016,93.189,140.787,93.133,140.693,49.469,731,1076,125.465,21.237
17,1075.107,146.918,104.268,146.829,104.280,63.661,1045,1033,5.565,32.838
18,567.028,99.361,118.506,99.150,118.432,41.580,748,998,145.399,19.239
19,777.868,90.889,74.119,90.821,74.307,49.413,737,920,75.659,21.323
20,1196.358,145.898,139.160,145.817,139.144,79.361,890,1176,168.107,40.606
21,549.384,127.780,121.286,127.769,121.281,34.811,1030,1039,166.872,22.203
22,702.825,173.648,123.412,173.659,123.419,39.527,1456,1082,160.969,26.995
23,482.905,105.604,90.413,105.424,90.528,58.668,751,948,34.013,19.371
24,738.346,135.521,85.297,135.499,85.306,41.735,1093,902,16.742,27.274
25,812.650,74.609,56.544,74.596,56.591,59.169,710,869,88.112,30.023
26,710.286,59.348,34.477,59.315,34.505,47.081,374,488,55.213,23.229
27,450.211,132.579,17.067,132.590,17.059,28.572,1105,225,12.034,22.968
28,1138.313,155.618,65.892,155.613,65.900,48.004,1269,481,142.794,34.603
29,858.401,187.050,90.131,187.047,90.130,51.611,1460,788,156.501,29.787
30,893.723,160.679,29.010,160.686,29.006,52.087,1341,452,59.649,31.385
31,517.675,183.102,15.933,183.119,15.906,32.953,1585,38,127.925,22.244
32,545.794,90.686,32.905,90.695,32.904,35.493,828,479,76.769,25.089
33,579.744,107.748,44.348,107.750,44.349,38.398,830,482,38.357,23.688
34,717.395,132.910,38.853,132.923,38.857,45.303,1080,499,47.422,27.583
35,1188.276,27.844,57.806,27.890,57.923,63.754,136,326,121.665,36.134
36,807.407,25.458,21.030,25.498,21.035,39.334,99,121,147.710,30.910
37,534.885,67.879,191.217,67.870,191.173,31.872,637,1911,77.239,24.563
38,865.885,90.549,190.044,90.562,190.015,47.741,649,1913,61.400,34.957
39,493.087,62.334,158.343,62.346,158.174,63.440,517,1705,76.272,21.176
