PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 41, filenames: A:[41]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi & B:[42]MAX_Pos00d_TimeSrs000_TgUtrmcherry_K4K8MO-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,1.165137768,-0.1798353195,1
47,65,-0.2268723249,-0.4540627897,1
47,97,0.3364269733,0.1574374437,1
47,129,1.084748983,0.08124536276,1
47,161,1.761765003,-0.9993082285,1
47,193,3.862244129,-3.254885197,1
47,225,4.042176723,-3.220303535,1
47,257,3.260575294,-2.477000475,1
47,289,4.093387127,-1.178212166,1
47,321,0.9036054611,-0.5011764765,1
47,353,-1.943920374,2.800283194,1
47,385,-0.1908402443,0.4230463505,1
47,417,-0.6162495613,-3.534527063,1
47,449,-0.7270611525,-6.579449177,1
47,481,1.368061066,-4.739468098,1
47,513,0.9715251923,-3.918886662,1
47,545,0.7790044546,-2.268780708,1
47,577,7.684189796,-16.32267952,1
47,609,2.405776024,-1.185914993,1
47,641,3.30039382,-2.300770521,1
47,673,3.859905243,-2.394338608,1
47,705,2.838259697,-2.646804571,1
47,737,2.256409168,-2.985185146,1
47,769,2.442440987,-0.02014863491,1
47,801,1.148141623,0.8300821781,1
47,833,0.4284929037,-0.657204926,1
47,865,-0.7847984433,-3.354663372,1
47,897,-0.904753685,-3.514032364,1
47,929,0.8150491118,-0.632805109,1
47,961,0.06871259212,-1.739912033,1
47,993,-0.2373026609,-2.628164291,1
47,1025,0.3370740414,-2.572812557,1
47,1057,1.169337392,-3.129437923,1
47,1089,0.5311890841,-6.111868382,1
47,1121,-1.522876263,-4.514828682,1
47,1153,-2.070003033,-2.843618631,1
47,1185,-0.6373989582,-2.878368378,1
47,1217,-0.1892522573,-1.384915113,1
47,1249,-1.045190573,-0.7488571405,1
47,1281,-2.579844236,-1.278436184,1
47,1313,-4.620490074,-2.023241758,1
47,1345,-5.411640167,-1.744767666,1
47,1377,-4.625110626,-2.03824234,1
47,1409,-4.154899597,-2.161534309,1
47,1441,-3.987542152,-0.7263455391,1
47,1473,-3.847197533,-0.2966673374,1
47,1505,-3.070913792,-1.309732914,1
47,1537,-2.570119858,-1.342534304,1
47,1569,-1.578077316,-0.5535612106,1
47,1601,-4.123077393,-0.8864533901,1
47,1633,-5.384100437,-2.431825638,1
47,1665,-4.637248516,-2.737808228,1
47,1697,-0.2840800285,-1.583181381,1
47,1729,0.7570037842,-0.1089217663,1
47,1761,0.4035973549,0.2460207939,1
47,1793,-0.6313997507,-0.2560511827,1
47,1825,-0.5117208958,-0.4312934875,1
47,1857,-0.02680325508,-0.252022028,1
47,1889,0.3806924224,-0.4726188183,1
47,1921,0.6644194126,-0.380888164,1
47,1953,0.7321955562,-0.07645542175,1
47,1985,0.4637921453,-0.1002009809,1
47,2017,-0.8270974159,-1.960710049,1
79,33,3.351910591,0.4530825615,1
79,65,0.3616661429,0.2861990929,1
79,97,0.7619956732,-0.09246489406,1
79,129,1.141436815,-0.589728415,1
79,161,1.913195848,-0.9163346291,1
79,193,2.7581563,-3.687441587,1
79,225,2.519492149,-3.142261982,1
79,257,0.9649859667,-1.98126936,1
79,289,0.3018663228,-2.035601139,1
79,321,0.02483186126,-1.305372953,1
79,353,-1.303876638,0.8527979851,1
79,385,-1.409151554,0.5001645088,1
79,417,-0.743907094,-4.112247467,1
79,449,-0.7660662532,-6.114923,1
79,481,-0.9037402272,-5.544350147,1
79,513,-0.8915802836,-3.195659399,1
79,545,0.5305421352,-1.533777833,1
79,577,2.408370733,-0.6059935093,1
79,609,2.555907249,-1.80045259,1
79,641,2.94564867,-3.133248806,1
79,673,4.220680237,-2.589370012,1
79,705,2.831245422,-2.749176502,1
79,737,2.383658886,-2.215579987,1
79,769,2.8080616,-0.814904213,1
79,801,2.11729908,-0.03892397881,1
