 ,Area,X,Y,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,378.675,16.055,10.861,25.142,38,117,170.578,20.214
2,285.097,35.406,7.522,25.251,229,48,5.662,18.629
3,675.773,54.286,13.855,39.413,321,172,15.297,21.969
4,483.726,136.130,12.577,30.978,1164,13,127.471,20.812
5,436.427,154.908,11.664,29.832,1339,240,55.502,23.188
6,986.022,97.178,18.338,50.195,669,139,7.938,37.058
7,624.943,120.277,31.318,43.733,1121,460,86.450,21.415
8,1443.541,185.322,39.685,58.442,1728,618,81.044,44.356
9,838.306,20.765,32.004,40.546,56,184,132.727,33.752
10,726.733,157.355,35.895,40.654,1370,483,61.865,25.768
11,500.924,137.023,43.675,43.581,1280,638,82.575,24.196
12,295.268,40.248,40.429,22.936,352,474,85.124,17.652
13,324.877,7.314,48.133,26.681,5,559,86.975,18.196
14,692.596,205.522,63.034,37.777,1907,762,82.753,26.887
15,645.860,153.545,65.114,35.316,1386,769,64.378,23.197
16,1488.647,177.222,84.635,56.430,1386,770,0.220,40.814
17,648.628,134.711,92.565,47.688,1188,1084,78.205,22.655
18,587.604,150.946,101.804,36.707,1222,1063,38.290,26.388
19,395.368,116.870,112.020,31.361,963,931,128.691,17.195
20,229.774,152.507,117.160,36.069,1204,1076,4.478,12.297
21,619.641,211.209,132.956,49.748,1826,1464,67.063,27.727
22,283.314,105.484,129.561,24.185,898,1273,30.700,15.711
23,496.231,139.807,140.090,42.204,1148,1152,141.042,14.841
24,451.313,196.457,138.850,30.889,1788,1151,95.231,20.576
25,428.379,43.885,136.403,33.497,244,1235,5.194,21.265
26,642.211,71.584,141.131,44.690,484,1392,13.026,21.949
27,369.044,133.271,152.330,36.262,1124,1219,142.891,21.192
28,447.595,32.107,147.256,36.650,166,1292,161.030,21.015
29,538.791,15.082,160.811,34.701,81,1629,76.094,22.485
30,1154.502,168.330,176.804,52.384,1452,1397,109.821,39.634
31,453.577,43.056,164.285,28.125,298,1581,42.971,21.423
32,612.649,146.495,177.104,46.182,1326,1835,77.952,18.762
33,682.425,25.095,181.802,37.651,91,1792,59.008,32.625
34,426.690,69.774,190.987,33.300,506,1852,24.398,19.368
35,1029.990,197.046,197.047,44.309,1627,1772,158.641,29.745
36,959.792,73.289,206.988,52.680,451,1970,22.611,29.172
37,346.216,95.015,211.600,34.076,730,2047,52.620,19.815
38,712.796,116.926,207.384,44.916,948,2047,34.686,27.657
39,519.259,129.526,175.006,47.631,1039,1452,125.280,17.844
40,405.035,115.537,146.215,26.460,1088,1223,99.424,19.712
41,439.313,97.282,113.670,33.523,772,991,154.346,21.787
42,661.931,78.684,122.198,47.249,604,967,131.841,24.544
43,1197.273,70.688,84.697,50.784,428,692,135.951,44.190
44,459.795,127.713,65.351,31.160,1137,465,93.986,20.517
45,505.991,92.422,92.426,33.159,775,984,72.512,23.590
46,809.061,103.685,57.169,43.378,769,459,146.508,32.064
47,712.843,112.229,85.617,46.828,873,672,131.061,26.822
48,457.871,144.408,127.398,37.661,1183,1090,138.148,17.920
49,383.203,177.879,120.760,31.527,1507,1123,178.622,15.837
50,446.304,180.900,158.309,42.578,1454,1369,160.689,16.611
51,761.867,196.433,107.486,47.771,1564,1033,179.091,28.396
52,1032.477,46.072,115.205,44.270,255,1188,31.901,31.053
53,449.214,10.214,69.635,31.541,168,484,92.165,19.712
54,355.378,29.724,58.844,28.718,169,484,146.070,18.341
55,565.937,51.846,59.922,35.466,311,452,150.147,26.385
56,381.456,30.484,74.665,28.731,182,600,154.787,18.669
57,681.475,37.854,92.076,42.660,179,776,158.712,26.326
58,113.790,72.388,169.921,15.714,671,1644,88.025,10.181
59,841.004,112.446,180.327,49.568,968,1410,124.315,31.021
60,992.228,90.712,167.273,49.839,886,1318,91.494,31.367
61,776.824,54.615,181.240,51.375,438,1891,82.246,27.065
62,294.623,71.069,154.411,37.364,500,1418,11.538,12.068
63,374.828,76.092,59.645,24.284,602,505,161.807,19.712
64,776.402,62.941,36.187,44.419,401,273,152.873,31.663
65,537.688,84.754,35.180,36.514,674,166,139.933,21.025
66,524.937,174.731,142.236,39.640,1451,1324,163.001,25.067
67,185.689,166.859,130.902,36.757,1450,1340,29.284,17.512
68,578.653,11.884,95.582,42.396,0,721,124.908,23.540
69,640.862,13.469,121.679,38.170,28,955,127.390,25.441
