 ,Area,X,Y,Major,Minor,Angle
1,835.127,182.623,45.189,37.835,28.104,17.937
2,1185.331,55.941,71.864,49.608,30.423,124.629
3,724.070,116.179,68.256,52.593,17.529,40.892
4,651.526,189.863,67.655,36.103,22.978,28.077
5,790.103,10.545,75.612,42.607,23.611,89.895
6,333.077,103.635,104.210,33.145,12.795,3.395
7,642.540,193.036,112.360,34.937,23.417,136.922
8,567.591,107.479,172.772,32.362,22.331,114.724
9,1254.684,25.931,125.815,51.979,30.734,14.881
10,373.819,62.964,97.715,28.013,16.991,146.413
11,1082.720,36.713,101.702,52.214,26.402,162.649
12,1022.670,45.175,141.565,58.684,22.188,46.453
13,990.433,77.029,151.625,54.253,23.244,102.408
14,988.990,42.379,176.524,44.955,28.011,58.329
15,1119.919,123.880,156.642,57.362,24.858,130.459
16,755.016,93.189,140.787,47.690,20.158,118.493
17,1075.107,146.918,104.268,53.461,25.605,4.130
18,567.028,99.361,118.506,38.883,18.568,155.925
19,777.868,90.889,74.119,47.936,20.661,66.654
20,1196.358,145.898,139.160,48.945,31.122,175.505
21,549.384,127.780,121.286,31.129,22.471,179.246
22,702.825,173.648,123.412,32.676,27.386,142.589
23,482.905,105.604,90.413,44.271,13.888,30.609
24,738.346,135.521,85.297,37.523,25.053,10.945
25,812.650,74.609,56.544,43.084,24.016,98.222
26,710.286,59.348,34.477,43.879,20.610,35.290
27,450.211,132.579,17.067,26.894,21.314,22.532
28,1138.313,155.618,65.892,44.895,32.283,150.289
29,858.401,187.050,90.131,46.794,23.356,2.017
30,893.723,160.679,29.010,42.799,26.588,62.507
31,517.675,183.102,15.933,30.741,21.441,102.322
32,545.794,90.686,32.905,29.214,23.787,78.590
33,579.744,107.748,44.348,33.145,22.271,60.527
34,717.395,132.910,38.853,35.102,26.022,39.987
35,1188.276,27.844,57.806,55.863,27.083,103.522
36,807.407,25.458,21.030,34.063,30.180,118.764
37,534.885,67.879,191.217,28.491,23.903,89.321
38,865.885,90.549,190.044,36.513,30.195,86.731
39,493.087,62.334,158.343,48.905,12.837,92.104
