LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(sec),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID3202,3202,0,51470.0,916.2007166891746,157.21571761215878,0.0,0.0,0,127.98961218637828,1,,24.97915128434306,25.0,0.0,25.0,1285577.0,0.6724893299708694,0.41528076435738187,21.798242872874958,-2.0509064527648495,1.8435534707831909,138.81632399379689,125.31998051422752,3.1300624902459853,1.1076950652576676,51463.5,912.0116107087293,0.7775144129195164,0.9761665402124431,4.020228220452713
ID3091,3091,0,49913.0,870.5808551271906,204.9696822487321,0.0,1.0,1,126.05376651836137,1,,1.0044453344012816,1.0,0.0,6.0,50162.0,0.1465826600121689,-0.47261291853522436,-12.281454516494103,-0.031067362652144024,3.707387754959899,135.2119226784432,123.86290590618525,1.264578266368273,1.0916256298786804,49918.50000000002,893.5905156360635,0.785587002624875,0.9796873620065359,3.999519211554054
ID3142,3142,0,57157.0,848.9519799713627,264.48175026027315,0.0,3.0,3,134.8773052082259,1,,1.0185275901886,1.0,0.0,31.0,58217.0,0.7438697367442653,-0.8336955454459178,-13.728070532817128,-2.380955309369105,1.479918834324961,157.61894032054715,121.4641744082251,-1.1394596507565937,1.2976578574585345,57151.500000000015,951.493555645821,0.7932787029480151,0.9780019508188307,3.9800821352371587
ID3111,3111,0,54122.0,844.7150809856878,280.5684474586294,0.0,5.0,5,131.2447345073042,1,,1.0004805293215295,1.0,0.0,3.0,54133.0,0.051586930914710415,-0.6845937233395464,-84.19019727944243,-0.5141507104711083,2.9479152936374304,155.13399113091302,118.9684158044922,-1.3181903561089605,1.3039930815406826,54114.50000000008,961.8422134475813,0.7350482484441037,0.9618731058754533,4.134728603633558
ID3176,3176,0,60922.0,818.1137464492718,304.2463014958212,0.0,7.0,7,139.2337135834975,1,,3.004186298491291,3.0,0.0,36.0,182994.0,0.3881268389281211,-0.4705559269809789,-13.758602977365063,-3.5298263986790515,2.636923949357023,161.51693242794354,123.41198374407575,2.130091695018525,1.30876214390077,60903.00000000003,1012.8052256276758,0.7460993867950069,0.9293131203698763,4.103992802858028
ID3193,3193,0,52804.0,861.4905706240371,242.47365330706873,0.0,2.0,2,129.63598555555257,1,,1.0227806392970762,1.0,0.0,29.0,54011.0,0.7849107541514587,-0.8611641196463484,-16.165026574012803,-1.1734671023477923,2.5790407434597444,146.17533023174013,119.38965982011585,1.9175596268866024,1.2243550274955317,52796.00000000006,933.3977286458069,0.7615131456438836,0.9768354055654246,4.0622460927982935
ID3401,3401,0,57656.0,826.8575642993632,300.54453907105955,0.0,8.0,8,135.4683690870204,1,,3.0018209250299153,3.0,0.0,7.0,173094.0,0.1342217694106341,-0.13889039574212944,-7.214489386775856,0.3478203007251599,0.05075788692337852,148.73841969715912,124.13834038733525,-1.338543079396277,1.1981666520840133,57653.50000000003,953.1767567466861,0.7974228100193312,0.9849911159707515,3.969726668008136
