PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 27, filenames: A:[27]MAX_Pos001_1202204_TgUtrmcherry_K4K8MO.avi & B:[28]MAX_Pos001_1202204_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,0.4024972916,0.1782268286,1
47,65,0.385122776,0.01754769683,1
47,97,0.155072093,0.05369234085,1
47,129,-0.2187488824,0.1671760082,1
47,161,-0.06730273366,1.366145372,1
47,193,0.3660186529,1.732066631,1
47,225,0.4045342207,-0.2136965394,1
47,257,0.4686468244,-0.2548110187,1
47,289,0.2584040165,-0.170997858,1
47,321,0.08414249122,-0.2734462023,1
47,353,-0.1098792553,-0.1805380583,1
47,385,-0.4544184804,-0.02679339051,1
47,417,-0.5006258488,-0.2097993791,1
47,449,-0.6956650615,0.2428660691,1
47,481,-0.7399853468,0.1305686831,1
47,513,-0.4722040594,-0.06323671341,1
47,545,0.06757707894,-0.8655093312,1
47,577,0.2664499283,-0.7782072425,1
47,609,0.1788817048,0.6206941605,1
47,641,-0.1892159283,1.239226341,1
47,673,0.02761539072,0.6438884735,1
47,705,0.3818701208,-0.4831730127,1
47,737,1.123803496,-1.012639403,1
47,769,1.74033308,-1.412565827,1
47,801,1.089369893,-0.8685297966,1
47,833,0.556209147,0.1073263884,1
47,865,0.485550642,-0.34126091,1
47,897,0.3757883906,-0.4662517309,1
47,929,0.1804409623,-0.09601065516,1
47,961,-0.4306077957,0.5124499202,1
47,993,-0.7017612457,-0.1970286369,1
47,1025,1.412761211,-17.59058571,1
47,1057,-5.111210346,-2.384409428,1
47,1089,-1.986003637,-1.944087744,1
47,1121,-2.34730649,-2.636359215,1
47,1153,-0.4227469563,-0.4189178944,1
47,1185,0.3013728261,-0.2654200196,1
47,1217,0.09246212244,0.1733828783,1
47,1249,-0.05587118864,0.2994797826,1
47,1281,-0.2556051016,-0.1548802704,1
47,1313,-0.6995427012,0.1352524161,1
47,1345,-0.61536479,0.2017262876,1
47,1377,-0.3055230081,0.227950871,1
47,1409,-0.1767724752,0.1731898189,1
47,1441,-0.8425652981,-0.3171830773,1
47,1473,-1.177411318,-0.1410343647,1
47,1505,-1.760866404,0.7410649657,1
47,1537,-1.431763768,-0.2114447355,1
47,1569,-1.182059169,0.04037177563,1
47,1601,-0.7733872533,0.4044594765,1
47,1633,-0.5954895616,0.4552435875,1
47,1665,-0.6365952492,1.288760185,1
47,1697,-0.9814330935,0.7790083885,1
47,1729,-1.247717381,-0.7556396723,1
47,1761,-0.5028564334,-1.171462178,1
47,1793,0.4848226309,0.1852324009,1
47,1825,0.1724669635,0.1105367392,1
47,1857,-0.04758162051,0.3224614859,1
47,1889,-0.2340790033,0.4146707058,1
47,1921,-0.2908229828,0.4448181391,1
47,1953,-0.1192606688,-0.02697946876,1
47,1985,-0.04026921093,-0.3784743845,1
47,2017,0.7526669502,-0.2339988947,1
79,33,0.03147645295,0.2968410254,1
79,65,0.2038855851,0.07195021957,1
79,97,0.2348095924,0.003235220909,1
79,129,-0.1074038595,-0.2225973904,1
79,161,-0.01399812102,0.2609722614,1
79,193,0.1490284652,0.3739424348,1
79,225,0.2240994573,-0.09863623977,1
79,257,0.1767930984,-0.2152224332,1
79,289,0.1909067631,-0.08110621572,1
79,321,0.1436128318,0.1515460461,1
79,353,-0.05341354012,0.1285553277,1
79,385,-0.2175409198,0.03771085292,1
79,417,-0.1104886383,-0.1472102106,1
79,449,-0.5045435429,0.08762875944,1
79,481,-0.4821100235,-0.1071068272,1
79,513,-0.1616987884,-0.2968007028,1
79,545,0.1808035374,-0.1481056809,1
79,577,0.3226694167,-0.3082892299,1
79,609,0.1937261522,-0.2665387988,1
79,641,-0.09751021862,-0.2989568114,1
79,673,-0.2707678974,-0.564661324,1
79,705,-1.032944441,-2.088316917,1
79,737,0.1748989522,-1.440016866,1
79,769,1.440867186,-1.106424451,1
79,801,0.9791362286,-0.9948447347,1
79,833,0.4668467939,0.05203855038,1
79,865,-0.2345118225,-0.4472236633,1
79,897,-0.4369616807,-0.7215133905,1
79,929,-0.5044378042,-0.5242474079,1
79,961,-1.123904943,-0.3191535175,1
79,993,-2.156357288,-0.8956005573,1
79,1025,-4.615998268,-2.103991032,1
79,1057,-4.818439484,-1.418100238,1
79,1089,-3.006831884,-3.657368898,1
79,1121,-2.960935116,-2.520887375,1
79,1153,-1.229616404,-0.4127470851,1
79,1185,-0.08606618643,0.3976822495,1
79,1217,-0.6064904332,0.4975170493,1
79,1249,-0.956215024,0.1395056546,1
79,1281,-0.6820656061,-0.09416245669,1
79,1313,-0.7797657847,-0.3375092149,1
79,1345,-0.7237146497,-0.0007101744413,1
79,1377,-0.3147474527,0.5055649281,1
79,1409,-0.4988265634,0.2556029558,1
79,1441,-1.126746416,0.01394367218,1
79,1473,-1.372456312,0.2664493322,1
79,1505,-1.045929909,0.7429758906,1
79,1537,-0.6187729836,0.7288829088,1
79,1569,-0.7288935781,0.2359447926,1
79,1601,-0.5526190996,0.3773398995,1
