 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,Skew,%Area,AR,Round,Solidity
1,4512.711,115.781,79.179,111.272,317.968,96.571,59.497,48.047,0.561,1.547,100,1.623,0.616,0.795
2,3505.210,115.200,76.769,108.056,278.629,86.332,51.696,45.591,0.567,1.447,100,1.670,0.599,0.810
3,2634.397,114.872,75.272,106.264,244.481,73.734,45.491,44.768,0.554,1.325,100,1.621,0.617,0.797
4,1695.240,114.458,74.197,108.454,184.499,59.616,36.206,52.661,0.626,1.412,100,1.647,0.607,0.848
5,1459.871,114.366,73.397,108.962,172.760,55.120,33.722,52.262,0.615,1.602,100,1.635,0.612,0.836
6,1260.890,114.163,73.832,109.010,161.040,50.780,31.615,55.258,0.611,1.684,100,1.606,0.623,0.835
7,978.890,113.868,73.772,109.639,142.162,47.493,26.243,56.617,0.609,0.703,100,1.810,0.553,0.840
8,851.491,113.806,73.441,110.194,127.118,42.351,25.599,56.468,0.662,0.261,100,1.654,0.604,0.876
9,760.659,113.706,72.612,110.201,113.231,40.931,23.662,53.772,0.746,0.198,100,1.730,0.578,0.932
10,629.248,113.647,72.983,110.441,105.712,38.556,20.780,58.018,0.708,0.182,100,1.855,0.539,0.925
11,487.808,113.568,73.796,109.518,93.399,33.500,18.540,63.071,0.703,0.173,100,1.807,0.553,0.910
12,380.540,113.531,73.626,109.862,80.447,28.507,16.997,65.827,0.739,0.160,100,1.677,0.596,0.920
13,310.753,113.474,74.633,109.382,72.833,26.543,14.906,74.556,0.736,0.162,100,1.781,0.562,0.903
14,268.592,113.483,74.315,110.088,67.787,25.173,13.585,71.400,0.735,0.154,100,1.853,0.540,0.899
15,207.004,113.413,75.115,109.681,59.640,21.599,12.203,74.239,0.731,0.142,100,1.770,0.565,0.892
