 ,Area,X,Y,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,828.945,112.266,110.037,64.907,747,1202,35.149,19.392
2,1199.197,140.717,117.158,90.220,765,1214,10.514,27.723
3,1261.899,146.670,61.174,69.137,1152,850,60.945,32.379
4,1792.209,106.830,88.068,90.479,714,1193,54.845,32.231
5,1788.807,107.551,44.815,94.043,780,921,73.610,37.751
6,1728.369,82.047,45.589,100.961,745,997,78.991,30.189
7,874.601,70.592,98.315,54.376,635,685,98.130,22.571
8,1326.560,53.502,52.320,49.812,546,737,81.623,39.289
9,701.699,58.609,16.123,38.770,441,308,51.465,29.650
10,931.649,31.138,27.284,47.763,274,514,75.018,33.686
11,639.818,44.134,118.140,55.281,153,1040,161.849,16.613
12,1046.249,176.851,50.496,50.044,1466,658,59.717,32.076
13,2446.913,177.319,84.148,92.735,1231,966,34.098,43.676
14,621.307,113.210,134.731,49.266,773,1221,176.471,18.864
15,640.240,103.579,146.671,51.385,731,1273,165.349,16.371
16,605.259,89.311,166.518,46.730,678,1317,118.822,22.033
17,1724.955,116.459,180.089,84.187,706,1306,141.110,41.439
18,538.545,73.490,171.780,50.807,668,1790,88.901,15.953
19,1045.158,53.675,185.895,76.419,381,1970,66.087,23.295
20,1203.655,33.605,181.660,87.757,40,1853,40.294,23.747
21,1045.920,145.102,171.181,51.749,1074,1467,150.538,33.546
22,1930.634,161.846,147.745,72.975,1226,1198,137.406,45.647
23,809.307,169.804,17.912,38.104,1467,1,132.350,30.480
24,1656.786,41.555,87.431,81.662,128,659,136.290,35.614
25,939.966,13.412,92.263,59.134,0,621,136.039,29.044
26,982.632,87.525,203.663,52.287,755,1609,114.866,28.417
27,652.370,61.324,210.462,43.697,359,2047,52.250,30.569
28,2575.367,28.354,155.216,99.942,0,1873,42.804,47.472
29,1576.418,137.510,19.661,62.272,1195,506,61.652,48.446
30,911.143,16.836,124.763,59.732,8,939,152.459,34.886
31,1079.201,11.451,46.842,63.581,0,90,102.095,31.301
