 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,Skew,%Area,AR,Round,Solidity
1,8542.049,184.680,92.860,123.318,457.905,124.837,87.122,52.125,0.512,5.335,100,1.433,0.698,0.811
2,5864.505,190.012,88.677,122.426,356.249,103.876,71.883,48.850,0.581,4.416,100,1.445,0.692,0.840
3,4318.024,196.015,86.952,123.624,308.988,88.336,62.238,52.811,0.568,3.813,100,1.419,0.705,0.811
4,2753.912,207.449,85.226,122.351,248.759,66.388,52.817,61.800,0.559,3.073,100,1.257,0.796,0.800
5,1999.448,221.107,85.824,124.312,206.785,59.849,42.537,64.220,0.588,2.577,100,1.407,0.711,0.809
6,1547.642,236.612,85.610,124.606,175.518,49.589,39.737,67.943,0.631,2.187,100,1.248,0.801,0.818
7,1126.665,258.540,83.402,125.177,146.112,41.114,34.891,86.410,0.663,1.754,100,1.178,0.849,0.831
8,776.531,283.944,82.750,125.654,128.172,35.449,27.891,83.356,0.594,1.501,100,1.271,0.787,0.811
9,520.714,301.727,82.624,126.671,97.315,29.737,22.295,75.250,0.691,1.214,100,1.334,0.750,0.900
10,359.601,312.864,81.738,127.072,77.769,23.902,19.156,74.883,0.747,1.143,100,1.248,0.801,0.911
11,278.587,318.531,80.682,128.191,71.290,21.984,16.135,80.657,0.689,1.128,100,1.363,0.734,0.900
12,185.044,306.226,80.807,128.473,58.832,18.909,12.460,72.401,0.672,1.378,100,1.518,0.659,0.898
13,145.030,276.618,80.663,129.642,54.410,17.156,10.763,72.749,0.616,1.841,100,1.594,0.627,0.873
14,104.804,231.577,80.370,130.608,47.560,15.174,8.794,77.196,0.582,1.212,100,1.726,0.580,0.872
15,92.733,217.758,80.287,131.310,45.237,14.227,8.299,74.012,0.569,0.931,100,1.714,0.583,0.847
