 ,Area,X,Y,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1142.783,39.511,27.707,55.459,180,84,136.108,24.693
2,1118.805,199.237,45.645,51.591,1582,477,27.372,33.081
3,1291.719,108.422,69.289,69.910,656,778,19.081,31.070
4,2487.538,156.728,78.895,73.422,1052,768,14.262,50.774
5,1003.513,203.279,75.826,44.321,1710,600,144.951,32.069
6,1235.727,108.436,97.401,71.804,647,798,169.571,28.898
7,1178.257,29.145,127.174,78.890,233,1459,70.595,27.744
8,1298.019,50.269,129.757,75.238,478,775,93.962,26.862
9,348.949,92.209,109.431,43.051,672,841,133.777,13.450
10,683.363,202.385,99.231,45.340,1639,938,14.103,18.954
11,1266.650,202.456,123.869,56.783,1642,941,136.932,36.805
12,820.076,122.275,127.592,42.761,983,1035,127.073,24.411
13,925.162,155.536,152.388,48.712,1228,1341,160.518,29.505
14,1271.213,198.665,158.479,49.386,1724,1256,124.004,35.107
15,754.488,134.869,166.524,39.220,1192,1366,125.446,24.324
16,1516.250,43.316,178.073,56.073,234,1460,131.790,36.996
17,651.314,168.807,174.787,38.623,1390,1559,173.074,23.714
18,676.337,112.662,181.643,36.934,879,1602,166.086,25.499
19,1106.088,146.550,197.767,42.402,1163,1769,161.380,35.017
20,994.140,113.417,207.858,42.747,857,1947,176.659,29.893
21,399.369,79.872,69.983,35.235,621,778,45.996,16.905
22,1640.926,101.525,147.309,59.970,819,1062,119.899,43.880
23,1921.249,159.935,121.837,64.955,1162,1044,159.299,45.417
24,1896.825,78.300,183.732,73.091,581,1388,108.489,37.617
25,352.445,75.225,104.231,38.367,591,832,124.767,12.404
26,722.439,69.606,50.363,59.614,592,770,73.969,19.892
27,300.840,57.488,64.211,32.853,543,444,92.645,12.613
28,982.022,36.168,54.417,67.527,168,251,126.061,26.466
29,802.820,25.977,98.171,49.224,86,1015,31.137,25.263
30,583.850,30.758,75.456,40.290,164,580,148.746,22.255
31,1418.085,134.071,15.843,55.866,1018,233,23.782,34.767
32,1820.011,156.729,39.568,80.046,1096,306,4.268,33.205
33,1315.533,98.174,40.229,49.026,723,529,52.269,36.432
34,752.119,93.823,10.445,40.724,683,0,161.710,26.103
35,1042.882,58.450,12.691,59.256,255,0,154.793,32.060
36,1032.723,70.936,127.748,66.277,524,839,107.991,25.449
37,1104.775,24.647,207.304,46.026,220,1663,115.359,40.707
38,1210.787,10.413,171.878,75.677,0,1919,80.942,25.344
39,474.318,10.671,41.268,46.039,0,196,119.762,19.101
40,328.948,7.528,59.277,33.297,0,395,118.566,17.686
