 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,Skew,AR,Round,Solidity
1,11557.984,206.864,94.068,105.211,521.288,169.095,87.028,44.450,0.534,3.636,1.943,0.515,0.822
2,11562.840,207.255,93.875,104.237,513.298,168.021,87.622,45.291,0.551,3.604,1.918,0.521,0.834
3,11659.421,207.060,93.792,102.533,504.482,166.635,89.088,46.205,0.576,3.584,1.870,0.535,0.845
4,11207.768,207.728,93.596,101.485,483.656,161.281,88.480,46.161,0.602,3.532,1.823,0.549,0.854
5,10481.563,209.086,92.799,100.428,462.789,154.993,86.104,45.594,0.615,3.456,1.800,0.556,0.861
6,9259.666,212.177,91.775,99.537,438.103,145.153,81.223,44.883,0.606,3.333,1.787,0.560,0.849
7,8276.530,216.245,91.481,98.851,416.864,137.405,76.693,45.256,0.599,3.173,1.792,0.558,0.838
8,6663.371,224.626,90.717,98.394,391.283,125.398,67.657,46.045,0.547,2.921,1.853,0.540,0.809
9,5755.301,232.723,90.906,96.539,366.362,118.129,62.033,44.602,0.539,2.706,1.904,0.525,0.792
10,5085.628,238.760,90.089,95.452,342.628,109.417,59.179,43.908,0.544,2.595,1.849,0.541,0.792
11,3938.669,250.442,90.424,93.865,296.075,96.394,52.025,43.667,0.565,2.387,1.853,0.540,0.795
12,3500.893,247.101,90.910,93.564,279.951,91.792,48.561,44.120,0.561,2.451,1.890,0.529,0.804
13,3319.380,244.101,90.360,93.382,266.328,88.817,47.585,45.450,0.588,2.535,1.866,0.536,0.825
14,2897.593,230.096,90.526,93.219,248.666,83.323,44.278,45.309,0.589,2.007,1.882,0.531,0.827
15,2584.095,216.619,91.883,92.487,235.460,78.983,41.657,43.710,0.586,1.802,1.896,0.527,0.837
