PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 17, filenames: A:[17]MAX_Pos00d_TimeSrs004_TgUtrmcherry_K4K8MO.avi & B:[18]MAX_Pos00d_TimeSrs004_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-1.131175756,1.13293457,1
47,65,-0.1500247419,0.1342350841,1
47,97,0.3084097505,-0.250433445,1
47,129,0.2585778236,-0.3165447712,1
47,161,-0.05781672895,-0.1283170581,1
47,193,-0.08152327687,0.05023488402,1
47,225,0.1158048511,0.0638666749,1
47,257,0.2332271338,0.4120737314,1
47,289,-0.4225293994,0.4270229936,1
47,321,-0.5701346397,-0.07822136581,1
47,353,-0.3289190829,-0.3467578888,1
47,385,-0.4065135717,-0.8398124576,1
47,417,0.3741940856,-0.2813529968,1
47,449,0.4105958939,0.5075335503,1
47,481,-1.066027641,0.4544042349,1
47,513,-2.089497566,0.3234084845,1
47,545,-0.7098668814,0.6095957756,1
47,577,-0.2075315416,0.4558440745,1
47,609,-0.140418455,0.1935635805,1
47,641,-0.5831846595,-0.2470199466,1
47,673,-0.7125121951,-0.1412405968,1
47,705,-0.04100340605,-0.1879392266,1
47,737,-0.01829221845,-0.6639177799,1
47,769,-0.1202953309,-0.3362208605,1
47,801,-0.281062901,-0.3422386646,1
47,833,-0.398534745,0.005595743656,1
47,865,-0.3237895966,0.9228932858,1
47,897,-0.1851273775,0.5267348289,1
47,929,-0.4320580363,0.2415018082,1
47,961,-0.4938061237,0.2242913395,1
47,993,-0.4046634436,0.4433927834,1
47,1025,0.1199928224,0.7720605135,1
47,1057,0.8128924966,0.4017436504,1
47,1089,1.538356066,5.572022438,1
47,1121,2.357936621,3.889151573,1
47,1153,1.008498788,0.1811659187,1
47,1185,0.4012044072,-0.3236991167,1
47,1217,0.9827333689,1.188224316,1
47,1249,2.802677155,2.330112934,1
47,1281,2.73617363,1.961746693,1
47,1313,1.699879885,0.4305102825,1
47,1345,1.747233868,0.5177526474,1
47,1377,1.937472582,0.8111225367,1
47,1409,3.019865513,0.9457586408,1
