 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Skew,%Area
1,7974.000,112.774,109.747,138.557,399.778,153.780,66.022,9.323,0.702,100
2,7069.215,112.721,110.067,139.985,365.918,143.141,62.881,10.147,0.709,100
3,5857.091,112.684,110.328,140.426,330.464,131.885,56.545,9.400,0.728,100
4,4579.730,112.659,110.076,140.967,297.811,121.772,47.885,9.126,0.715,100
5,3698.313,112.689,110.680,140.854,279.293,114.885,40.987,8.826,0.752,100
6,2873.932,112.748,110.306,140.677,260.481,108.237,33.807,7.831,0.818,100
7,2276.768,112.812,110.495,140.730,237.373,100.375,28.880,8.095,0.886,100
8,1871.134,112.911,109.603,140.837,210.337,90.437,26.343,7.420,0.952,100
9,1631.248,113.019,110.186,140.423,190.413,81.649,25.438,7.419,1.001,100
10,1334.173,113.197,110.296,140.836,169.918,74.290,22.866,8.423,1.051,100
11,1136.788,113.275,111.424,141.081,155.082,68.539,21.118,9.208,0.975,100
12,936.869,113.401,110.824,141.724,143.813,63.267,18.854,8.591,0.903,100
13,807.019,113.535,110.711,141.828,132.559,59.007,17.414,9.555,0.939,100
14,674.131,113.689,110.428,142.267,123.453,54.060,15.877,9.611,0.997,100
15,644.581,113.724,110.531,142.368,122.790,53.430,15.360,10.310,1.008,100
